r2,task,model
0.9417845561407864,unmod1,single-task
0.9425491930281658,unmod1,single-task
0.9409947295342518,unmod1,single-task
0.941682688391323,unmod1,single-task
0.9405482550224088,unmod1,single-task
0.940971690906338,unmod1,single-task
0.939490770640922,unmod1,single-task
0.93983063054869,unmod1,single-task
0.9406076317535036,unmod1,single-task
0.9404708717655834,unmod1,single-task
0.8168146899330593,human,single-task
0.8160675803399802,human,single-task
0.8094130834617714,human,single-task
0.8120713005417323,human,single-task
0.8110314537685782,human,single-task
0.8076728001172094,human,single-task
0.8149710649109012,human,single-task
0.8059131626553309,human,single-task
0.8104273962865925,human,single-task
0.819149312625019,human,single-task
0.8677244279740339,vleng,single-task
0.8594583703117425,vleng,single-task
0.8692426630512553,vleng,single-task
0.8600407814621196,vleng,single-task
0.8718015027429051,vleng,single-task
0.8553675014885658,vleng,single-task
0.8629987061931361,vleng,single-task
0.8641826308053108,vleng,single-task
0.8651748392199554,vleng,single-task
0.8632892786802085,vleng,single-task
0.9359517495158722,unmod1,mixing
0.9366792469224616,unmod1,mixing
0.9370286463623356,unmod1,mixing
0.9367738751766668,unmod1,mixing
0.9380034477647052,unmod1,mixing
0.9350638782430664,unmod1,mixing
0.9364387086493944,unmod1,mixing
0.93748144860964,unmod1,mixing
0.9372368565726056,unmod1,mixing
0.9334145163317352,unmod1,mixing
0.7518035767273713,human,mixing
0.7386517102307111,human,mixing
0.7335659069672322,human,mixing
0.7278889408994473,human,mixing
0.7385318188008538,human,mixing
0.7426436790283004,human,mixing
0.7403450418056619,human,mixing
0.7366807258182304,human,mixing
0.7041247692631634,human,mixing
0.7357490791452415,human,mixing
0.8738101383468648,vleng,mixing
0.8650881941789766,vleng,mixing
0.868572262027987,vleng,mixing
0.8640541218194356,vleng,mixing
0.8735327052629708,vleng,mixing
0.8658181110390823,vleng,mixing
0.8717732064105299,vleng,mixing
0.8687738291698528,vleng,mixing
0.8628495513745346,vleng,mixing
0.8672005347201053,vleng,mixing
0.940189859273138,unmod1,multi-task
0.9415782267837862,unmod1,multi-task
0.9419950079513632,unmod1,multi-task
0.94224749521712,unmod1,multi-task
0.9432278522994352,unmod1,multi-task
0.9421366395136191,unmod1,multi-task
0.9424715104723694,unmod1,multi-task
0.941508195858107,unmod1,multi-task
0.9429143506198548,unmod1,multi-task
0.941939612530924,unmod1,multi-task
0.8378456782972048,human,multi-task
0.8306027700984722,human,multi-task
0.8337709383722145,human,multi-task
0.8317643948020703,human,multi-task
0.8296140633711021,human,multi-task
0.8388739439076068,human,multi-task
0.8367847379247892,human,multi-task
0.8321740773293907,human,multi-task
0.8348781999383484,human,multi-task
0.832879432514383,human,multi-task
0.8671372243527589,vleng,multi-task
0.8678712486110136,vleng,multi-task
0.8742075974231659,vleng,multi-task
0.8702780827302488,vleng,multi-task
0.871544319928653,vleng,multi-task
0.8735776740871993,vleng,multi-task
0.8760561301182787,vleng,multi-task
0.8694868293286471,vleng,multi-task
0.8706258774399759,vleng,multi-task
0.8711668583395183,vleng,multi-task
