task,model,R2,sp_r,content_of_MAP,R2_mean
muscle,RL_3_cell,0.3784445458780823,0.6151784666892058,0,0.3933171569622352
pc3,RL_3_cell,0.4415005053853056,0.6644550439159188,0,0.45358659725094413
Andrev2015,RL_3_cell,0.3821240713077951,0.6181618487967331,0,0.38859260310963173
pc3,RL_3_cell,0.471096761220686,0.6863648892685916,0,0.45358659725094413
Andrev2015,RL_3_cell,0.3946260019243466,0.6281926471428543,0,0.38859260310963173
muscle,RL_3_cell,0.3238230681132675,0.5690545387862814,0,0.3933171569622352
pc3,RL_3_cell,0.4691080449642069,0.6849146260405066,0,0.45358659725094413
Andrev2015,RL_3_cell,0.3857794950191389,0.6211114996674421,0,0.38859260310963173
muscle,RL_3_cell,0.3431674353163227,0.5858049464764895,0,0.3933171569622352
Andrev2015,RL_3_cell,0.3941515750556154,0.6278149210202123,0,0.38859260310963173
pc3,RL_3_cell,0.4537453536384407,0.6736062304035205,0,0.45358659725094413
muscle,RL_3_cell,0.4676763804927273,0.6838686865859025,0,0.3933171569622352
muscle,RL_3_cell,0.4177678362749235,0.6463496238684784,0,0.3933171569622352
Andrev2015,RL_3_cell,0.4098070603842731,0.6401617454864615,0,0.38859260310963173
pc3,RL_3_cell,0.4373119586116197,0.6612956665604424,0,0.45358659725094413
Andrev2015,RL_3_cell,0.3947865743237586,0.6283204392057914,0,0.38859260310963173
pc3,RL_3_cell,0.4331631609863186,0.6581513207358309,0,0.45358659725094413
muscle,RL_3_cell,0.392505907117774,0.6265029186825661,0,0.3933171569622352
muscle,RL_3_cell,0.379266260726376,0.6158459715922285,0,0.3933171569622352
Andrev2015,RL_3_cell,0.3742315301313084,0.6117446608931773,0,0.38859260310963173
pc3,RL_3_cell,0.4604895570929057,0.6785938086166906,0,0.45358659725094413
pc3,RL_3_cell,0.4478626846613506,0.669225436352617,0,0.45358659725094413
Andrev2015,RL_3_cell,0.3832744376119168,0.61909162295408,0,0.38859260310963173
muscle,RL_3_cell,0.4135750579593782,0.6430980158260312,0,0.3933171569622352
pc3,RL_3_cell,0.456598515065422,0.6757207374836309,0,0.45358659725094413
muscle,RL_3_cell,0.3835314407795236,0.6192991528974697,0,0.3933171569622352
Andrev2015,RL_3_cell,0.3714103770937937,0.6094344731747571,0,0.38859260310963173
Andrev2015,RL_3_cell,0.3957349082443711,0.6290746444138177,0,0.38859260310963173
muscle,RL_3_cell,0.4334136369639765,0.6583415807648614,0,0.3933171569622352
pc3,RL_3_cell,0.4649894308831853,0.6819013351528103,0,0.45358659725094413
human,SubHuman_3C,0.6740409999999999,0.821,1,0.66067675
Andrev2015,SubHuman_3C,0.393129,0.627,1,0.40038975
