TSNE-1,TSNE-2,task_source
23.475002,-49.5003,unmod1
-7.6253204,-38.210155,unmod1
13.426965,32.858166,unmod1
3.6700335,-28.70184,unmod1
23.607634,16.89706,unmod1
18.381725,42.99667,unmod1
9.7843685,-26.23623,unmod1
16.247026,13.055475,unmod1
41.58274,16.283463,unmod1
-1.6335423,-27.805742,unmod1
-6.3132677,20.650578,unmod1
15.321675,-28.311333,unmod1
-28.456211,12.390624,unmod1
17.507565,37.79664,unmod1
10.813749,-28.41237,unmod1
18.820963,-37.257896,unmod1
-13.419871,-6.8336425,unmod1
56.001614,-12.276589,unmod1
42.233932,24.614033,unmod1
40.12527,18.258186,unmod1
22.067177,44.992928,unmod1
4.354481,-26.965935,unmod1
-6.4815974,-38.07312,unmod1
10.633182,42.801956,unmod1
22.281475,-19.35203,unmod1
38.89597,26.214989,unmod1
-7.826059,-30.3203,unmod1
12.386612,20.409353,unmod1
-18.274645,-42.905315,unmod1
33.566532,-5.174989,unmod1
30.460054,-43.506943,unmod1
45.893673,34.051132,unmod1
19.282036,-49.65239,unmod1
9.590798,38.64919,unmod1
-8.553424,-15.610418,unmod1
25.532413,9.060847,unmod1
-17.013826,-43.481544,unmod1
-14.541544,-12.588799,unmod1
-20.229733,-43.360497,unmod1
37.131634,36.40947,unmod1
-15.161946,24.09387,unmod1
-10.092024,-38.944736,unmod1
7.2690415,19.75862,unmod1
27.82046,-48.576283,unmod1
44.912968,-2.6464891,unmod1
6.6998982,-19.54959,unmod1
42.509068,36.332188,unmod1
47.876442,-21.80191,unmod1
-20.438454,-16.128311,unmod1
-1.2767922,-20.524294,unmod1
49.29408,33.027172,unmod1
22.53518,20.571276,unmod1
22.437782,-47.112118,unmod1
39.456196,-15.335982,unmod1
12.226028,-32.921722,unmod1
14.717006,-45.185265,unmod1
8.278143,-31.567886,unmod1
29.368902,-42.57266,unmod1
42.886562,34.511234,unmod1
-18.076487,-39.606663,unmod1
28.307098,12.014172,unmod1
47.918297,-3.6526716,unmod1
-0.27206674,-48.942574,unmod1
16.485662,37.61855,unmod1
19.542463,13.6922455,unmod1
28.053299,30.678812,unmod1
13.752486,-22.932816,unmod1
-12.8874235,-24.521114,unmod1
55.391136,-6.6513824,unmod1
50.8051,-19.736486,unmod1
52.1287,-8.945982,unmod1
16.247171,-56.171787,unmod1
-8.206144,-40.29042,unmod1
40.032574,18.217669,unmod1
19.123524,36.80663,unmod1
-2.1508162,-3.9793756,unmod1
18.922447,27.069235,unmod1
21.303608,-48.516514,unmod1
22.09327,-49.119694,unmod1
46.392918,-15.216691,unmod1
12.576764,-28.588346,unmod1
12.920449,-32.24322,unmod1
22.470463,-54.867332,unmod1
19.54412,8.209788,unmod1
25.46414,26.11904,unmod1
41.288414,27.298405,unmod1
49.42706,-2.8253212,unmod1
29.473972,-44.908726,unmod1
44.104614,-1.0728166,unmod1
22.390154,15.031721,unmod1
-6.644923,-6.164585,unmod1
30.565504,-9.000839,unmod1
28.279665,26.094046,unmod1
-5.6118093,-37.447006,unmod1
59.455902,4.834554,unmod1
40.665237,34.21619,unmod1
34.509434,1.3880353,unmod1
42.937096,31.713875,unmod1
37.816025,-8.505826,unmod1
-14.345376,-49.254814,unmod1
14.255806,-31.220104,unmod1
20.940329,-34.177982,unmod1
21.958271,-34.912296,unmod1
1.948635,-33.64809,unmod1
24.005802,-19.904272,unmod1
43.54057,19.799658,unmod1
17.128204,18.366272,unmod1
11.412302,19.934664,unmod1
-15.392787,-5.5386996,unmod1
8.8850155,-20.48725,unmod1
24.308067,33.577045,unmod1
6.4099374,-27.14639,unmod1
-0.99034345,-43.884315,unmod1
19.03629,4.2408113,unmod1
44.783928,-20.067684,unmod1
-19.672613,-32.392822,unmod1
37.630962,-43.40794,unmod1
15.555564,-52.314995,unmod1
29.661098,-44.87348,unmod1
59.92202,4.0058765,unmod1
42.32849,-9.027462,unmod1
13.854339,-53.825573,unmod1
45.978146,-23.444414,unmod1
13.613628,15.733371,unmod1
7.4682837,-21.17855,unmod1
-17.925295,-5.7860384,unmod1
26.637983,12.529713,unmod1
22.29022,-41.55735,unmod1
16.029568,-5.792962,unmod1
-22.00889,15.026974,unmod1
26.391607,14.860102,unmod1
18.224258,0.117245786,unmod1
59.23799,1.238395,unmod1
-34.304295,13.251717,unmod1
55.826176,0.68633246,unmod1
35.020428,-17.480764,unmod1
28.020092,-41.77451,unmod1
20.274841,-49.995537,unmod1
46.875546,23.995316,unmod1
11.713777,16.094233,unmod1
39.27297,36.033226,unmod1
41.68418,32.708904,unmod1
38.701836,30.943523,unmod1
8.706185,-32.24933,unmod1
28.338535,-2.409619,unmod1
12.986058,-4.7779984,unmod1
42.91402,25.94067,unmod1
62.14537,-1.4559171,unmod1
-2.2074459,-50.722164,unmod1
31.69908,-10.020906,unmod1
55.296627,-9.004513,unmod1
26.296116,-26.025505,unmod1
-13.999893,-39.643913,unmod1
-8.423529,-42.915573,unmod1
32.95192,31.144167,unmod1
26.197304,-44.293613,unmod1
-22.76298,19.456678,unmod1
45.78966,31.826668,unmod1
25.412844,1.4984654,unmod1
21.662468,41.033432,unmod1
44.93425,17.143696,unmod1
53.620842,18.285385,unmod1
22.535545,46.102146,unmod1
19.18967,16.020014,unmod1
19.717283,9.336463,unmod1
10.237197,-26.342844,unmod1
15.393166,-35.67345,unmod1
19.072357,4.2319613,unmod1
2.6124437,-25.806498,unmod1
9.496234,18.16842,unmod1
