TSNE-1,TSNE-2,task_source
18.19287,11.571868,unmod1
4.169378,-7.1814013,unmod1
12.233837,-39.136524,unmod1
49.468815,0.46520966,unmod1
-25.370584,9.178217,unmod1
-6.6983247,9.221838,unmod1
-0.45352438,44.160217,unmod1
-13.997994,7.601781,unmod1
13.591133,35.254696,unmod1
14.211418,15.892764,unmod1
38.558388,-16.604977,unmod1
-12.314396,33.929726,unmod1
3.309986,-13.04452,unmod1
14.20986,19.745255,unmod1
38.202454,37.40834,unmod1
68.57095,-25.441957,unmod1
30.205885,7.4174666,unmod1
35.32739,-51.781876,unmod1
5.0052905,-22.845684,unmod1
3.027935,19.80015,unmod1
33.343983,34.25601,unmod1
10.026926,-35.84191,unmod1
64.34383,-34.48259,unmod1
6.9988713,-36.266853,unmod1
9.0938015,33.49238,unmod1
4.6795654,-23.240595,unmod1
55.567387,15.212254,unmod1
-2.493386,-41.691998,unmod1
-8.098923,3.612243,unmod1
24.333113,-11.948319,unmod1
22.07402,-33.93299,unmod1
-4.8365235,22.323786,unmod1
29.664383,13.761299,unmod1
-4.823164,8.072995,unmod1
39.957394,-9.270161,unmod1
26.582464,-21.685883,unmod1
-11.187275,-26.108767,unmod1
41.2478,45.59777,unmod1
26.040108,17.480892,unmod1
51.855503,33.96545,unmod1
43.919994,-23.710594,unmod1
-0.52320457,-44.537655,unmod1
-9.955558,-7.0441675,unmod1
60.888916,-14.725991,unmod1
30.287619,55.103355,unmod1
10.245528,-47.175327,unmod1
19.627604,-9.609976,unmod1
4.823965,-47.377266,unmod1
4.1571007,52.811108,unmod1
29.70907,-9.698903,unmod1
-3.2154186,18.752657,unmod1
-10.132163,-33.482655,unmod1
45.480743,-6.1616855,unmod1
-12.268182,44.419918,unmod1
12.0147705,-46.58963,unmod1
-10.767517,-15.014886,unmod1
-21.675842,13.802612,unmod1
15.099037,54.848587,unmod1
16.629099,-17.540329,unmod1
58.50525,8.775084,unmod1
-23.364374,2.839007,unmod1
52.142506,22.506897,unmod1
10.202176,-42.152454,unmod1
-23.121561,35.420166,unmod1
-13.770389,-2.8324845,unmod1
28.559904,-26.31421,unmod1
-18.415266,14.67877,unmod1
65.26097,-31.63925,unmod1
2.3109918,-57.793434,unmod1
42.507793,50.997387,unmod1
8.663381,46.365,unmod1
60.94927,32.07455,unmod1
18.940441,-39.623493,unmod1
75.57451,7.285583,unmod1
33.909855,35.075676,unmod1
1.8084047,-9.061558,unmod1
-8.291104,-57.987522,unmod1
19.767494,3.9157767,unmod1
51.68429,-13.641985,unmod1
-21.864094,19.697159,unmod1
-23.948072,50.75939,unmod1
-8.285682,52.13868,unmod1
39.92547,13.024776,unmod1
-14.530221,-11.86614,unmod1
-16.163769,13.309947,unmod1
38.135303,39.361137,unmod1
32.822037,24.26125,unmod1
17.95063,4.834158,unmod1
9.848364,-2.9005952,unmod1
-11.4855,42.173283,unmod1
69.99324,22.571539,unmod1
-19.923786,23.389761,unmod1
18.457226,55.18221,unmod1
51.13487,3.7170377,unmod1
12.524142,43.1033,unmod1
-8.942979,29.429146,unmod1
-27.897512,12.011405,unmod1
-8.182027,17.715204,unmod1
-32.34231,-4.487598,unmod1
8.320397,-41.169785,unmod1
2.776506,33.14886,unmod1
36.54289,-33.29697,unmod1
-19.586695,27.220125,unmod1
5.392223,6.679379,unmod1
40.221004,13.234288,unmod1
16.044529,-19.038286,unmod1
-14.106472,0.10407812,unmod1
-21.851925,27.883024,unmod1
-25.409044,12.447899,unmod1
-19.23601,17.018957,unmod1
-8.974298,9.006461,unmod1
-7.444801,51.607754,unmod1
23.979431,11.524896,unmod1
-11.643456,20.351229,unmod1
72.85662,-9.701638,unmod1
42.537018,10.328658,unmod1
0.8431315,27.819155,unmod1
1.0739564,-4.7966514,unmod1
15.729065,54.78568,unmod1
30.256266,-12.226123,unmod1
-29.274914,8.466735,unmod1
10.838906,63.67121,unmod1
8.843766,63.062344,unmod1
48.57201,-8.041046,unmod1
45.293713,19.70569,unmod1
-12.277422,48.136112,unmod1
54.093727,-46.64582,unmod1
-22.33786,38.01016,unmod1
25.367313,-20.56216,unmod1
52.355774,19.284525,unmod1
-33.100998,13.278797,unmod1
-12.903829,46.382034,unmod1
14.080692,47.381477,unmod1
-8.8968315,-42.169727,unmod1
65.53041,-24.643568,unmod1
-6.374663,18.195627,unmod1
-1.0260366,-4.8595734,unmod1
26.591347,60.56908,unmod1
-4.233785,-11.594357,unmod1
-21.583065,50.559814,unmod1
8.793166,4.2844443,unmod1
4.415904,-22.903568,unmod1
27.914566,-13.771815,unmod1
27.77329,-10.410457,unmod1
8.5245075,-4.365141,unmod1
-10.566372,31.71133,unmod1
19.913443,-15.551425,unmod1
8.691169,9.902762,unmod1
0.6675783,-36.117752,unmod1
20.26024,-27.441612,unmod1
46.889633,21.258795,unmod1
-17.610083,14.525689,unmod1
-19.29563,8.962022,unmod1
-7.1445007,3.340363,unmod1
-20.300741,45.04377,unmod1
36.593075,52.580772,unmod1
1.0454613,-5.8440437,unmod1
-2.6205192,19.758516,unmod1
-42.809433,40.296997,unmod1
29.065243,-55.270493,unmod1
65.41494,12.852737,unmod1
-3.9324622,-10.970097,unmod1
28.231499,-29.200348,unmod1
-10.567381,11.612276,unmod1
-2.1357918,-42.21958,unmod1
41.160675,41.040882,unmod1
-17.916193,-11.507217,unmod1
10.222844,33.245903,unmod1
34.658146,22.272745,unmod1
46.302925,-18.454462,unmod1
-2.4881437,-44.193073,unmod1
34.127644,-12.745964,unmod1
26.579123,-13.974771,unmod1
20.264923,-54.938843,unmod1
-4.9713655,20.562353,unmod1
22.130966,-5.2957983,unmod1
24.238747,3.5260727,unmod1
17.175238,28.462692,unmod1
60.989086,-36.24073,unmod1
-6.768499,7.343697,unmod1
22.073513,46.227863,unmod1
29.360079,-18.106045,unmod1
-3.1538742,26.576653,unmod1
-4.219237,-30.830303,unmod1
-23.694899,23.37813,unmod1
25.419641,28.894882,unmod1
-6.4733586,21.992462,unmod1
-18.48923,14.554141,unmod1
33.07392,30.58466,unmod1
-9.204651,22.907682,unmod1
20.195969,25.291897,unmod1
64.08279,14.467168,unmod1
55.386223,-46.0889,unmod1
44.792187,50.084763,unmod1
4.299357,59.117573,unmod1
23.221693,32.366978,unmod1
25.595991,-14.396815,unmod1
8.747066,55.671886,unmod1
-7.753083,52.353615,unmod1
37.91066,7.5461664,unmod1
15.345895,27.639215,unmod1
-16.122704,13.776413,unmod1
19.853636,-24.450851,unmod1
16.98303,0.58259326,unmod1
20.94839,-15.745057,unmod1
12.4390335,5.958557,unmod1
60.442295,28.300804,unmod1
17.632072,-6.1763253,unmod1
22.894073,34.285748,unmod1
5.6919045,-45.735134,unmod1
24.15317,-39.123234,unmod1
-16.41727,-1.5467713,unmod1
-10.950435,-45.63853,unmod1
35.99605,7.651143,unmod1
20.397142,-22.375917,unmod1
40.703884,38.82815,unmod1
-17.922445,24.534403,unmod1
1.4580735,51.76306,unmod1
34.69358,-7.6536593,unmod1
30.754028,-0.85183,unmod1
-23.643797,47.134884,unmod1
60.871483,35.631893,unmod1
3.4490457,32.187233,unmod1
-2.6474493,-44.513138,unmod1
0.5820229,35.169033,unmod1
-20.915203,7.2209063,unmod1
23.497213,17.99969,unmod1
-7.250228,28.101156,unmod1
-10.934953,-15.071308,unmod1
42.227856,49.68567,unmod1
33.431274,38.970333,unmod1
-18.424072,25.75617,unmod1
9.944198,-39.18521,unmod1
35.44143,25.022343,unmod1
7.6134562,-23.888916,unmod1
9.876644,44.876102,unmod1
-4.7511663,38.70845,unmod1
61.65516,-32.917377,unmod1
-11.567523,21.290377,unmod1
36.190933,21.318062,unmod1
11.313625,43.573803,unmod1
-7.5598345,19.149784,unmod1
-8.213924,-25.502636,unmod1
28.218042,-28.430109,unmod1
-42.786602,13.999494,unmod1
9.0857935,37.698975,unmod1
-19.718658,-16.217644,unmod1
-5.7224956,-11.897691,unmod1
64.14739,-28.018148,unmod1
39.493595,19.151215,unmod1
6.156216,5.091201,unmod1
11.586193,24.18803,unmod1
-13.297378,-5.945177,unmod1
5.2887306,38.756668,unmod1
76.912025,8.68359,unmod1
-16.335697,-12.00243,unmod1
-20.419127,1.8267506,unmod1
-19.985981,9.370842,unmod1
20.266968,-63.260963,unmod1
35.901215,21.396858,unmod1
44.527946,-35.02591,unmod1
33.19742,-50.758404,unmod1
28.903122,35.086456,unmod1
10.306533,64.84359,unmod1
17.127584,-4.8223925,unmod1
20.408482,-13.9381895,unmod1
16.057009,12.036812,unmod1
20.737577,-6.9887686,unmod1
-21.78451,17.49513,unmod1
20.092447,51.62176,unmod1
21.571548,-39.029392,unmod1
66.488716,-37.951664,unmod1
-1.8529478,-44.642693,unmod1
78.040825,11.689255,unmod1
-21.289707,36.447952,unmod1
-21.635143,8.949128,unmod1
-14.826923,-18.82216,unmod1
-4.3367333,5.35756,unmod1
69.79927,24.60858,unmod1
-10.829392,-11.959167,unmod1
39.163822,13.640649,unmod1
-30.260305,49.798286,unmod1
24.006586,-34.788803,unmod1
26.942999,47.42245,unmod1
-32.5694,2.065896,unmod1
38.608494,-51.543343,unmod1
-4.2507653,17.486555,unmod1
1.9576906,-40.427116,unmod1
-4.7615943,35.80669,unmod1
13.660081,-13.91047,unmod1
75.76335,15.269483,unmod1
-18.108639,0.5925106,unmod1
48.20663,-14.091227,unmod1
15.221412,-39.310825,unmod1
-9.052885,17.82534,unmod1
-14.666087,14.437267,unmod1
32.363956,33.0009,unmod1
