TSNE-1,TSNE-2,task_source
-28.9543,38.357998,human
-43.703323,-30.673996,human
-21.289423,40.95032,human
-16.526436,18.360168,human
-20.189692,3.117922,human
-21.004112,31.963589,human
-20.09971,14.355711,human
-17.623854,12.788374,human
-34.71552,0.93455374,human
-25.97314,10.002906,human
3.0894725,4.0143657,human
-19.267654,9.788096,human
1.276568,26.721764,human
-29.02013,34.76596,human
-26.895292,13.696713,human
-46.413464,15.6359215,human
3.6029954,0.91816777,human
-6.443286,-14.750855,human
-29.897865,-18.997538,human
-44.352196,-6.4967165,human
-55.305244,-4.1594043,human
-33.540543,10.895883,human
-47.063396,-17.795341,human
-26.680222,29.017908,human
-29.96108,3.8027556,human
-40.017048,-25.771767,human
-48.09325,9.296897,human
-22.498999,13.867144,human
-39.456337,-30.729046,human
-25.09282,-14.630799,human
-35.92999,28.544909,human
-43.887695,-31.414484,human
-21.460312,28.137194,human
-20.826023,33.581932,human
-3.0630858,1.9684826,human
-31.060055,8.015557,human
-35.107357,-23.992723,human
13.056889,15.328162,human
-32.518898,-13.53832,human
-43.683598,-17.312668,human
-0.5855272,4.530231,human
-41.455795,-9.481418,human
-12.5635805,7.679744,human
-10.902452,24.951002,human
-35.458706,15.928962,human
-25.060326,18.89438,human
-51.954914,-5.4093795,human
-42.756912,14.569974,human
14.907617,19.42908,human
-26.704317,17.72554,human
-43.91079,-20.485338,human
-28.06066,11.798658,human
-15.667463,24.331326,human
-22.391058,-21.109844,human
-18.282124,2.0104842,human
-27.696587,39.89611,human
-22.79195,4.102729,human
-42.454784,30.466522,human
-38.373146,-21.069447,human
-40.60705,-15.716608,human
-27.542177,4.798727,human
-17.243113,-7.756234,human
-46.247814,6.7014055,human
-14.221762,34.989227,human
-16.409904,7.8825927,human
-39.22769,14.081055,human
-23.002316,8.4949875,human
-25.679766,-9.102911,human
-8.72901,-19.93048,human
-27.249165,1.8835659,human
-20.43899,-17.248781,human
-33.062088,29.230621,human
-41.00016,-15.72722,human
-47.548843,-5.189934,human
-22.309927,38.224674,human
2.4493873,35.025856,human
-14.143148,-28.603186,human
-25.91452,41.31227,human
-28.675926,31.261456,human
-43.90654,0.51304257,human
-19.578749,9.584862,human
-11.073755,8.167441,human
-26.218489,37.83228,human
-43.628193,-1.1025217,human
-32.7834,20.773548,human
-48.073936,-27.34479,human
6.686537,34.762424,human
-26.842405,36.370636,human
-32.19967,-3.047703,human
-17.407587,7.9916925,human
-2.4594676,18.216911,human
-20.165234,1.7789849,human
-22.226027,-26.723137,human
-43.31161,4.697683,human
-14.036429,-12.866621,human
-42.512974,-30.410194,human
-31.75951,20.175123,human
-40.48414,-28.321554,human
-22.199678,-23.770441,human
-51.562378,-10.631365,human
-31.167114,6.0969005,human
-31.810034,26.937077,human
-36.349815,27.278967,human
-14.655415,8.663218,human
-37.588852,39.414524,human
-41.831665,-17.564728,human
-10.361322,7.906912,human
-23.832823,7.7514315,human
11.826803,-11.096338,human
-22.009802,5.4715643,human
-35.867466,18.83073,human
-8.910705,24.36979,human
-39.35836,3.5483353,human
-16.462524,-29.652124,human
-51.128998,-3.7221642,human
-46.267708,-15.30713,human
-50.892944,2.529221,human
-10.605044,40.603355,human
-43.866077,32.75315,human
-30.750763,8.111039,human
-24.059353,-19.554283,human
-21.423328,26.947622,human
-35.84572,18.79971,human
-20.472662,15.062201,human
-22.642984,10.032896,human
10.167163,14.092675,human
-26.09895,15.785102,human
-19.314201,40.148052,human
-7.090075,-19.188751,human
11.471952,29.879755,human
-20.033365,3.1014519,human
-21.299128,-12.965433,human
-9.199462,-20.230568,human
5.3603168,-18.83473,human
-22.37615,-9.795694,human
-50.63202,-2.2688646,human
-41.550087,32.659348,human
-18.385464,42.613773,human
-45.611816,-31.787031,human
-17.283638,9.482464,human
-47.81822,-19.780643,human
-37.111645,-30.14864,human
-37.78365,-21.03479,human
-31.467394,11.443376,human
-0.45799443,38.069824,human
-19.076162,-13.297548,human
-46.415554,-5.9387836,human
-8.748164,-11.761612,human
-43.256893,-4.2503138,human
-29.677792,-5.3152866,human
0.9656867,37.59944,human
-25.473932,7.5128546,human
-38.930836,-30.625975,human
-54.12643,12.907485,human
-28.405687,-28.87443,human
-28.604172,31.551636,human
13.91555,10.577128,human
-38.34973,-23.706667,human
-6.4284396,-26.590841,human
-22.055016,37.31408,human
-36.846615,6.2883263,human
-47.561115,-5.5421047,human
-28.922216,28.362436,human
-32.05729,21.121454,human
-23.55615,16.524961,human
-13.256754,6.5839143,human
-45.432392,-26.772179,human
-16.517138,-16.333277,human
-34.84412,34.905087,human
-9.661356,19.371992,human
-0.52415377,-1.0383221,human
2.107082,-3.137004,human
-23.816984,-5.690493,human
-32.784092,-25.497246,human
-40.40174,-31.24357,human
-37.243557,14.496453,human
-33.05172,30.068098,human
-54.768578,8.007535,human
-50.53714,13.93575,human
-54.421864,11.0121565,human
-15.481224,12.678428,human
-31.966932,11.541187,human
-50.89685,-6.6602116,human
-21.687845,11.512342,human
-35.60575,-29.801567,human
-25.439034,40.481506,human
-40.966827,-31.007689,human
-22.894762,8.75014,human
-32.750248,33.001247,human
