,TSNE-1,TSNE-2,task_source
0,-44.158913,21.037226,human
1,-37.09513,6.446942,human
2,-25.46114,18.840504,human
3,-26.62157,20.128862,human
4,-38.106964,23.954947,human
5,-44.619083,6.4215965,human
6,-33.000683,7.079782,human
7,-38.682293,10.134111,human
8,-35.12511,9.751476,human
9,-24.425325,21.24207,human
10,-27.247261,18.768507,human
11,-25.529158,26.533289,human
12,-52.369453,-2.1534057,human
13,-44.557434,5.464864,human
14,-57.09419,-1.1402823,human
15,-32.545288,32.299236,human
16,-35.0655,24.120625,human
17,-35.97356,25.52198,human
18,-28.0819,18.807943,human
19,-60.711086,6.3325353,human
20,-44.8187,1.5635082,human
21,-60.9496,6.837128,human
22,-29.057013,20.827148,human
23,-45.534424,7.49051,human
24,-55.823322,-1.3075819,human
25,-43.967503,-0.14213951,human
26,-23.01808,20.290754,human
27,-47.910694,10.1439085,human
28,-47.433067,12.354272,human
29,-39.15579,8.098874,human
30,-43.181416,5.487624,human
31,-39.32969,22.397797,human
32,-28.292524,24.483442,human
33,-33.20229,8.94505,human
34,-48.900345,-1.5539063,human
35,-26.733358,19.339302,human
36,-39.091637,8.803565,human
37,-41.454693,11.132709,human
38,-27.089363,25.256502,human
39,-33.50665,12.486975,human
40,-44.25884,-2.9333875,human
41,-42.355648,3.0544672,human
42,-24.012896,21.01725,human
43,-37.639458,6.8516984,human
44,-50.27341,9.344139,human
45,-54.61316,4.047243,human
46,-35.948902,22.942617,human
47,-36.255306,11.567041,human
48,-34.65797,17.654596,human
49,-43.73837,21.43903,human
50,-45.72971,0.90194577,human
51,-42.6342,21.567827,human
52,-43.555443,22.370739,human
53,-49.41417,-12.154034,human
54,-52.88135,14.145784,human
55,-57.496,14.598104,human
56,-48.22388,-3.2011416,human
57,-35.67351,24.298838,human
58,-34.032406,13.094048,human
59,-35.457314,24.464584,human
60,-58.732647,-0.06559965,human
61,-43.97755,-1.8455445,human
62,-38.111687,23.450233,human
63,-35.09103,10.331715,human
64,-34.100067,7.5760217,human
65,-47.4556,18.964405,human
66,-53.70018,6.0568867,human
67,-41.504074,7.341824,human
68,-43.76105,0.18880522,human
69,-49.564827,-6.7935944,human
70,-36.840603,29.088223,human
71,-57.61308,11.669026,human
72,-40.684406,23.365856,human
73,-30.603628,29.26218,human
74,-32.490986,23.780907,human
75,-47.099846,-1.1864215,human
76,-37.40327,7.2005086,human
77,-42.94686,36.319157,human
78,-25.169436,19.108837,human
79,-26.629042,25.486364,human
80,-27.102364,25.589222,human
81,-33.144093,6.5640125,human
82,-50.406345,-14.198756,human
83,-61.453613,7.0317297,human
84,-43.464413,22.238575,human
85,-41.19878,15.116916,human
86,-47.398994,-1.947571,human
87,-45.197777,5.196888,human
88,-46.03461,10.8579445,human
89,-43.08931,6.0678196,human
90,-45.6161,5.2542863,human
91,-38.2519,5.926204,human
92,-49.06192,24.562859,human
93,-23.830667,20.611834,human
94,-35.01508,9.475316,human
95,-53.587524,9.249211,human
96,-33.77526,16.530018,human
97,-47.11243,19.059149,human
98,-44.797596,5.9102163,human
99,-37.45181,11.473439,human
100,-34.139,7.632891,human
101,-24.25078,19.419773,human
102,-24.091776,18.671925,human
103,-27.610542,19.99059,human
104,-33.8699,15.80861,human
105,-33.47136,7.3923187,human
106,-22.59423,25.00409,human
107,-32.127293,8.993625,human
108,-48.251076,-8.116065,human
109,-53.00231,13.589497,human
110,-25.079369,19.959938,human
111,-33.94996,7.6753426,human
112,-48.230286,-7.975301,human
113,-49.206543,20.781609,human
114,-32.86256,17.33798,human
115,-53.2686,9.892346,human
116,-38.05119,13.308178,human
117,-51.949993,20.134804,human
118,-34.55056,17.121769,human
119,-48.436615,-9.259781,human
120,-32.45905,9.966382,human
121,-60.022915,10.224332,human
122,-45.10162,1.4640635,human
123,-36.481167,8.41473,human
124,-60.04614,8.072037,human
125,-52.614918,21.08492,human
126,-35.723316,24.426659,human
127,-55.297806,11.813431,human
128,-58.43762,9.459797,human
129,-43.39681,2.184183,human
130,-49.38897,21.73015,human
131,-60.004414,6.591509,human
132,-41.238987,20.826479,human
133,-54.29754,7.069449,human
134,-44.048397,5.596948,human
135,-42.871616,7.898632,human
136,-44.54605,-1.1257188,human
137,-33.135685,7.5750747,human
138,-58.614765,13.184426,human
139,-55.763107,11.754894,human
140,-42.08147,0.9036974,human
141,-25.43831,26.60973,human
142,-34.979664,6.015342,human
143,-49.716362,0.9266494,human
144,-29.934055,15.741102,human
145,-50.460995,16.142227,human
146,-44.10073,-1.3979865,human
147,-34.947952,9.159872,human
148,-36.1046,5.055956,human
149,-45.888943,-1.3902386,human
150,-44.885517,1.5507913,human
151,-36.45184,6.966908,human
152,-40.036858,20.734426,human
153,-33.858818,8.697039,human
154,-26.084988,30.715315,human
155,-51.897118,17.338917,human
156,-50.313488,-1.8104937,human
157,-50.506577,-12.667951,human
158,-45.705303,7.589285,human
159,-49.158722,-6.024759,human
160,-44.01598,14.911162,human
161,-50.097397,-4.368285,human
162,-54.02684,-2.4595425,human
163,-37.391167,23.011158,human
164,-57.954514,9.372559,human
165,-42.102684,0.81828696,human
166,-35.475636,5.233098,human
167,-44.946396,22.731163,human
168,-24.868494,22.486132,human
169,-53.78093,8.487973,human
170,-58.323788,4.6079044,human
171,-46.443485,-0.9871475,human
