value,metric,Dataset,kernel_size,Task
0.3634,r2,human,17,MPA n
0.61998,spr,human,17,MPA n
0.37324,r2,human,17,MPA n
0.63078,spr,human,17,MPA n
0.40039,r2,human,17,MPA n
0.65387,spr,human,17,MPA n
0.52165,r2,human,3,MPA n
0.74375,spr,human,3,MPA n
0.51658,r2,human,3,MPA n
0.74146,spr,human,3,MPA n
0.52297,r2,human,3,MPA n
0.74473,spr,human,3,MPA n
0.41057,r2,human,5,MPA n
0.6604,spr,human,5,MPA n
0.403,r2,human,5,MPA n
0.64957,spr,human,5,MPA n
0.41237,r2,human,5,MPA n
0.65732,spr,human,5,MPA n
0.37556,r2,human,9,MPA n
0.62822,spr,human,9,MPA n
0.3734,r2,human,9,MPA n
0.62558,spr,human,9,MPA n
0.38104,r2,human,9,MPA n
0.63318,spr,human,9,MPA n
0.43449,r2,unmod1,17,MPA a
0.78633,spr,unmod1,17,MPA a
0.48816,r2,unmod1,17,MPA a
0.76855,spr,unmod1,17,MPA a
0.45915,r2,unmod1,17,MPA a
0.77592,spr,unmod1,17,MPA a
0.81048,r2,unmod1,3,MPA a
0.88156,spr,unmod1,3,MPA a
0.8119,r2,unmod1,3,MPA a
0.88296,spr,unmod1,3,MPA a
0.59155,r2,unmod1,3,MPA a
0.79813,spr,unmod1,3,MPA a
0.58202,r2,unmod1,5,MPA a
0.79256,spr,unmod1,5,MPA a
0.67043,r2,unmod1,5,MPA a
0.83281,spr,unmod1,5,MPA a
0.62164,r2,unmod1,5,MPA a
0.81279,spr,unmod1,5,MPA a
0.47626,r2,unmod1,9,MPA a
0.76629,spr,unmod1,9,MPA a
0.51295,r2,unmod1,9,MPA a
0.77862,spr,unmod1,9,MPA a
0.54625,r2,unmod1,9,MPA a
0.7939,spr,unmod1,9,MPA a
0.11533,r2,vleng,17,MPA v
0.33119,spr,vleng,17,MPA v
0.15135,r2,vleng,17,MPA v
0.37389,spr,vleng,17,MPA v
0.14295,r2,vleng,17,MPA v
0.36639,spr,vleng,17,MPA v
0.58433,r2,vleng,3,MPA v
0.74488,spr,vleng,3,MPA v
0.58936,r2,vleng,3,MPA v
0.74446,spr,vleng,3,MPA v
0.41289,r2,vleng,3,MPA v
0.57967,spr,vleng,3,MPA v
0.21939,r2,vleng,5,MPA v
0.44525,spr,vleng,5,MPA v
0.30331,r2,vleng,5,MPA v
0.52805,spr,vleng,5,MPA v
0.17998,r2,vleng,5,MPA v
0.40686,spr,vleng,5,MPA v
0.09691,r2,vleng,9,MPA v
0.28825,spr,vleng,9,MPA v
0.1192,r2,vleng,9,MPA v
0.32098,spr,vleng,9,MPA v
0.14064,r2,vleng,9,MPA v
0.3637,spr,vleng,9,MPA v
