TSEN_xcord,TSEN_ycord,peason_r,spearman_r
11.831008,9.713097,0.143,0.161
14.882882,9.732907,-0.425,-0.375
14.386513,8.539505,0.16,0.164
10.574334,9.906009,-0.04,-0.072
13.978579,7.0259643,0.195,0.205
11.903864,12.443302,0.052,0.022
12.466615,11.900106,-0.022,-0.039
10.905026,10.110649,-0.051,-0.052
14.664681,9.393543,0.258,0.254
11.729269,11.997886,0.174,0.196
12.716736,6.5727134,-0.287,-0.315
11.745498,9.824331,0.189,0.195
12.489866,7.4931107,-0.116,-0.127
13.253371,10.361202,0.069,0.109
13.222149,11.170762,0.239,0.274
13.011638,9.846014,0.181,0.204
14.551842,11.173673,0.062,0.073
15.355825,10.337568,-0.404,-0.379
14.4847355,10.360257,0.119,0.123
10.864465,7.9029846,-0.11,-0.111
12.412847,10.099292,0.063,0.057
12.30634,6.5099034,-0.172,-0.206
14.924933,9.951014,-0.216,-0.155
12.190893,12.745313,0.087,0.106
14.9436035,11.135184,-0.035,-0.058
12.828742,8.296754,-0.069,-0.096
11.8422785,8.496739,0.028,0.047
12.478562,6.777965,-0.217,-0.238
10.628896,8.773912,-0.369,-0.292
12.87138,6.5034466,-0.178,-0.194
13.468798,11.793109,0.326,0.355
14.044603,10.242161,0.007,-0.034
15.381135,9.937238,-0.042,-0.024
15.081195,9.353394,0.202,0.211
14.563717,7.8525043,-0.331,-0.332
13.469232,9.304324,-0.036,-0.072
12.080313,12.785873,0.145,0.168
15.554571,10.332209,-0.382,-0.365
14.926851,9.960706,-0.02,-0.032
13.076797,11.3462305,0.18,0.183
14.750376,9.453062,0.069,0.103
15.281555,8.506409,0.132,0.173
12.561938,11.340777,0.109,0.124
14.663721,11.345321,0.193,0.2
14.0882635,9.022148,-0.069,-0.084
14.244471,7.4872975,-0.092,-0.071
14.802796,11.1263075,0.154,0.175
11.508786,8.37702,-0.376,-0.303
11.92659,12.4442625,0.307,0.331
12.4743805,9.919275,-0.072,-0.116
12.854179,7.614772,-0.325,-0.346
15.4111395,8.767817,0.151,0.167
12.469895,9.697259,0.14,0.165
14.66446,8.201363,-0.015,0.013
11.395956,8.997493,-0.385,-0.402
10.897804,10.291116,0.218,0.234
11.149614,8.51971,-0.359,-0.309
11.653108,10.834837,0.039,0.08
14.704368,8.010386,-0.256,-0.19
12.860953,7.7043653,-0.197,-0.228
10.64817,9.965543,0.096,0.098
12.839159,11.02876,0.204,0.236
13.810963,7.0197983,0.143,0.135
11.189339,11.334345,0.249,0.26
13.160086,7.6869197,-0.411,-0.44
12.389349,8.48516,-0.179,-0.187
