human,Andrev2015,pc3,channel_name
0.218,0.051,0.108,filter_0
-0.074,-0.009,0.035,filter_1
-0.186,-0.091,-0.066,filter_2
-0.145,-0.011,-0.065,filter_3
0.29,0.012,0.105,filter_4
-0.048,0.004,0.049,filter_5
0.192,0.052,0.116,filter_6
0.09,0.033,0.086,filter_7
0.036,0.023,0.049,filter_8
0.175,0.032,0.085,filter_9
0.044,-0.007,0.035,filter_10
0.132,-0.009,0.023,filter_11
-0.237,-0.071,-0.099,filter_12
0.2,0.02,0.092,filter_13
0.197,0.035,0.067,filter_14
-0.243,-0.072,-0.11,filter_15
-0.023,0.024,0.006,filter_16
0.062,-0.01,0.017,filter_17
0.094,0.026,0.041,filter_18
0.129,-0.026,0.028,filter_19
0.121,-0.012,0.034,filter_20
0.108,-0.002,0.053,filter_21
0.199,0.027,0.051,filter_22
0.166,0.011,0.071,filter_23
-0.119,-0.008,-0.056,filter_24
-0.007,-0.003,-0.026,filter_25
0.178,-0.005,0.083,filter_26
0.244,0.007,0.09,filter_27
-0.121,-0.004,0.02,filter_28
-0.319,-0.096,-0.091,filter_29
0.161,-0.015,0.057,filter_30
-0.224,-0.043,-0.09,filter_31
-0.271,-0.059,-0.044,filter_32
-0.01,0.016,0.046,filter_33
0.104,0.047,0.068,filter_34
0.231,0.039,0.126,filter_35
-0.045,0.003,-0.016,filter_36
0.175,0.016,0.073,filter_37
0.093,-0.037,0.006,filter_38
-0.001,-0.05,-0.025,filter_39
-0.146,0.015,-0.005,filter_40
0.117,-0.013,0.053,filter_41
0.282,0.02,0.112,filter_42
0.035,-0.017,0.008,filter_43
-0.138,-0.046,-0.056,filter_44
0.078,0.012,0.08,filter_45
-0.281,-0.136,-0.133,filter_46
-0.002,-0.0,0.02,filter_47
-0.054,-0.015,0.024,filter_48
-0.06,-0.006,0.002,filter_49
0.032,0.0,0.038,filter_50
0.099,0.027,0.006,filter_51
-0.15,-0.059,-0.075,filter_52
0.079,-0.013,0.001,filter_53
-0.22,-0.024,-0.005,filter_54
-0.092,-0.038,-0.051,filter_55
0.152,0.022,0.042,filter_56
-0.358,-0.128,-0.146,filter_57
-0.121,-0.079,-0.056,filter_58
0.288,0.066,0.135,filter_59
0.275,0.041,0.112,filter_60
-0.195,-0.02,-0.059,filter_61
0.182,0.001,0.05,filter_62
-0.347,-0.112,-0.093,filter_63
0.057,0.012,0.05,filter_64
0.07,-0.001,0.024,filter_65
0.005,-0.028,0.036,filter_66
-0.116,-0.053,-0.014,filter_67
-0.14,-0.014,-0.035,filter_68
-0.043,-0.021,0.022,filter_69
0.045,0.004,0.061,filter_70
0.29,0.036,0.132,filter_71
0.0,0.008,0.06,filter_72
-0.035,-0.018,0.003,filter_73
0.128,0.012,0.077,filter_74
0.06,-0.039,0.003,filter_75
0.234,0.035,0.102,filter_76
0.055,-0.016,-0.031,filter_77
0.005,-0.027,0.006,filter_78
0.006,-0.011,0.006,filter_79
-0.187,-0.008,-0.025,filter_80
0.142,0.035,0.126,filter_81
-0.314,-0.127,-0.142,filter_82
-0.174,-0.012,-0.023,filter_83
-0.062,-0.04,-0.077,filter_84
0.031,0.023,0.047,filter_85
-0.462,-0.078,-0.141,filter_86
0.216,0.045,0.115,filter_87
-0.193,-0.042,-0.086,filter_88
-0.013,0.032,0.065,filter_89
-0.015,-0.014,0.052,filter_90
0.022,0.024,0.018,filter_91
-0.027,0.009,0.028,filter_92
0.178,-0.005,0.095,filter_93
-0.04,0.016,0.016,filter_94
0.206,0.044,0.117,filter_95
0.222,0.014,0.091,filter_96
0.132,0.041,0.071,filter_97
-0.059,-0.007,0.017,filter_98
-0.238,-0.058,-0.068,filter_99
0.086,0.009,0.029,filter_100
-0.013,-0.041,-0.005,filter_101
-0.28,-0.025,-0.05,filter_102
-0.015,-0.069,-0.026,filter_103
-0.414,-0.103,-0.164,filter_104
-0.243,-0.078,-0.064,filter_105
0.242,0.045,0.129,filter_106
0.1,-0.02,0.061,filter_107
0.19,0.039,0.068,filter_108
0.035,-0.013,0.029,filter_109
-0.076,-0.001,0.005,filter_110
0.205,0.02,0.14,filter_111
-0.209,-0.063,-0.066,filter_112
0.189,0.018,0.088,filter_113
-0.206,-0.052,-0.099,filter_114
0.143,0.035,0.091,filter_115
-0.292,-0.029,-0.116,filter_116
0.184,-0.008,0.054,filter_117
-0.132,-0.004,-0.039,filter_118
0.068,0.03,0.037,filter_119
-0.047,-0.06,-0.036,filter_120
0.213,0.055,0.122,filter_121
-0.094,-0.001,0.005,filter_122
0.043,0.025,0.06,filter_123
0.114,-0.012,0.078,filter_124
-0.416,-0.135,-0.198,filter_125
0.004,0.017,0.016,filter_126
0.024,-0.009,0.039,filter_127
-0.387,-0.104,-0.126,filter_128
-0.225,-0.004,-0.042,filter_129
-0.422,-0.159,-0.148,filter_130
-0.041,0.002,0.012,filter_131
-0.125,-0.098,-0.078,filter_132
-0.17,-0.015,-0.064,filter_133
0.144,0.012,0.037,filter_134
0.031,-0.033,0.007,filter_135
-0.008,0.022,0.022,filter_136
-0.013,-0.038,0.002,filter_137
0.239,0.05,0.107,filter_138
-0.131,0.027,-0.015,filter_139
-0.028,0.023,0.032,filter_140
-0.015,0.023,0.012,filter_141
-0.367,-0.066,-0.115,filter_142
0.11,-0.027,0.022,filter_143
-0.419,-0.084,-0.153,filter_144
0.145,-0.024,0.049,filter_145
-0.14,-0.05,-0.093,filter_146
0.017,0.017,0.043,filter_147
-0.137,-0.105,-0.034,filter_148
-0.02,0.005,0.013,filter_149
-0.057,0.021,0.007,filter_150
0.096,0.015,0.066,filter_151
-0.045,-0.041,-0.07,filter_152
0.125,0.028,0.051,filter_153
-0.131,-0.014,-0.051,filter_154
-0.032,0.0,-0.008,filter_155
-0.076,-0.027,-0.023,filter_156
0.075,0.01,0.047,filter_157
0.185,0.04,0.1,filter_158
0.182,0.023,0.075,filter_159
0.095,-0.002,0.037,filter_160
0.106,0.033,0.045,filter_161
-0.049,-0.011,0.013,filter_162
0.236,0.008,0.07,filter_163
0.071,-0.006,0.027,filter_164
0.165,-0.012,0.036,filter_165
0.031,0.015,0.051,filter_166
0.235,0.049,0.151,filter_167
-0.336,-0.142,-0.108,filter_168
0.22,0.004,0.098,filter_169
0.094,-0.007,0.067,filter_170
0.263,-0.007,0.081,filter_171
0.148,0.007,0.049,filter_172
0.0,0.006,-0.018,filter_173
-0.229,-0.055,-0.06,filter_174
0.149,0.015,0.073,filter_175
-0.172,-0.082,-0.046,filter_176
0.138,0.021,0.05,filter_177
-0.102,-0.014,-0.029,filter_178
0.209,0.041,0.105,filter_179
0.083,0.018,0.029,filter_180
-0.029,-0.001,0.052,filter_181
