human,Andrev2015,pc3,channel_name
0.244,0.056,0.109,filter_0
-0.009,0.014,0.056,filter_1
-0.152,-0.089,-0.059,filter_2
-0.174,0.003,-0.052,filter_3
0.32,0.023,0.115,filter_4
-0.014,0.007,0.051,filter_5
0.194,0.057,0.121,filter_6
0.128,0.039,0.087,filter_7
0.041,0.023,0.044,filter_8
0.177,0.036,0.084,filter_9
0.066,-0.005,0.034,filter_10
0.148,-0.003,0.027,filter_11
-0.254,-0.072,-0.1,filter_12
0.194,0.017,0.092,filter_13
0.18,0.042,0.077,filter_14
-0.243,-0.074,-0.11,filter_15
-0.057,0.032,0.01,filter_16
0.06,-0.009,0.023,filter_17
0.085,0.033,0.044,filter_18
0.166,-0.01,0.043,filter_19
0.127,-0.012,0.032,filter_20
0.147,0.003,0.063,filter_21
0.208,0.032,0.057,filter_22
0.167,0.018,0.063,filter_23
-0.149,-0.011,-0.053,filter_24
-0.021,0.011,-0.017,filter_25
0.205,0.006,0.086,filter_26
0.258,0.01,0.085,filter_27
-0.179,-0.012,0.014,filter_28
-0.308,-0.093,-0.089,filter_29
0.194,-0.014,0.062,filter_30
-0.246,-0.025,-0.069,filter_31
-0.241,-0.057,-0.049,filter_32
-0.02,0.023,0.048,filter_33
0.126,0.048,0.064,filter_34
0.262,0.044,0.124,filter_35
-0.048,0.011,-0.014,filter_36
0.185,0.027,0.074,filter_37
0.134,-0.033,0.014,filter_38
0.024,-0.046,-0.022,filter_39
-0.175,0.025,0.002,filter_40
0.141,-0.014,0.04,filter_41
0.316,0.031,0.118,filter_42
0.07,-0.021,0.008,filter_43
-0.103,-0.021,-0.026,filter_44
0.085,0.012,0.084,filter_45
-0.251,-0.128,-0.129,filter_46
-0.009,0.009,0.031,filter_47
-0.039,-0.007,0.018,filter_48
-0.072,0.001,0.015,filter_49
0.014,-0.01,0.032,filter_50
0.088,0.023,-0.011,filter_51
-0.147,-0.062,-0.077,filter_52
0.084,-0.019,-0.007,filter_53
-0.201,-0.012,-0.002,filter_54
-0.082,-0.035,-0.038,filter_55
0.186,0.031,0.055,filter_56
-0.319,-0.135,-0.161,filter_57
-0.09,-0.075,-0.057,filter_58
0.308,0.081,0.143,filter_59
0.3,0.054,0.118,filter_60
-0.231,-0.015,-0.056,filter_61
0.199,0.008,0.05,filter_62
-0.328,-0.107,-0.088,filter_63
0.054,0.018,0.052,filter_64
0.062,0.006,0.029,filter_65
0.03,-0.02,0.037,filter_66
-0.044,-0.035,0.015,filter_67
-0.153,-0.017,-0.027,filter_68
-0.005,-0.012,0.025,filter_69
0.05,0.012,0.067,filter_70
0.324,0.043,0.137,filter_71
-0.01,0.021,0.075,filter_72
-0.051,-0.018,-0.002,filter_73
0.168,0.014,0.085,filter_74
0.109,-0.035,0.014,filter_75
0.24,0.044,0.103,filter_76
0.049,-0.021,-0.038,filter_77
0.016,-0.024,0.011,filter_78
0.02,-0.009,0.015,filter_79
-0.219,-0.013,-0.027,filter_80
0.161,0.046,0.129,filter_81
-0.315,-0.123,-0.149,filter_82
-0.168,-0.005,-0.019,filter_83
-0.026,-0.047,-0.074,filter_84
0.046,0.024,0.042,filter_85
-0.463,-0.077,-0.132,filter_86
0.214,0.046,0.119,filter_87
-0.225,-0.038,-0.071,filter_88
-0.017,0.03,0.06,filter_89
-0.002,-0.013,0.066,filter_90
0.007,0.025,0.019,filter_91
-0.011,0.013,0.028,filter_92
0.199,-0.0,0.09,filter_93
-0.045,0.019,0.015,filter_94
0.22,0.054,0.121,filter_95
0.262,0.026,0.092,filter_96
0.113,0.045,0.084,filter_97
-0.064,-0.005,0.023,filter_98
-0.23,-0.048,-0.058,filter_99
0.077,0.008,0.033,filter_100
-0.01,-0.03,0.0,filter_101
-0.269,-0.029,-0.051,filter_102
-0.003,-0.062,-0.026,filter_103
-0.416,-0.098,-0.157,filter_104
-0.215,-0.083,-0.068,filter_105
0.252,0.049,0.128,filter_106
0.113,-0.015,0.066,filter_107
0.211,0.045,0.073,filter_108
0.07,-0.007,0.033,filter_109
-0.105,0.003,-0.005,filter_110
0.22,0.03,0.144,filter_111
-0.198,-0.054,-0.058,filter_112
0.188,0.017,0.079,filter_113
-0.177,-0.048,-0.092,filter_114
0.144,0.039,0.09,filter_115
-0.303,-0.017,-0.104,filter_116
0.224,-0.003,0.061,filter_117
-0.146,-0.011,-0.033,filter_118
0.06,0.035,0.043,filter_119
0.037,-0.042,-0.005,filter_120
0.242,0.055,0.117,filter_121
-0.132,0.015,0.01,filter_122
0.019,0.035,0.063,filter_123
0.144,-0.005,0.088,filter_124
-0.406,-0.136,-0.203,filter_125
-0.017,0.014,0.022,filter_126
0.063,-0.002,0.038,filter_127
-0.377,-0.106,-0.132,filter_128
-0.269,-0.004,-0.033,filter_129
