human,Andrev2015,pc3,channel_name
-0.049078114,0.28852442,0.21377943,filter_0
-0.024659546,0.10975177,-0.050938655,filter_1
-0.2803617,-0.49484533,-0.073670544,filter_2
-0.006249159,-0.010807149,0.054409966,filter_3
-0.02905814,0.12847838,0.23230858,filter_4
-0.04227707,-0.12291395,-0.07011285,filter_5
0.13130192,0.052119996,0.07679353,filter_6
0.14248805,0.18668751,0.17078309,filter_7
0.061329678,0.094616644,-0.14073159,filter_8
0.018540818,-0.3148867,-0.011830667,filter_9
0.052816436,0.098011784,0.08406416,filter_10
0.08755865,0.03862639,-0.07907623,filter_11
0.012018956,-0.07136281,-0.10706341,filter_12
0.35637948,-0.0887194,-0.004510021,filter_13
0.25098902,-0.060867805,0.005976364,filter_14
-0.1622896,-0.5206028,-0.24560389,filter_15
0.088336594,-0.07104144,-0.14783022,filter_16
0.14167629,-0.007319911,0.021553686,filter_17
0.07670111,0.18449296,0.09635356,filter_18
0.15633635,-0.30846784,-0.27525207,filter_19
-0.15358882,-0.11810053,-0.01346786,filter_20
-0.03691247,0.13104236,0.048915643,filter_21
-0.10718808,0.056508757,-0.0063905306,filter_22
0.27282286,-0.040293317,-0.022120297,filter_23
-0.018659556,-0.16355146,-0.034182128,filter_24
0.14414483,-0.010524188,-0.16132341,filter_25
0.09219148,-0.021748792,0.13954048,filter_26
0.16615796,0.15094958,0.072861604,filter_27
0.010119709,-0.046887297,0.17257124,filter_28
-0.2590602,-0.37857088,-0.0883911,filter_29
0.045125183,-0.06846861,0.12519448,filter_30
-0.08322574,-0.17850108,-0.033260904,filter_31
-0.15161534,-0.18394877,-0.015911942,filter_32
-0.16427964,0.1824654,0.08455287,filter_33
0.1649076,0.17646594,0.024965936,filter_34
-0.044854645,0.06668374,0.13589886,filter_35
0.1384982,-0.16961262,0.061764807,filter_36
-0.011412195,-0.003127883,0.088057816,filter_37
0.07783811,-0.12954926,-0.07480063,filter_38
-0.09824007,-0.12458438,-0.23012646,filter_39
-0.13155395,0.039333027,0.067511365,filter_40
-0.28034765,-0.38452545,0.21633562,filter_41
0.10317811,-0.0021151952,0.07078297,filter_42
-0.09897431,0.01206148,-0.083553694,filter_43
0.036878396,0.09508668,0.05756135,filter_44
0.101022445,-0.012673556,-0.023191966,filter_45
-0.35268405,-0.29568556,-0.30674094,filter_46
0.0055290167,0.008946387,0.09565731,filter_47
-0.051327307,-0.097375974,-0.017989174,filter_48
-0.014011673,-0.0010053129,0.059170175,filter_49
0.18179992,0.082711965,0.026340622,filter_50
-0.016027765,0.30586174,-0.046777632,filter_51
0.03329939,-0.11308313,-0.02743579,filter_52
0.07778981,-0.08271205,-0.12237812,filter_53
-0.15080637,0.073554575,-0.10102807,filter_54
-0.036027458,-0.093257725,0.15536442,filter_55
-0.0017802608,-0.0034819932,-0.0043576313,filter_56
-0.39299265,-0.044903297,0.13668953,filter_57
-0.42038321,-0.27823117,-0.1805882,filter_58
0.2244939,0.01688961,0.029860854,filter_59
0.12284022,0.27357593,0.084333986,filter_60
-0.10469759,-0.14157228,-0.01701225,filter_61
0.0050718817,0.008002732,0.028557338,filter_62
-0.48779875,-0.057479303,0.02166769,filter_63
0.12751912,-0.16593157,0.035257302,filter_64
0.037542958,0.0777378,-0.15101697,filter_65
0.23134206,-0.019972298,-0.025433533,filter_66
-0.002194745,-0.18730691,-0.13639468,filter_67
-0.15169948,-0.09951286,0.06464831,filter_68
-0.07154579,0.10021534,0.033453986,filter_69
0.09956126,-0.04445177,0.16699608,filter_70
0.14838718,-0.001974796,0.06337712,filter_71
0.08119992,0.32742962,0.033563096,filter_72
-0.06746621,0.2234367,-0.099390656,filter_73
0.02497177,-0.13893092,0.04161138,filter_74
0.087472826,0.12562822,-0.07039909,filter_75
0.27141985,-0.021275826,0.0027269323,filter_76
-0.023259345,0.16504562,0.00071388565,filter_77
0.18150312,-0.22525764,-0.05249676,filter_78
0.0651517,-0.040884864,0.054847293,filter_79
-0.15022455,0.060092267,0.07452198,filter_80
0.0814164,0.28559366,0.36883488,filter_81
-0.38964584,-0.041469283,0.03588087,filter_82
-0.03641391,0.20271936,0.0765451,filter_83
-0.07429858,0.47939718,0.4486104,filter_84
0.03308654,0.19801888,-0.055329137,filter_85
-0.42855796,0.004178143,-0.24159168,filter_86
0.23272066,-0.1303613,0.022825234,filter_87
-0.14666063,0.06289695,0.027335528,filter_88
-0.01194289,0.38630372,0.50491273,filter_89
-0.15357523,0.033270266,-0.006347924,filter_90
0.16377495,0.080077596,-0.010637099,filter_91
0.036002256,0.18242343,0.035151247,filter_92
0.1089283,0.047202658,0.07414285,filter_93
-0.055328444,0.024026407,-0.04015864,filter_94
0.12729637,0.024242856,0.16573037,filter_95
0.121284604,0.09090705,0.17973487,filter_96
0.08611081,0.10462268,-0.00960267,filter_97
0.05343966,-0.24025576,-0.010699468,filter_98
-0.10135643,0.10390405,-0.049096655,filter_99
0.14675464,-0.28243393,-0.13906929,filter_100
0.09284998,-0.055051118,-0.07043004,filter_101
-0.2201478,-0.027722629,0.066953786,filter_102
-0.16730453,0.10810081,-0.02552707,filter_103
-0.24731524,-0.057942096,0.07137806,filter_104
-0.068150274,0.0036723323,0.026498599,filter_105
0.18289825,0.1767502,0.1715931,filter_106
0.14692353,-0.060870133,0.095261574,filter_107
0.16735922,0.24339752,0.052015807,filter_108
0.037440848,-0.006698559,-0.13916409,filter_109
0.16973747,-0.008661612,-0.045823064,filter_110
0.23826057,0.2181769,0.046899617,filter_111
-0.064793125,-0.1059607,-0.10595174,filter_112
0.17977312,0.14870362,-0.060274936,filter_113
-0.18017045,0.2078983,0.16423619,filter_114
0.27708632,0.012246334,0.13946122,filter_115
-0.13595043,0.3609084,0.16230683,filter_116
-0.0057874713,-0.035036597,0.20492911,filter_117
-0.19774592,0.3211274,0.019145567,filter_118
0.116133936,0.4056292,0.05047032,filter_119
-0.08621249,0.028658137,0.13067502,filter_120
0.021246014,0.23302194,0.14856963,filter_121
-0.045914188,-0.012423924,0.008598058,filter_122
0.14449218,-0.31497929,0.1346416,filter_123
-0.008147233,0.006883335,0.124837145,filter_124
-0.40344003,-0.2621905,-0.054135647,filter_125
0.020445425,-0.12182351,-0.14975911,filter_126
-0.034861416,0.09563035,0.112242945,filter_127
-0.33118698,0.00017722805,-0.050309572,filter_128
-0.12717852,0.08652716,0.09093884,filter_129
-0.46234372,-0.30191708,-0.080193184,filter_130
0.039788287,0.3353916,0.104676224,filter_131
-0.010524541,-0.17503119,-0.089737505,filter_132
-0.21818691,0.11254287,-0.057232216,filter_133
0.25887826,-0.10571205,0.05198336,filter_134
0.06368775,-0.1834621,-0.027342856,filter_135
0.102923736,-0.06036193,-0.23715292,filter_136
0.038848877,-0.11303251,-0.1500018,filter_137
0.16598296,0.16888507,0.14834537,filter_138
-0.038451564,0.11301745,-0.17809425,filter_139
0.07227964,-0.063897684,0.026090398,filter_140
0.1508005,-0.015100159,-0.04336315,filter_141
-0.17832264,-0.06505814,-0.29494172,filter_142
0.19666468,-0.08535342,-0.10303755,filter_143
-0.29595196,0.056896582,-0.07215394,filter_144
0.1579213,-0.12998235,0.03853329,filter_145
0.020752454,0.15165682,-0.0012559042,filter_146
-0.124652945,0.1846228,-0.022410586,filter_147
-0.09440006,-0.17580824,0.027853094,filter_148
-0.0891898,-0.23701994,-0.04479207,filter_149
-0.073167205,0.15860303,-0.09022105,filter_150
0.111677825,0.02199715,0.07119404,filter_151
-0.08938237,-0.17203324,-0.30833185,filter_152
0.23741284,0.043839935,-0.02566072,filter_153
0.04286062,0.03923285,0.1881781,filter_154
0.11985667,-0.17059256,-0.064836964,filter_155
0.11349955,-0.2720598,-0.0452528,filter_156
0.22931424,-0.2288677,-0.0009763028,filter_157
0.13394617,0.09550143,0.025101466,filter_158
0.123183265,0.04984939,-0.026488509,filter_159
0.3048964,-0.21679428,-0.18052925,filter_160
-0.21154737,-0.50308734,-0.49508733,filter_161
0.0928728,0.02239846,-0.07236884,filter_162
0.26366344,-0.0044538477,-0.09661381,filter_163
-0.12563492,-0.037756376,0.20509937,filter_164
0.29802853,0.19757438,0.12148939,filter_165
0.18779385,0.11402209,-0.12052089,filter_166
0.19439775,0.033773303,0.20449272,filter_167
-0.18677333,-0.45659375,-0.2857249,filter_168
0.010715584,0.18544033,0.07646258,filter_169
0.3081419,-0.14058363,-0.024628475,filter_170
0.1572322,0.050139047,0.078846365,filter_171
0.12699986,0.298002,0.026946807,filter_172
-0.009576746,0.29891068,-0.0043951487,filter_173
-0.04745362,-0.29023284,-0.03460086,filter_174
0.009111842,0.18803616,0.055182017,filter_175
-0.14651082,-0.020657767,0.010349957,filter_176
0.25399438,-0.0900377,-0.0025331557,filter_177
-0.010454806,0.111948766,0.034091674,filter_178
-0.0075007384,0.19904566,0.10855683,filter_179
-0.042192068,0.07958561,0.12132751,filter_180
0.03005306,-0.01020934,-0.046050947,filter_181
0.068135455,-0.1688277,-0.07735234,filter_182
-0.0035767392,0.23912124,0.0141693475,filter_183
-0.005378058,-0.018623065,-0.1223706,filter_184
0.18150282,0.050183255,0.07468597,filter_185
0.054973137,-0.17254393,0.06899402,filter_186
-0.18194368,-0.03845274,-0.18838231,filter_187
-0.45891997,-0.4882795,-0.0991593,filter_188
-0.18522945,-0.007989105,0.13245478,filter_189
0.05691673,-0.051558588,-0.2423898,filter_190
-0.045325696,-0.14236012,-0.035848163,filter_191
0.04883091,-0.081976555,-0.10873933,filter_192
-0.10628326,0.19519956,0.05190332,filter_193
0.11633526,-0.23750001,-0.1066526,filter_194
-0.33259997,-0.27221072,-0.07609141,filter_195
-0.025868732,-0.20087688,-0.2001368,filter_196
-0.4628317,-0.09035285,0.015721396,filter_197
-0.6436205,0.04715015,-0.089091145,filter_198
0.18769313,0.081245,0.09911314,filter_199
0.32217562,0.04772558,-0.024114428,filter_200
0.056823425,-0.033391364,-0.04329974,filter_201
0.14010967,0.20085746,0.08856595,filter_202
0.06934251,-0.046700522,0.06866227,filter_203
-0.05232263,0.21351865,0.07037641,filter_204
-0.26531047,-0.0057132496,-0.1521223,filter_205
0.057871453,0.08525653,0.03686242,filter_206
0.2025734,0.11056424,0.006215579,filter_207
0.19917876,0.13951458,-0.048014034,filter_208
0.05872664,0.14536937,-0.085870564,filter_209
0.3085936,0.014334762,0.10797203,filter_210
0.15441605,0.037973117,0.25976804,filter_211
0.13065913,0.11906482,0.08548179,filter_212
-0.009783825,0.072090626,-0.0017054749,filter_213
-0.004640113,0.11519728,-0.17271498,filter_214
-0.06878956,0.23687154,0.04793514,filter_215
0.031344403,0.14408931,-0.0968515,filter_216
0.18536383,0.09857977,-0.102766596,filter_217
-0.078114346,-0.05009276,-0.04427929,filter_218
0.09395001,-0.0529232,0.04896027,filter_219
0.2296411,-0.10605247,0.11905437,filter_220
0.02799486,0.16610236,-0.21667884,filter_221
-0.040735498,0.40628207,0.16521522,filter_222
-0.14671566,0.14807703,0.06254092,filter_223
-0.37895066,-0.25289795,-0.35746726,filter_224
-0.0840074,0.031996332,0.03174767,filter_225
0.08297487,0.08582406,-0.17417975,filter_226
-0.042352665,0.13794838,0.007033668,filter_227
-0.17887163,0.06723396,0.11692356,filter_228
-0.1085842,0.124604575,0.100482695,filter_229
0.0331929,0.17137405,0.2520092,filter_230
0.25466886,-0.1278364,0.0050076135,filter_231
-0.19372262,0.008157538,-0.26339498,filter_232
-0.14132306,-0.3431756,-0.103372574,filter_233
-0.051077496,-0.115075186,-0.1586114,filter_234
