Andrev2015,pc3,muscle,human,vleng,channel_name
-0.025,-0.047,-0.086,-0.205,-0.082,filter_0
-0.002,0.003,-0.054,0.107,-0.007,filter_1
0.024,0.064,-0.065,0.171,-0.012,filter_2
0.013,-0.02,-0.039,-0.07,0.029,filter_3
-0.061,-0.041,-0.127,-0.095,-0.11,filter_4
0.013,-0.004,-0.025,-0.034,-0.023,filter_5
0.026,0.067,-0.028,0.159,0.008,filter_6
0.063,0.077,0.051,0.092,-0.041,filter_7
0.062,0.06,-0.04,-0.083,0.033,filter_8
-0.01,0.035,0.009,0.17,0.046,filter_9
0.002,-0.068,-0.051,-0.281,-0.145,filter_10
-0.062,0.003,-0.014,0.034,-0.243,filter_11
-0.004,0.018,-0.077,-0.06,-0.02,filter_12
-0.062,-0.058,-0.031,-0.191,-0.253,filter_13
-0.019,0.026,-0.007,-0.045,-0.047,filter_14
0.045,0.082,-0.12,0.148,-0.018,filter_15
-0.094,-0.139,-0.147,-0.371,-0.269,filter_16
0.008,0.021,-0.029,0.121,-0.039,filter_17
-0.062,-0.054,-0.036,-0.104,-0.144,filter_18
-0.052,-0.062,-0.114,-0.24,-0.226,filter_19
-0.02,0.004,0.067,-0.159,-0.047,filter_20
0.012,-0.024,-0.076,-0.171,-0.096,filter_21
-0.109,-0.079,-0.098,-0.171,-0.281,filter_22
-0.015,-0.007,0.011,0.058,0.07,filter_23
-0.014,-0.041,-0.038,-0.276,-0.173,filter_24
0.046,0.024,0.05,-0.059,0.051,filter_25
0.04,0.069,-0.183,0.219,0.021,filter_26
-0.031,-0.004,-0.117,0.032,-0.097,filter_27
-0.021,0.002,-0.106,-0.076,-0.14,filter_28
0.01,-0.013,-0.005,0.023,0.03,filter_29
-0.01,-0.027,-0.033,0.037,-0.033,filter_30
0.003,0.013,0.082,0.152,0.077,filter_31
-0.04,-0.075,-0.057,-0.262,-0.039,filter_32
-0.041,-0.066,-0.072,-0.236,-0.207,filter_33
-0.036,-0.099,-0.017,-0.176,0.02,filter_34
-0.014,0.009,0.068,-0.13,0.007,filter_35
-0.014,0.04,-0.03,0.188,0.018,filter_36
-0.016,0.008,-0.027,0.071,-0.004,filter_37
0.041,0.008,0.1,-0.061,0.043,filter_38
-0.056,-0.042,0.072,-0.077,-0.054,filter_39
-0.005,-0.049,-0.01,-0.185,-0.007,filter_40
-0.005,-0.047,-0.077,-0.14,-0.098,filter_41
-0.088,-0.137,-0.066,-0.312,-0.108,filter_42
-0.028,-0.079,0.012,-0.144,-0.014,filter_43
-0.012,-0.007,-0.027,-0.132,0.0,filter_44
-0.029,-0.05,0.03,-0.189,-0.003,filter_45
-0.074,-0.061,-0.018,-0.28,-0.145,filter_46
-0.04,-0.069,0.085,-0.226,-0.065,filter_47
0.013,0.031,0.083,-0.068,0.058,filter_48
0.018,0.065,-0.082,0.183,-0.07,filter_49
-0.0,0.075,-0.073,0.12,-0.162,filter_50
-0.045,-0.09,-0.017,-0.316,-0.037,filter_51
-0.034,-0.078,0.026,-0.25,-0.106,filter_52
-0.02,0.006,-0.112,-0.079,-0.053,filter_53
0.005,0.032,-0.15,0.155,0.012,filter_54
-0.03,-0.009,-0.18,-0.156,-0.174,filter_55
0.001,-0.011,-0.011,-0.05,0.012,filter_56
-0.009,-0.061,-0.113,-0.168,-0.034,filter_57
-0.008,-0.056,-0.018,-0.218,-0.045,filter_58
0.032,0.096,-0.035,0.057,0.041,filter_59
-0.001,0.014,0.07,-0.0,0.013,filter_60
-0.032,-0.022,-0.064,-0.22,-0.174,filter_61
0.027,0.054,-0.093,0.2,-0.028,filter_62
0.039,0.01,-0.144,-0.033,-0.052,filter_63
-0.062,-0.012,-0.064,0.023,-0.225,filter_64
-0.004,0.032,-0.059,0.073,-0.028,filter_65
-0.006,0.037,-0.111,0.126,-0.03,filter_66
0.001,0.017,-0.102,0.03,0.016,filter_67
-0.025,-0.092,-0.033,-0.272,-0.031,filter_68
-0.013,-0.063,-0.13,-0.245,-0.125,filter_69
0.0,0.034,-0.119,0.155,-0.043,filter_70
0.037,0.102,0.052,0.268,0.032,filter_71
-0.063,-0.054,-0.1,-0.271,-0.316,filter_72
-0.06,-0.113,-0.104,-0.406,-0.121,filter_73
-0.076,-0.12,-0.15,-0.194,-0.085,filter_74
-0.044,-0.046,0.102,-0.033,-0.015,filter_75
-0.01,-0.044,0.004,-0.128,0.022,filter_76
0.001,0.03,0.095,-0.012,0.056,filter_77
-0.008,-0.033,0.02,-0.1,-0.041,filter_78
-0.015,0.02,-0.137,-0.017,-0.157,filter_79
-0.014,0.034,-0.07,0.147,-0.044,filter_80
0.001,-0.053,-0.074,-0.217,-0.003,filter_81
-0.02,0.028,-0.076,0.096,-0.094,filter_82
-0.036,-0.047,-0.032,-0.13,-0.075,filter_83
0.031,0.099,-0.037,0.192,0.001,filter_84
-0.022,-0.027,-0.1,-0.131,-0.048,filter_85
-0.075,-0.097,-0.041,-0.307,-0.138,filter_86
0.044,0.095,-0.027,0.252,0.033,filter_87
0.042,0.018,0.079,-0.016,0.043,filter_88
-0.035,-0.026,-0.086,-0.139,-0.139,filter_89
-0.047,-0.033,-0.026,-0.199,-0.291,filter_90
-0.078,-0.127,-0.049,-0.379,-0.3,filter_91
-0.023,0.004,-0.057,0.065,-0.106,filter_92
0.018,0.046,0.025,0.056,0.03,filter_93
-0.007,0.041,0.01,-0.071,0.055,filter_94
0.019,0.088,-0.217,0.213,-0.016,filter_95
-0.046,-0.041,0.005,-0.107,-0.072,filter_96
-0.016,0.014,-0.057,-0.107,-0.115,filter_97
0.017,0.018,0.024,-0.053,0.057,filter_98
-0.012,-0.018,-0.048,0.079,-0.024,filter_99
-0.06,-0.122,-0.064,-0.292,-0.042,filter_100
0.052,0.069,-0.155,0.066,-0.009,filter_101
-0.022,-0.025,-0.022,-0.236,-0.127,filter_102
-0.066,-0.059,-0.121,-0.226,-0.2,filter_103
-0.088,-0.123,-0.121,-0.356,-0.231,filter_104
0.023,0.017,-0.134,0.153,-0.012,filter_105
0.018,0.082,-0.16,0.232,0.023,filter_106
-0.018,0.002,-0.007,-0.086,0.003,filter_107
-0.004,-0.067,-0.102,-0.17,-0.03,filter_108
-0.016,0.045,-0.057,0.176,0.026,filter_109
-0.031,-0.034,-0.055,-0.147,-0.16,filter_110
0.019,0.022,0.011,0.069,0.007,filter_111
0.011,-0.056,-0.06,-0.215,-0.018,filter_112
0.025,0.099,-0.049,0.148,0.038,filter_113
-0.085,-0.126,-0.125,-0.362,-0.344,filter_114
0.002,0.048,0.027,0.082,0.058,filter_115
0.029,0.038,-0.101,-0.059,0.042,filter_116
-0.026,0.024,-0.043,0.001,0.045,filter_117
-0.04,-0.072,-0.118,-0.171,-0.074,filter_118
-0.011,0.054,-0.09,0.131,-0.035,filter_119
0.03,0.044,0.02,-0.004,0.076,filter_120
-0.018,-0.004,-0.12,0.036,-0.11,filter_121
0.028,0.023,-0.016,0.085,0.007,filter_122
0.028,0.069,0.067,0.197,0.056,filter_123
0.028,0.083,-0.158,0.266,0.021,filter_124
-0.069,-0.083,-0.159,-0.227,-0.305,filter_125
-0.033,-0.032,-0.127,-0.102,-0.208,filter_126
0.033,0.055,-0.1,0.216,-0.011,filter_127
-0.055,-0.056,-0.1,0.032,-0.138,filter_128
-0.044,-0.048,-0.164,-0.104,-0.14,filter_129
0.054,0.095,-0.115,0.3,0.029,filter_130
0.024,0.106,-0.148,0.276,0.003,filter_131
-0.006,0.056,-0.058,0.221,0.032,filter_132
-0.051,-0.1,-0.017,-0.246,-0.091,filter_133
-0.021,-0.06,-0.108,-0.21,-0.07,filter_134
0.011,0.076,-0.129,0.182,-0.001,filter_135
