Andrev2015,pc3,muscle,human,vleng,channel_name
0.16024162,0.10134365,-0.12645955,-0.1027316,-0.0045542014,filter_0
0.11132649,-0.006064794,0.050835043,0.0060369927,-0.038567536,filter_1
-0.19755723,-0.17688228,0.108366914,0.32006562,0.17299505,filter_2
-0.11682422,-0.1895068,-0.2846998,0.13539681,0.060481932,filter_3
-0.2645994,-0.12411303,0.0014316065,-0.18736732,-0.08107928,filter_4
0.17996107,0.02237607,0.10452061,-0.14782235,0.0686687,filter_5
0.12597427,0.19724564,-0.21340531,0.2353351,0.07912111,filter_6
0.22944061,0.11348525,-0.31635296,-0.12151388,0.14779302,filter_7
-0.16105874,0.060040414,0.06703058,0.08481847,0.010992081,filter_8
-0.048414677,-0.36259297,0.19747552,-0.20149231,-0.1882222,filter_9
0.3074629,-0.12696898,-0.047815215,0.0025713756,0.14926733,filter_10
-0.23874563,-0.16381799,-0.22105663,0.02882816,-0.101556994,filter_11
0.010602942,-0.0880935,-0.091528505,-0.072148144,0.010349433,filter_12
-0.17386359,-0.047627047,-0.20166889,-0.38884273,-0.4322035,filter_13
-0.19659495,-0.19076549,0.106809266,0.11004421,-0.0078677535,filter_14
-0.12413391,0.07065759,-0.072766475,-0.074022345,-0.009662362,filter_15
-0.07841141,-0.16110323,0.24591847,-0.1810656,-0.36188385,filter_16
0.3720033,0.05702181,0.10370752,0.14662148,0.19686386,filter_17
0.21641512,0.0004375904,0.36161807,-0.014811475,0.06325682,filter_18
0.16262357,-0.065666296,0.15380618,0.09886754,0.18163955,filter_19
0.12008996,-0.0096544605,-0.057744343,-0.3134639,-0.16282046,filter_20
0.30240843,-0.07923131,-0.112593204,0.15486485,0.12628311,filter_21
-0.32174647,0.017659307,-0.0743641,-0.18898563,-0.1987834,filter_22
-0.22217532,0.008195163,0.10165836,0.14452587,0.013591203,filter_23
0.039496243,0.069023006,0.097595215,-0.08939766,0.03388193,filter_24
0.051768057,-0.008470103,0.43437937,0.113106415,0.077218115,filter_25
-0.15024734,-0.04395842,-0.26320153,0.15714319,0.12825714,filter_26
-0.051799096,-0.26576945,0.15404354,-0.085273586,-0.06947551,filter_27
-0.09357053,0.099509,-0.30301803,-0.028948458,0.023817135,filter_28
0.1569866,0.14003707,0.32111862,-0.083119884,-0.038624104,filter_29
0.00070764247,-0.35465044,-0.016715145,-0.01784806,0.019954322,filter_30
0.047491666,-0.15291269,0.52870536,0.54161984,0.1507233,filter_31
-0.05797461,0.11197446,-0.028813979,0.026776833,0.0015600387,filter_32
-0.17508389,-0.040275898,-0.20936148,0.01659764,-0.0014897705,filter_33
0.31224006,0.20163193,0.12245511,-0.10043361,0.095827006,filter_34
0.09009547,0.0028468024,-0.07122076,-0.040580254,-0.048958223,filter_35
-0.27432814,-0.010251726,-0.059045747,-0.0559221,0.011658409,filter_36
-0.11111095,0.048798855,0.21600263,0.054825477,0.105313316,filter_37
-0.054060232,-0.13625278,0.16145158,0.076546475,0.08881337,filter_38
-0.20112164,0.04630859,-0.0009507769,0.11981521,0.1256312,filter_39
0.023185896,-0.012204849,0.28252977,0.021219099,0.13961627,filter_40
-0.0034253115,0.033906907,0.03595427,-0.10075783,-0.1447331,filter_41
-0.20614012,0.07102885,-0.06976741,0.07080931,0.08978122,filter_42
-0.19109136,-0.068314016,0.026469253,0.033366986,0.060163647,filter_43
0.15623373,-0.13147207,-0.06956227,-0.05344801,0.059385315,filter_44
-0.052446365,0.1339041,0.014784065,0.09984331,0.12967317,filter_45
-0.2826022,-0.052781038,-0.103295974,-0.17146309,-0.2453742,filter_46
-0.102244884,-0.14371267,0.07717885,-0.22211204,-0.18374105,filter_47
