unmod1,human,vleng,Andrev2015,pc3,channel_name
0.042,0.009,0.051,0.033,0.027,filter_0
-0.114,-0.34,-0.112,-0.066,-0.134,filter_1
0.029,-0.007,-0.02,-0.025,0.031,filter_2
0.025,-0.182,0.012,-0.014,-0.043,filter_3
-0.253,-0.325,-0.262,-0.106,-0.13,filter_4
0.023,-0.027,-0.018,-0.012,-0.025,filter_5
,,,,,filter_6
-0.095,0.152,-0.115,0.002,0.052,filter_7
-0.079,0.165,-0.099,0.005,0.051,filter_8
0.098,0.077,0.084,0.05,0.058,filter_9
-0.099,0.135,-0.095,-0.004,0.085,filter_10
0.018,0.19,-0.008,-0.007,0.064,filter_11
0.044,-0.002,0.016,-0.001,-0.009,filter_12
0.084,0.098,0.045,0.038,0.09,filter_13
0.027,-0.217,0.02,-0.017,-0.048,filter_14
0.05,-0.139,0.042,-0.003,-0.008,filter_15
-0.08,0.162,-0.064,-0.0,0.034,filter_16
0.022,0.105,0.022,0.024,0.049,filter_17
0.043,0.136,-0.023,0.03,0.066,filter_18
0.056,0.063,0.011,0.022,0.069,filter_19
-0.196,-0.332,-0.219,-0.091,-0.129,filter_20
0.098,0.289,0.063,0.075,0.091,filter_21
0.037,-0.068,0.047,-0.017,-0.039,filter_22
-0.047,0.017,-0.049,0.042,0.041,filter_23
0.067,-0.08,0.052,-0.026,-0.022,filter_24
0.127,0.346,0.07,-0.002,0.107,filter_25
0.04,-0.074,0.03,0.019,-0.03,filter_26
0.083,0.328,0.066,0.013,0.077,filter_27
0.05,0.288,0.053,0.032,0.092,filter_28
-0.018,-0.008,-0.014,0.004,-0.016,filter_29
-0.081,-0.078,-0.102,-0.041,-0.046,filter_30
-0.07,0.125,-0.054,0.041,0.078,filter_31
-0.227,-0.338,-0.238,-0.088,-0.135,filter_32
0.049,0.067,0.02,0.063,0.116,filter_33
0.103,0.276,0.069,0.035,0.114,filter_34
-0.05,-0.228,-0.046,-0.034,-0.089,filter_35
-0.085,-0.151,-0.102,-0.053,-0.044,filter_36
0.01,0.023,-0.042,-0.001,0.035,filter_37
-0.117,0.116,-0.123,0.031,0.035,filter_38
-0.372,-0.434,-0.372,-0.102,-0.138,filter_39
-0.117,-0.144,-0.144,-0.059,-0.023,filter_40
0.016,0.156,0.003,0.002,0.072,filter_41
0.07,0.1,0.03,-0.008,0.008,filter_42
0.091,0.144,0.033,-0.012,0.062,filter_43
0.058,-0.144,0.014,0.021,0.035,filter_44
-0.089,-0.045,-0.106,-0.046,0.009,filter_45
-0.007,-0.181,-0.014,-0.017,-0.081,filter_46
-0.031,-0.004,-0.066,-0.006,0.035,filter_47
-0.105,-0.002,-0.114,-0.023,0.045,filter_48
-0.287,-0.291,-0.294,-0.049,-0.075,filter_49
-0.165,-0.122,-0.145,-0.053,-0.031,filter_50
-0.062,-0.018,-0.087,0.006,0.026,filter_51
-0.312,-0.292,-0.294,-0.103,-0.115,filter_52
-0.211,-0.034,-0.227,-0.042,-0.002,filter_53
0.039,0.022,-0.0,0.004,0.067,filter_54
-0.475,-0.321,-0.44,-0.121,-0.108,filter_55
-0.33,-0.287,-0.306,-0.094,-0.103,filter_56
0.082,0.204,0.057,-0.002,0.077,filter_57
-0.292,-0.188,-0.324,-0.077,-0.035,filter_58
-0.11,-0.268,-0.133,-0.017,-0.05,filter_59
-0.067,0.133,-0.061,-0.004,0.028,filter_60
0.02,0.145,0.011,0.0,0.036,filter_61
-0.367,-0.338,-0.345,-0.103,-0.11,filter_62
0.046,-0.085,0.032,0.019,0.038,filter_63
0.016,0.072,-0.029,0.004,0.053,filter_64
0.012,0.14,-0.011,0.007,0.042,filter_65
0.005,-0.109,-0.004,0.024,0.045,filter_66
0.052,0.285,0.007,0.023,0.072,filter_67
-0.203,-0.214,-0.206,-0.024,-0.021,filter_68
-0.27,-0.266,-0.271,-0.124,-0.114,filter_69
-0.287,-0.199,-0.292,-0.082,-0.043,filter_70
0.055,0.117,0.006,0.041,0.062,filter_71
-0.086,-0.19,-0.061,-0.034,-0.078,filter_72
0.019,0.301,0.005,0.027,0.097,filter_73
-0.153,0.166,-0.134,-0.033,0.038,filter_74
0.095,0.331,0.059,0.024,0.1,filter_75
0.076,0.222,0.067,-0.013,0.079,filter_76
-0.307,-0.165,-0.296,-0.058,0.001,filter_77
-0.106,0.162,-0.093,-0.034,0.035,filter_78
0.107,0.298,0.058,0.003,0.085,filter_79
-0.277,-0.352,-0.279,-0.086,-0.124,filter_80
-0.321,-0.082,-0.288,-0.091,-0.043,filter_81
-0.055,-0.158,-0.09,-0.051,-0.019,filter_82
0.054,0.267,0.042,0.025,0.1,filter_83
-0.489,-0.297,-0.458,-0.107,-0.069,filter_84
0.026,0.142,-0.005,-0.006,0.014,filter_85
0.044,0.132,0.04,0.052,0.071,filter_86
-0.031,-0.267,-0.031,-0.002,-0.082,filter_87
0.014,-0.185,0.009,0.005,-0.055,filter_88
-0.014,0.13,-0.013,0.045,0.083,filter_89
0.029,-0.053,-0.013,0.018,0.029,filter_90
