unmod1,human,vleng,Andrev2015,pc3,channel_name
0.090998165,0.06831181,0.033829004,-0.053722315,-0.146311,filter_0
-0.1764114,-0.18615814,-0.08777488,0.024455266,-0.22885579,filter_1
0.0049548526,0.017623002,-0.0726613,-0.28240913,0.015324781,filter_2
-0.01867699,0.033172905,-0.046304118,-0.119337924,-0.1290556,filter_3
-0.36059353,-0.18142267,-0.3391599,-0.108256936,-0.15417247,filter_4
0.022819065,0.078616105,0.0058804303,-0.16262592,-0.050647214,filter_5
0.006396473,-0.020376148,0.0017476095,0.0021744033,-0.009532523,filter_6
0.035993163,-0.06842836,0.047277488,-0.18487188,0.052151658,filter_7
0.13144708,0.063434646,0.13580352,-0.06636423,-0.12874638,filter_8
0.061957493,0.12388058,-0.016802222,0.059072867,-0.0491059,filter_9
0.10179189,0.01993715,0.08692851,0.19033143,0.43088096,filter_10
0.12033299,0.084277794,0.020720923,-0.12178704,0.13881147,filter_11
0.014776157,0.0011570732,-0.017796697,-0.017806286,0.10867781,filter_12
0.042012423,0.0967232,0.00074270763,-0.07663819,0.16489583,filter_13
-0.013484761,0.0172574,-0.015898824,0.08394063,0.044834226,filter_14
-0.016045352,-0.013942774,-0.07623291,-0.004341878,0.0068263775,filter_15
0.037725102,0.10350927,0.046322975,-0.1030432,0.0684939,filter_16
0.15532607,0.113601044,0.03750482,0.10250758,0.15593228,filter_17
-0.028639995,-0.12664016,-0.0051979483,-0.044501916,-0.29962188,filter_18
0.080274455,0.14669469,0.071884476,-0.054967623,0.54495215,filter_19
-0.07625341,0.019880492,-0.02273659,-0.18916042,-0.044757843,filter_20
0.087363996,0.09758315,0.00031541628,0.14275523,-0.11680619,filter_21
-0.079491176,-0.033876576,-0.12274633,-0.2824707,0.06212619,filter_22
0.07018762,-0.07064967,0.09603715,0.14379127,-0.029444762,filter_23
-0.045183633,-0.025957761,-0.119661,-0.11763676,-0.0041513788,filter_24
0.16845258,0.12341349,0.0018235161,-0.15901835,0.053245828,filter_25
0.053927742,0.056969307,0.013091117,0.18144692,-0.07792015,filter_26
0.048728026,-0.04745875,-0.054101694,0.00073430734,-0.066191725,filter_27
0.073912285,0.124468476,0.001962402,0.19129872,0.07952033,filter_28
0.15861963,0.062470704,0.20309483,0.012860796,-0.10244183,filter_29
0.012904018,0.028583406,0.040186316,0.028621648,0.12516047,filter_30
0.241776,0.12598892,0.3525367,-0.00077924633,0.2236876,filter_31
-0.23741096,-0.20153645,-0.17145254,-0.09961028,-0.13241969,filter_32
0.07810528,0.14407314,0.010218326,-0.017244931,0.18135433,filter_33
0.11264338,0.15001753,0.04192324,0.266828,0.46813467,filter_34
0.042844698,0.085205615,-0.012978119,-0.0031627105,0.090710804,filter_35
-0.0007933823,-0.05500808,-0.00646664,-0.09887256,0.17521708,filter_36
-0.09279411,-0.011612518,-0.18266743,0.22125463,0.047877423,filter_37
0.17055316,0.14181715,0.36857638,-0.11885022,-0.061805956,filter_38
-0.28542978,-0.18050623,-0.1848966,0.06655603,-0.09237065,filter_39
-0.04270687,0.026983399,-0.098091185,-0.102365516,-0.09491604,filter_40
0.23491126,0.3153835,0.16596411,-0.4077725,0.15607108,filter_41
-0.04613835,-0.0071936212,-0.13440244,-0.061462548,-0.42309296,filter_42
0.11801046,0.101620674,0.042809922,-0.05938189,0.18627974,filter_43
-0.028517911,-0.038992092,0.012508446,-0.005317607,0.119609095,filter_44
0.032957654,0.043953426,-0.024034457,-0.004892489,-0.0049211625,filter_45
-0.061816342,-0.08115616,-0.09203694,-0.062719285,0.12268135,filter_46
0.014578478,0.09034483,-0.073032424,0.1596487,0.00480829,filter_47
0.002094396,-0.012461359,0.093627825,-0.19562119,-0.009612977,filter_48
-0.23606953,-0.17572439,-0.13357486,-0.0038619179,-0.18018068,filter_49
0.08639124,0.057011504,0.078124925,-0.15429448,0.14823931,filter_50
0.049162313,-0.06923857,0.07446292,-0.036660824,0.0830756,filter_51
0.04734524,-0.005625622,0.19370145,-0.120270364,-0.058644604,filter_52
-0.02827947,0.12874971,0.021012172,0.11380146,0.0025880698,filter_53
-0.0125950845,-0.051900566,-0.062859274,-0.12135003,0.28327602,filter_54
-0.32999557,-0.19931978,-0.11630387,0.33214992,0.08992839,filter_55
-0.65103114,-0.5703313,-0.5970989,0.107855506,0.097265534,filter_56
0.07709904,0.07037838,0.034048688,-0.059165046,0.13271506,filter_57
-0.15811977,-0.13671046,-0.10801412,-0.07995008,0.06916728,filter_58
-0.2992338,-0.2089609,-0.19367553,0.0554293,0.07935685,filter_59
0.22216968,0.05170595,0.28514984,-0.03028178,0.061640453,filter_60
0.007399661,0.016316956,-0.021064635,-0.2368144,-0.23345318,filter_61
-0.10697659,-0.03586213,0.035710003,-0.24417314,-0.020644737,filter_62
0.023196,0.018607177,0.01792071,-0.27462777,-0.034568336,filter_63
-0.044725556,-0.0073756217,-0.09614993,0.15680224,0.008047941,filter_64
0.26108605,0.19939308,0.26072788,-0.06663738,-0.14513774,filter_65
0.010293982,0.020405138,0.040723573,-0.19859987,0.0612952,filter_66
0.16617396,0.12515382,0.096758895,0.09950054,0.10161091,filter_67
-0.42029962,-0.356947,-0.42680684,-0.03116273,-0.26651445,filter_68
-0.13685691,-0.1535976,0.025853455,-0.0908595,0.009312474,filter_69
-0.4297913,-0.23279734,-0.388977,0.015024814,-0.08680459,filter_70
0.011605146,0.03623327,-0.0056743906,-0.09088058,0.020619748,filter_71
0.08969431,0.049422916,0.06841276,-0.068888776,-0.02932464,filter_72
0.15765734,0.03745949,0.06891227,-0.1376938,0.005767284,filter_73
-0.10727083,-0.21062864,-0.119047605,-0.1018232,0.024176786,filter_74
0.05874598,0.027116174,-0.030915257,-0.12219841,-0.18295114,filter_75
0.029185766,-0.021625012,-0.040560614,-0.07610128,0.23904237,filter_76
-0.28799656,-0.36324292,-0.14012073,-0.12258664,0.18409784,filter_77
0.036765184,-0.06573879,0.06835715,1.9385116e-05,-0.010049905,filter_78
0.15201129,0.07407062,0.047123928,-0.16595715,0.19669788,filter_79
-0.3884267,-0.3039677,-0.3138356,0.10101654,0.021733053,filter_80
0.010588037,-0.18348445,0.17094107,-0.16780883,-0.20060472,filter_81
-0.06734252,-0.1277875,-0.03338719,0.08063775,0.0042217313,filter_82
0.14389184,0.107571274,0.09183698,0.3151188,0.35975668,filter_83
-0.11630292,-0.1515427,0.089656554,0.16944264,-0.05407918,filter_84
0.23845859,0.30627766,0.21407054,0.1081213,-0.12775089,filter_85
0.003921178,-0.06843306,-0.047703803,0.2532508,0.060144182,filter_86
-0.04919531,-0.103500925,-0.071463674,0.3223604,0.1404742,filter_87
-0.09687854,-0.042106748,-0.12750433,0.03019435,-0.33033916,filter_88
0.09224982,0.08924654,0.010677026,0.37686625,0.13480505,filter_89
-0.003375135,-0.0050693215,0.0009789165,0.028012656,-0.14210925,filter_90
0.041495252,0.07490491,0.011778016,0.16017576,-0.16134462,filter_91
0.22735173,0.17299168,0.22653975,-0.31811762,-0.40417862,filter_92
0.038954962,0.08264827,-0.018317817,0.0602117,0.47147307,filter_93
-0.06489787,-0.061605457,-0.14876673,-0.058692478,-0.18462119,filter_94
-0.061845135,-0.06291702,-0.11319561,0.040187396,-0.18872659,filter_95
0.030316254,-0.031912856,0.16893484,-0.011701413,0.060473792,filter_96
-0.017019724,-0.018562652,0.053263184,0.22577776,-0.023056218,filter_97
-0.34216726,-0.24182685,-0.25954702,-0.03312146,-0.11234358,filter_98
-0.09331592,-0.042965498,-0.0038254343,-0.009838158,-0.36280078,filter_99
-0.07229824,0.05347261,-0.12548968,0.09401897,-0.2619152,filter_100
-0.086531095,-0.17535886,0.15216604,-0.08958671,-0.054731563,filter_101
0.25527197,0.20677367,0.0970844,0.008000291,0.14960687,filter_102
-0.17000756,-0.17464444,-0.01974949,-0.07821851,-0.107673086,filter_103
0.09801085,0.1191589,0.095209695,-0.3004275,-0.16988169,filter_104
0.25737512,0.15684685,0.352037,0.096942,0.071779296,filter_105
0.06309038,0.04105533,-0.015248905,0.0025729598,-0.02968831,filter_106
0.18121168,0.021477215,0.22683474,-0.045880314,0.29704633,filter_107
0.19149628,0.1672013,0.30028325,0.10211196,-0.1662663,filter_108
0.08700745,0.13228492,0.07472869,-0.0070255506,-0.14117181,filter_109
0.3051006,0.27379227,0.22937635,0.058917608,0.33936962,filter_110
0.26301345,0.28204095,0.33370623,-0.26640216,0.30290672,filter_111
0.043003373,-0.020939719,0.050060436,0.17879267,0.036195572,filter_112
0.13460557,-0.06610139,0.077961236,0.26244974,0.57690704,filter_113
0.24728252,0.21042882,0.22035478,0.38590118,0.23785572,filter_114
-0.008528699,-0.047232967,0.00836692,0.082257904,0.14985916,filter_115
0.093517534,0.0050204615,0.14676417,0.21841043,0.07360614,filter_116
-0.15829171,-0.11277312,-0.16714746,0.20824027,0.21557052,filter_117
0.09892769,0.05886937,0.003220903,0.33612463,0.19700456,filter_118
0.09217322,0.041273486,0.07088456,0.0109880585,0.13971925,filter_119
0.108005494,0.046674713,0.02808124,-0.0010541558,-0.108229406,filter_120
0.013989851,0.055148978,-0.04026014,0.09890428,-0.05198912,filter_121
-0.037860792,0.003795884,0.043142468,0.36451054,0.15834147,filter_122
0.07868672,0.13012531,0.1582214,-0.16088845,0.013011841,filter_123
-0.21406542,-0.25129142,-0.16393363,-0.050770953,0.26908097,filter_124
0.051070422,0.07461129,0.024975806,-0.09708227,-0.041360945,filter_125
-0.13560216,-0.022512581,-0.091429405,-0.06604206,-0.28223476,filter_126
-0.058977183,-0.0013506683,-0.054298747,-0.03364752,0.141024,filter_127
0.2788167,0.20908937,0.24830472,-0.0076212073,0.022543345,filter_128
-0.29266283,-0.17113023,-0.19651519,0.5397842,0.31797534,filter_129
-0.07331231,-0.27036858,-0.033995684,0.3877662,0.24036928,filter_130
0.10168248,-0.0035649987,0.10484977,0.29404864,-0.03809757,filter_131
0.09018245,0.06780808,-0.05537489,-0.030158894,0.15204662,filter_132
0.03523385,0.0953031,-0.014141094,-0.002721864,0.12327909,filter_133
0.011621825,0.032173827,0.03716928,-0.26581132,-0.1040182,filter_134
-0.14029217,-0.1338567,-0.16082945,0.07978566,0.052355826,filter_135
0.0095452415,0.114299245,-0.027471632,-0.23839636,-0.17430738,filter_136
-0.27669248,-0.037911687,-0.19403785,-0.10066696,-0.25797734,filter_137
0.046546426,0.15952826,0.06348842,-0.04441116,-0.2869045,filter_138
0.0046875263,0.004917417,0.019947417,0.17720747,0.010074748,filter_139
0.11358271,0.10746845,0.07676999,-0.004481376,0.21655102,filter_140
0.036388326,0.02896888,-0.019688932,-0.08831372,-0.02794415,filter_141
-0.014582297,0.0244206,-0.03713067,-0.29544234,0.05690819,filter_142
0.18051106,0.20084192,0.15994178,0.11550974,0.06469524,filter_143
0.061021242,0.0874893,-0.05733406,0.013273682,0.05477557,filter_144
0.044716064,0.037520472,0.018017314,0.3397422,-0.303256,filter_145
-0.012580271,-0.009566738,-0.031096017,-0.039996225,-0.31409338,filter_146
0.08114741,0.097164266,-0.06548597,0.15379035,0.2683334,filter_147
0.0041283523,0.012769785,0.022093548,-0.21419065,-0.16318688,filter_148
-0.049543902,-0.017353868,-0.010138936,-0.028074183,0.020227782,filter_149
0.056294568,0.077137284,0.045356806,-0.008389287,0.096223585,filter_150
-0.042893216,0.015926648,-0.116487406,-0.34556556,-0.32075354,filter_151
0.20924185,0.059683245,0.12776278,-0.011422873,-0.09040233,filter_152
0.10448923,0.1974916,0.022949398,0.046616714,0.12349414,filter_153
-0.021992719,-0.18067248,0.020761559,0.02187245,-0.18018769,filter_154
0.0125472825,0.037833404,-0.01331815,-0.09016506,0.18090443,filter_155
-0.022756675,0.08109261,-0.01617772,0.076503664,-0.3646569,filter_156
0.03227404,-0.031425647,-0.016820522,0.060525615,0.38732004,filter_157
0.030731965,0.0376512,0.02670396,-0.049535472,0.004723525,filter_158
-0.2951946,-0.12711957,-0.32956916,-0.0890951,-0.115639664,filter_159
-0.07372885,-0.039923806,-0.12137759,0.06908035,-0.018861817,filter_160
0.041386228,0.09417963,-0.04452638,-0.21627215,-0.021067876,filter_161
-0.17133546,-0.09993895,-0.1310495,0.1856897,-0.055427723,filter_162
-0.08438305,-0.06237148,-0.123669624,0.17785276,-0.09915635,filter_163
-0.1511844,-0.12694147,-0.27995214,0.07493686,-0.16195954,filter_164
0.06437216,0.08507197,0.033922717,-0.2039666,-0.16726017,filter_165
0.116752155,-0.0026163114,0.069346905,0.45976326,0.084189385,filter_166
-0.045462657,-0.025313126,-0.030012898,0.09879074,0.019940408,filter_167
0.03008036,0.12364884,-0.012081597,-0.28222242,-0.057328545,filter_168
0.008177002,-0.0069815596,-0.0035960975,-0.001988708,0.0070150676,filter_169
0.3419101,0.061258662,0.40290114,-0.06485697,0.09338273,filter_170
-0.07561763,-0.042081267,-0.027922815,0.16494657,0.13760708,filter_171
-0.012253742,-0.109772824,-0.0020449944,-0.16259077,-0.054417357,filter_172
-0.15530708,-0.10396002,-0.093508005,-0.027519181,-0.11177739,filter_173
0.037004374,0.06697079,-0.09340088,0.026685381,0.015886378,filter_174
0.06528764,0.054310124,0.11506647,-0.08464712,0.052808035,filter_175
-0.14295998,-0.19279467,-0.11569922,-0.36527273,-0.092144355,filter_176
0.107069276,0.02107525,0.01930702,0.19822413,0.08194339,filter_177
0.006531566,-0.019658094,0.0016651412,0.0021389725,-0.0097286375,filter_178
0.1189442,0.03691807,0.12143622,0.027345696,0.23409072,filter_179
0.34896883,0.24646817,0.394233,-0.06010093,-0.30196944,filter_180
-0.16358848,-0.2334298,0.1006643,0.124750525,0.022074662,filter_181
0.01394294,0.06131231,-0.045753572,-0.06188378,0.04814735,filter_182
-0.2076611,-0.11034706,-0.18590122,-0.07550193,0.29589483,filter_183
0.1611943,0.11544884,0.11818158,-0.059649557,-0.17172563,filter_184
0.04678191,0.041490957,-0.022253754,0.21246514,-0.031714033,filter_185
-0.09455816,-0.015060533,-0.037895057,-0.064698525,-0.19008532,filter_186
0.06723769,0.012433451,0.037280183,0.08962573,0.21513371,filter_187
0.05949596,0.06312194,-0.017629577,-0.099679805,-0.14320663,filter_188
0.015992641,-0.014720073,0.08196119,0.24608861,-0.005882473,filter_189
0.020836346,0.044063613,-0.0097147515,-0.15458038,0.036516037,filter_190
-0.11880408,-0.07438308,-0.0648263,0.16059017,0.3599984,filter_191
0.029248312,-0.04197391,-0.050015297,0.010881253,-0.21993874,filter_192
0.13621515,0.07550618,0.086542316,-0.06922941,0.045806084,filter_193
0.16582118,0.07011731,0.10790046,0.08704198,-0.16420087,filter_194
-0.30224824,-0.22932614,-0.15027052,-0.06538692,-0.13201405,filter_195
-0.027435152,-0.045822587,0.2156203,0.09877413,-0.12273714,filter_196
-0.24807726,-0.31215322,-0.09066889,-0.26503235,-0.2621756,filter_197
0.12629355,0.12857811,-0.05900364,-0.091923885,-0.18459284,filter_198
0.26820943,0.4296687,0.13442451,-0.20608781,-0.09173274,filter_199
0.26645938,0.20668621,0.28034267,0.030469535,-0.09491812,filter_200
0.00885156,0.043137908,-0.08041791,-0.13038252,-0.28709084,filter_201
-0.20117375,-0.22459285,-0.17607571,0.19827501,0.20205383,filter_202
-0.022196755,0.01619683,0.06914257,0.5797641,-0.037716858,filter_203
0.16253172,0.15950063,0.07685891,-0.21345009,-0.110937856,filter_204
0.006924496,0.04318429,-0.0351437,0.13171339,0.07288914,filter_205
0.003210502,-0.088237986,0.015498568,0.35507286,0.023562428,filter_206
-0.19056533,-0.14076959,0.0080163805,-0.21881752,-0.24389908,filter_207
-0.14786088,-0.03796376,-0.009311596,-0.09900512,-0.27277112,filter_208
0.117308274,0.105430365,0.06077248,-9.682609e-06,0.32617885,filter_209
0.15095758,0.07087931,0.090240635,0.19097377,0.18755275,filter_210
0.017882692,0.0276773,-0.006556357,-0.10066885,0.17192397,filter_211
0.08738225,0.09282681,0.041445173,0.040781453,0.03633787,filter_212
-0.5204004,-0.32878074,-0.42656565,0.18167983,-0.40087014,filter_213
-0.20382647,-0.32540303,0.1137315,-0.20811829,-0.019375766,filter_214
-0.016633155,0.021343352,-0.042268515,0.079951584,-0.20358427,filter_215
0.04060415,-0.06701466,-0.01819009,0.23646545,-0.13454156,filter_216
-0.08632538,-0.077123635,-0.05795368,0.09527662,0.05070113,filter_217
-0.028755888,-0.113252565,0.032926545,-0.0037138306,0.1857823,filter_218
0.006599651,-0.019560046,0.00169015,0.0022716455,-0.009525871,filter_219
0.014408468,0.008055103,-0.063431464,-0.27324498,0.14179331,filter_220
0.05059824,0.00046394888,0.017452683,0.18379726,0.06522691,filter_221
0.07979103,0.052248407,-0.07941141,-0.029107716,0.028659435,filter_222
0.006512348,0.007949226,-0.043967966,-0.07959104,-0.05267441,filter_223
-0.031851165,0.10269423,-0.04919827,-0.2582708,-0.020581888,filter_224
-0.19934371,-0.122717015,-0.18694781,0.1478544,0.1837534,filter_225
-0.0066888495,0.0062346314,0.040596325,-0.09347626,-0.19349042,filter_226
-0.10633821,-0.10698915,0.14100578,-0.1843988,-0.12076517,filter_227
0.003866428,-0.041198928,-0.0988417,0.14475493,0.098614916,filter_228
0.100735866,0.1427442,0.22570048,-0.17824249,0.0020269826,filter_229
0.009374656,0.039289445,-0.031195927,-0.107257165,0.2113659,filter_230
0.13692309,0.091891,0.09661654,0.30651292,0.011170003,filter_231
-0.11092024,-0.05016757,-0.0723722,-0.087014966,-0.2655124,filter_232
0.124852054,0.13296252,0.014335649,-0.029691953,-0.27141884,filter_233
0.16152127,0.079449765,0.22585748,0.12694289,0.115493044,filter_234
-0.32492644,-0.37809289,-0.33218202,-0.009086852,-0.016774233,filter_235
-0.1074153,-0.050729893,-0.041485563,-0.28065458,-0.12545876,filter_236
0.035120305,-0.07616111,-0.0576363,0.30073017,-0.021292165,filter_237
0.07310008,0.094995044,0.041243963,-0.097210035,-0.26058173,filter_238
0.07348722,0.09159264,0.033746876,-0.0018391174,-0.06878034,filter_239
-0.030016685,-0.097354665,-0.12284635,0.22823016,-0.07634908,filter_240
0.09357942,0.035897564,0.3949953,-0.09709767,-0.06318943,filter_241
0.12618487,0.18656105,0.016522497,-0.4202359,-0.1508976,filter_242
-0.15570788,0.018991591,-0.08644255,-0.17516106,-0.11240068,filter_243
0.049761515,0.13027506,0.0973008,-0.09420058,-0.18742459,filter_244
0.06849042,0.11425624,-0.103006974,-0.15415417,-0.0332989,filter_245
-0.3101586,-0.295927,-0.07983368,0.16130571,0.04835073,filter_246
0.2005948,0.18851744,0.19692236,0.08037725,0.008887911,filter_247
-0.14623241,-0.21975955,-0.22257768,-0.07474449,0.26753834,filter_248
-0.12312878,-0.01606754,-0.09683069,-0.08369048,0.051684864,filter_249
-0.28971633,-0.041685298,-0.1985146,0.1430358,0.1871196,filter_250
0.18794782,0.13258782,0.031747166,-0.035151184,0.040531993,filter_251
-0.22936055,-0.07826277,-0.15141757,-0.021878505,-0.18274733,filter_252
0.06324771,0.0301729,-0.049935855,-0.01471196,-0.1840203,filter_253
-0.08978775,-0.20548677,-0.054205533,-0.382724,-0.28742903,filter_254
0.0216194,0.017146003,0.07449857,0.38499835,0.32453462,filter_255
