unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
0.034,0.011,-0.028,-0.053,-0.047,-0.009,filter_0
-0.108,0.03,-0.139,-0.017,-0.03,0.034,filter_1
-0.05,-0.042,-0.071,-0.029,-0.023,-0.031,filter_2
-0.17,-0.114,-0.179,-0.042,-0.053,-0.026,filter_3
-0.199,-0.309,-0.175,-0.054,-0.03,-0.122,filter_4
-0.107,-0.203,-0.123,-0.029,0.076,-0.076,filter_5
0.022,-0.018,0.021,-0.004,0.043,-0.005,filter_6
-0.259,-0.221,-0.293,-0.077,-0.134,-0.076,filter_7
-0.08,0.082,-0.086,-0.012,-0.017,0.036,filter_8
0.026,0.032,0.011,0.029,0.005,0.057,filter_9
-0.088,-0.139,-0.094,0.013,0.067,-0.03,filter_10
-0.002,0.267,-0.02,0.038,-0.094,0.079,filter_11
0.01,0.206,-0.027,0.013,-0.119,0.101,filter_12
-0.166,-0.181,-0.176,-0.025,-0.02,0.005,filter_13
-0.279,-0.078,-0.263,-0.034,-0.111,-0.025,filter_14
0.072,0.16,0.061,-0.0,-0.083,0.047,filter_15
0.034,0.103,-0.005,0.051,0.001,0.02,filter_16
-0.073,-0.019,-0.08,-0.026,0.039,-0.053,filter_17
0.048,0.063,0.045,0.026,0.025,0.025,filter_18
-0.089,0.027,-0.111,-0.026,0.0,0.06,filter_19
-0.055,-0.11,-0.064,-0.006,0.002,0.0,filter_20
-0.083,-0.073,-0.132,-0.048,-0.099,0.002,filter_21
0.023,0.075,0.001,0.019,0.126,0.051,filter_22
-0.032,0.044,-0.079,-0.008,-0.131,0.028,filter_23
0.028,0.062,0.008,-0.038,0.039,-0.027,filter_24
0.013,0.19,-0.002,-0.006,-0.066,0.068,filter_25
-0.229,-0.282,-0.246,-0.079,-0.031,-0.092,filter_26
-0.271,-0.119,-0.265,-0.078,-0.021,-0.022,filter_27
-0.178,-0.162,-0.193,-0.072,-0.101,-0.048,filter_28
-0.004,0.235,-0.021,0.002,-0.118,0.059,filter_29
0.076,0.103,0.06,0.046,0.138,0.039,filter_30
0.011,-0.145,0.017,0.028,-0.035,-0.038,filter_31
-0.305,-0.093,-0.299,-0.086,0.031,-0.038,filter_32
-0.047,0.101,-0.045,-0.024,-0.029,0.017,filter_33
