unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
0.046,-0.009,-0.008,-0.06,-0.055,-0.019,filter_0
-0.066,0.064,-0.089,-0.01,0.008,0.029,filter_1
-0.05,-0.059,-0.056,-0.023,-0.01,-0.027,filter_2
-0.148,-0.071,-0.15,-0.025,-0.051,-0.001,filter_3
-0.181,-0.31,-0.147,-0.052,-0.045,-0.118,filter_4
-0.092,-0.201,-0.093,-0.011,0.032,-0.057,filter_5
0.022,-0.029,0.035,0.007,0.026,0.012,filter_6
-0.218,-0.219,-0.241,-0.083,-0.147,-0.077,filter_7
-0.058,0.123,-0.056,-0.006,0.014,0.042,filter_8
0.011,0.017,0.02,0.038,0.034,0.056,filter_9
-0.097,-0.181,-0.096,0.015,0.07,-0.022,filter_10
-0.012,0.291,-0.019,0.049,-0.092,0.084,filter_11
0.023,0.237,-0.005,0.021,-0.11,0.102,filter_12
-0.167,-0.207,-0.162,-0.02,-0.035,0.011,filter_13
-0.275,-0.057,-0.25,-0.021,-0.101,-0.016,filter_14
0.085,0.17,0.078,0.007,-0.074,0.055,filter_15
0.031,0.098,0.007,0.053,0.022,0.014,filter_16
-0.069,-0.054,-0.076,-0.023,0.061,-0.045,filter_17
0.047,0.048,0.059,0.027,0.026,0.031,filter_18
-0.065,0.076,-0.075,-0.017,0.004,0.06,filter_19
-0.058,-0.151,-0.049,0.007,-0.007,0.007,filter_20
-0.073,-0.083,-0.111,-0.045,-0.101,-0.005,filter_21
0.034,0.075,0.023,0.036,0.132,0.059,filter_22
-0.017,0.076,-0.052,-0.01,-0.114,0.024,filter_23
0.035,0.065,0.029,-0.02,0.054,-0.017,filter_24
0.018,0.207,0.014,0.009,-0.082,0.078,filter_25
-0.204,-0.263,-0.207,-0.076,-0.039,-0.089,filter_26
-0.219,-0.023,-0.212,-0.058,-0.029,0.012,filter_27
-0.156,-0.137,-0.161,-0.065,-0.112,-0.041,filter_28
0.008,0.263,-0.015,0.003,-0.117,0.056,filter_29
0.085,0.088,0.083,0.051,0.153,0.046,filter_30
0.002,-0.186,0.017,0.029,-0.052,-0.037,filter_31
-0.271,-0.018,-0.26,-0.068,0.054,-0.017,filter_32
-0.053,0.119,-0.039,-0.017,-0.041,0.033,filter_33
-0.231,-0.417,-0.226,-0.075,-0.091,-0.139,filter_34
-0.009,-0.184,0.009,-0.011,0.136,-0.059,filter_35
-0.016,-0.102,-0.027,-0.004,0.002,0.008,filter_36
-0.002,-0.133,-0.021,-0.006,-0.006,0.009,filter_37
-0.098,-0.285,-0.078,-0.029,0.018,-0.098,filter_38
-0.115,-0.22,-0.096,-0.044,0.101,-0.097,filter_39
-0.355,-0.3,-0.343,-0.071,-0.143,-0.069,filter_40
-0.162,-0.069,-0.159,-0.033,-0.095,-0.053,filter_41
-0.217,-0.118,-0.215,-0.037,-0.138,-0.038,filter_42
-0.033,0.103,-0.052,0.007,-0.165,0.05,filter_43
-0.089,-0.172,-0.088,-0.032,-0.07,-0.038,filter_44
-0.308,-0.264,-0.308,-0.072,0.01,-0.063,filter_45
0.049,0.021,0.039,0.02,-0.001,0.003,filter_46
0.002,0.132,-0.006,0.006,0.034,0.021,filter_47
-0.239,-0.32,-0.266,-0.061,-0.15,-0.087,filter_48
-0.316,0.021,-0.271,-0.031,-0.139,0.012,filter_49
0.033,-0.212,0.032,0.014,0.042,-0.056,filter_50
0.029,0.198,0.027,0.054,-0.14,0.081,filter_51
0.104,0.309,0.053,0.036,-0.066,0.123,filter_52
-0.102,0.038,-0.12,-0.068,-0.126,-0.055,filter_53
0.055,0.031,0.071,0.034,0.127,0.065,filter_54
0.031,0.059,0.031,0.023,0.103,0.015,filter_55
-0.437,-0.357,-0.414,-0.129,-0.076,-0.129,filter_56
0.039,-0.147,0.052,0.008,0.09,-0.028,filter_57
-0.112,-0.013,-0.121,-0.007,0.006,0.03,filter_58
-0.009,-0.062,-0.035,0.051,-0.103,0.046,filter_59
-0.043,-0.211,-0.076,-0.048,0.075,-0.043,filter_60
-0.083,-0.373,-0.066,-0.046,-0.007,-0.102,filter_61
-0.021,0.11,-0.064,-0.008,-0.037,0.032,filter_62
-0.055,-0.232,-0.053,-0.05,-0.05,-0.096,filter_63
0.001,-0.146,-0.019,-0.066,0.054,-0.071,filter_64
0.118,0.138,0.066,0.015,0.115,0.053,filter_65
-0.131,-0.381,-0.113,-0.062,-0.016,-0.134,filter_66
0.031,0.128,-0.005,0.012,-0.005,0.061,filter_67
-0.013,-0.202,-0.008,-0.004,0.022,-0.038,filter_68
0.054,0.013,0.037,-0.008,-0.08,0.045,filter_69
0.007,-0.196,-0.002,-0.025,0.126,-0.077,filter_70
-0.074,0.034,-0.082,-0.032,-0.146,0.014,filter_71
-0.085,-0.04,-0.095,-0.016,-0.178,0.015,filter_72
0.055,0.266,0.032,0.016,0.011,0.091,filter_73
-0.029,0.064,-0.058,-0.034,-0.089,0.02,filter_74
0.088,0.182,0.055,0.018,-0.123,0.041,filter_75
-0.038,-0.156,-0.044,-0.008,0.181,-0.006,filter_76
-0.035,-0.103,-0.051,0.007,0.046,-0.01,filter_77
-0.26,-0.398,-0.254,-0.058,0.021,-0.127,filter_78
