unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.053982183,-0.17459267,-0.04257099,-0.2982612,0.11389984,-0.28237435,filter_0
-0.014475441,-0.11592922,-0.14485252,0.09764088,0.08929929,0.15658545,filter_1
-0.021188226,-0.01894578,-0.0045603835,0.16896951,0.008994534,-0.07895304,filter_2
0.15835975,0.22898015,0.23993951,0.20707692,-0.08765361,0.11537777,filter_3
-0.23141214,-0.06395902,-0.18104003,-0.04206904,-0.14915837,-0.004036046,filter_4
-0.2982208,-0.27565545,-0.25999272,0.13661423,0.0030130001,0.003946882,filter_5
-0.057837397,0.015768649,-0.08405927,0.0031020462,0.023542346,0.090324715,filter_6
-0.2610453,-0.16779393,-0.29731432,0.01919014,-0.047361497,-0.012507013,filter_7
-0.037233382,0.05775335,-0.023722768,0.07771848,-0.12847033,0.057765126,filter_8
0.07336248,0.089668065,0.07887402,-0.097804025,0.21394162,0.09522984,filter_9
0.16227984,0.15196411,0.19013745,0.14205618,0.30934647,-0.09059657,filter_10
0.25112838,0.25011426,0.18008797,0.11072773,0.063589826,0.17243369,filter_11
0.1096914,0.08612099,0.04886739,-0.10857819,0.007873795,0.19832905,filter_12
0.27860844,0.19257778,0.3312499,-0.12564941,0.084846884,0.09168245,filter_13
-0.11942031,-0.26227552,-0.038240343,0.22903387,0.20000453,0.3059364,filter_14
0.003254606,-0.045857295,-0.009922668,0.0018023257,-0.19219404,-0.057198107,filter_15
0.06523069,0.103836186,0.12472338,0.33868623,-0.006693027,-0.2841258,filter_16
-0.109193414,-0.3628857,-0.10671562,-0.0021506704,0.06877513,0.056566734,filter_17
0.09057422,0.13687848,0.028985517,0.0014155274,0.21314208,-0.016061813,filter_18
-0.05229862,-0.19860251,-0.104320765,-0.01103466,0.029358715,0.29381955,filter_19
-0.073890805,-0.04202141,-0.00040328962,-0.014240828,-0.061518785,-0.21598585,filter_20
-0.1916469,-0.04352624,-0.16549927,-0.0018135704,0.0011220122,0.15886198,filter_21
0.11772165,0.26240063,0.06592601,-0.0017731735,0.073407225,-0.01815545,filter_22
-0.008934238,-0.025453217,-0.034581095,0.19672912,-0.052425046,-0.11824505,filter_23
