unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
0.1120531,0.20526576,0.08218784,-0.16328332,0.1449927,-0.090164684,filter_0
0.06825798,0.023775345,0.0944755,0.1610518,-0.2869862,0.07569061,filter_1
0.12613373,0.09684256,0.025978262,-0.30667913,-0.07377248,-0.26235038,filter_2
-0.09137862,-0.34799406,0.021090223,0.08358703,0.036192007,-0.03525053,filter_3
0.11052624,0.03635034,0.020470994,-0.018947586,-0.31260094,-0.07127888,filter_4
-0.06803726,0.018810192,0.06660662,-0.028288161,0.19756357,0.03338408,filter_5
-0.0651874,-0.021407211,-0.024967778,0.12088034,0.03145133,0.10340845,filter_6
-0.19836359,-0.11265498,-0.10023036,0.11509114,0.3952472,0.21306662,filter_7
0.27347267,0.16016957,0.24969177,0.17666815,0.08932265,-0.0028626735,filter_8
0.27162033,0.16846487,0.24324957,-0.18895441,0.042597726,-0.27774245,filter_9
0.18496001,0.25074637,0.144999,0.094066374,0.024703411,0.18042514,filter_10
0.07922432,0.32980844,-0.008135996,-0.58596253,-0.18859862,-0.4763,filter_11
0.25413117,0.20540276,0.22839394,0.33439696,0.033845685,0.124103434,filter_12
0.13597809,0.15471359,0.09874162,0.04759022,0.16028953,-0.0006363983,filter_13
-0.08192273,-0.16629797,-0.08569985,-0.08094747,-0.1206127,-0.018474558,filter_14
-0.029494189,0.036153235,-0.0908754,0.10520022,0.19396356,0.14683084,filter_15
-0.102860905,-0.1511363,-0.13620345,-0.044071876,0.075898044,0.11465209,filter_16
-0.33933133,-0.23733594,-0.22539292,0.032624435,-0.054198373,0.047556743,filter_17
0.10031649,-0.080155805,0.10017734,0.048106976,-0.086798295,0.29081836,filter_18
0.16422142,0.17152044,0.06922244,-0.055072125,0.20696141,-0.29069373,filter_19
0.17412445,0.14249945,0.06394903,-0.25998244,-0.1554384,0.100980766,filter_20
0.09971434,0.10136929,0.059888627,0.12789936,-0.17701809,-0.05443488,filter_21
-0.084541894,-0.058169387,-0.20001544,0.006442335,0.010920691,-0.009354069,filter_22
0.013427567,-0.047001224,-0.052020606,-0.2491867,-0.1457959,-0.13482334,filter_23
0.040717304,0.09028921,0.017004095,0.09672527,0.024795063,0.103405744,filter_24
-0.16442966,-0.041143227,-0.10252192,0.012310414,0.20082073,-0.30688602,filter_25
0.1096886,0.12562835,-0.0015808239,0.119583584,-0.3164147,0.054707587,filter_26
0.05892642,0.05666139,0.022816397,-0.080149315,0.009533586,0.059315052,filter_27
0.2485399,0.32690182,0.2721525,0.17304234,0.18869223,0.15052427,filter_28
-0.0036315557,-0.0037199568,-0.011108723,-0.25239074,-0.052245572,0.13112663,filter_29
0.16750206,0.16079111,0.058994066,-0.21826206,-0.0744264,-0.06270406,filter_30
-0.018364297,0.07984431,-0.013415443,-0.08742196,-0.18857962,-0.14741465,filter_31
0.13910763,0.13220936,0.11301129,0.09884034,-0.064721644,-0.19139138,filter_32
-0.05198041,-0.0164367,0.040783327,0.008838598,-0.24177323,0.063816756,filter_33
-0.10008603,0.023084318,-0.045876045,0.24596712,-0.011964349,0.106156066,filter_34
0.0304762,0.16359739,0.04990413,0.20710075,0.13623971,-0.05701696,filter_35
