unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.08,0.143,-0.091,0.013,0.003,0.063,filter_0
-0.624,-0.425,-0.569,-0.137,-0.137,-0.112,filter_1
0.009,0.16,-0.026,0.004,-0.065,0.047,filter_2
-0.03,-0.04,-0.083,-0.013,-0.038,0.02,filter_3
0.017,0.195,-0.023,0.022,-0.07,0.096,filter_4
-0.008,0.052,-0.014,0.001,-0.079,0.029,filter_5
0.005,-0.022,0.011,-0.028,-0.007,-0.041,filter_6
-0.025,-0.051,-0.057,-0.044,-0.08,-0.027,filter_7
0.063,0.258,0.035,0.035,-0.101,0.12,filter_8
-0.043,0.174,-0.05,0.01,-0.095,0.049,filter_9
-0.178,-0.287,-0.147,-0.069,0.093,-0.081,filter_10
0.036,0.189,0.015,0.017,-0.048,0.036,filter_11
0.008,-0.116,-0.011,0.004,-0.07,-0.004,filter_12
-0.083,0.069,-0.112,-0.028,-0.025,0.051,filter_13
0.043,0.239,0.002,0.008,-0.007,0.086,filter_14
0.021,0.181,0.036,-0.003,-0.01,0.024,filter_15
-0.012,0.062,-0.052,0.03,-0.167,0.047,filter_16
-0.492,-0.404,-0.488,-0.083,-0.153,-0.088,filter_17
0.065,0.119,-0.015,0.019,-0.114,0.074,filter_18
-0.028,-0.11,-0.035,-0.002,0.051,0.027,filter_19
-0.019,0.063,-0.052,-0.015,-0.118,0.022,filter_20
-0.039,-0.172,-0.06,-0.036,0.047,-0.063,filter_21
-0.455,-0.216,-0.415,-0.111,-0.068,-0.069,filter_22
-0.125,0.087,-0.117,0.004,-0.053,0.029,filter_23
0.033,-0.035,-0.025,0.016,0.01,0.024,filter_24
0.041,-0.069,-0.002,0.006,-0.083,0.005,filter_25
0.016,0.028,-0.035,-0.02,0.005,-0.087,filter_26
0.014,-0.217,-0.016,-0.013,0.029,-0.075,filter_27
-0.552,-0.369,-0.52,-0.11,-0.124,-0.084,filter_28
0.021,-0.178,0.026,-0.032,0.13,-0.064,filter_29
0.085,0.326,0.049,0.01,-0.089,0.141,filter_30
-0.005,0.007,-0.056,-0.04,-0.153,0.022,filter_31
-0.079,-0.042,-0.119,-0.033,0.07,-0.017,filter_32
0.07,0.202,0.045,0.021,0.004,0.065,filter_33
-0.219,-0.331,-0.233,-0.079,0.008,-0.09,filter_34
-0.021,-0.036,-0.032,-0.05,-0.011,-0.058,filter_35
-0.018,0.145,-0.034,-0.023,-0.032,0.044,filter_36
-0.398,-0.382,-0.384,-0.092,-0.057,-0.078,filter_37
0.013,-0.02,0.013,0.012,-0.071,0.021,filter_38
0.039,0.18,0.038,0.033,-0.099,0.039,filter_39
0.019,0.069,-0.002,-0.026,-0.034,0.033,filter_40
0.029,0.132,-0.001,-0.006,0.062,0.047,filter_41
-0.058,0.109,-0.056,0.001,-0.041,0.023,filter_42
0.05,0.193,0.009,0.024,-0.098,0.052,filter_43
-0.059,-0.069,-0.065,-0.005,-0.028,-0.011,filter_44
-0.085,-0.092,-0.122,-0.034,0.027,-0.012,filter_45
-0.006,0.154,-0.057,-0.017,-0.029,0.04,filter_46
-0.509,-0.376,-0.493,-0.13,-0.118,-0.127,filter_47
