unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.307,-0.401,-0.308,-0.104,-0.073,-0.14,filter_0
-0.465,-0.453,-0.445,-0.113,-0.134,-0.147,filter_1
-0.119,-0.381,-0.146,-0.06,-0.108,-0.077,filter_2
0.033,0.034,0.06,0.009,0.023,0.063,filter_3
-0.124,-0.138,-0.154,-0.069,-0.063,-0.064,filter_4
-0.001,-0.071,0.017,0.003,-0.017,-0.022,filter_5
0.058,-0.029,0.062,0.003,0.086,0.005,filter_6
-0.374,-0.402,-0.365,-0.125,-0.088,-0.148,filter_7
-0.141,0.165,-0.149,-0.011,0.023,0.048,filter_8
-0.009,-0.134,-0.017,-0.01,-0.14,-0.056,filter_9
-0.039,0.2,-0.052,-0.003,0.058,0.06,filter_10
-0.003,0.026,-0.046,-0.024,-0.162,0.033,filter_11
0.03,0.243,0.011,0.006,-0.101,0.033,filter_12
-0.179,0.08,-0.156,-0.041,-0.1,-0.018,filter_13
-0.013,0.028,-0.016,0.001,-0.136,0.016,filter_14
-0.168,-0.19,-0.177,-0.086,-0.064,-0.081,filter_15
-0.251,-0.072,-0.248,-0.046,-0.116,-0.029,filter_16
-0.341,-0.232,-0.378,-0.097,-0.083,-0.085,filter_17
0.012,-0.242,-0.024,-0.038,-0.094,-0.021,filter_18
-0.108,-0.26,-0.082,-0.026,-0.041,-0.105,filter_19
0.003,0.072,0.015,0.0,0.053,0.01,filter_20
-0.036,-0.059,-0.049,-0.013,-0.024,-0.004,filter_21
-0.214,-0.022,-0.213,-0.023,-0.045,0.006,filter_22
-0.097,-0.036,-0.088,-0.006,-0.116,-0.007,filter_23
-0.065,0.152,-0.089,0.013,-0.096,0.041,filter_24
-0.081,-0.307,-0.076,-0.001,-0.054,-0.05,filter_25
-0.387,-0.195,-0.38,-0.089,-0.084,-0.063,filter_26
-0.51,-0.265,-0.469,-0.091,-0.111,-0.093,filter_27
-0.037,-0.304,-0.036,-0.076,-0.004,-0.116,filter_28
0.044,0.176,0.023,0.038,0.088,0.024,filter_29
-0.333,-0.061,-0.337,-0.055,-0.083,-0.028,filter_30
0.014,0.054,0.011,-0.022,-0.115,-0.005,filter_31
0.151,0.434,0.075,0.047,-0.048,0.134,filter_32
-0.346,-0.481,-0.327,-0.099,-0.078,-0.159,filter_33
-0.136,-0.094,-0.106,-0.039,-0.028,-0.077,filter_34
-0.001,-0.111,-0.007,-0.024,-0.074,-0.08,filter_35
0.033,0.235,-0.014,0.017,-0.043,0.084,filter_36
-0.51,-0.342,-0.475,-0.122,-0.121,-0.093,filter_37
-0.013,0.022,-0.054,-0.02,-0.058,0.003,filter_38
0.003,0.2,-0.022,-0.006,-0.068,0.062,filter_39
-0.216,-0.445,-0.193,-0.045,-0.032,-0.113,filter_40
-0.59,-0.444,-0.545,-0.118,-0.139,-0.129,filter_41
-0.443,-0.232,-0.419,-0.088,-0.087,-0.06,filter_42
0.004,0.061,0.009,0.027,-0.078,0.037,filter_43
-0.024,0.162,-0.071,0.009,-0.046,0.076,filter_44
-0.155,-0.065,-0.15,-0.02,-0.064,-0.007,filter_45
-0.263,-0.239,-0.267,-0.032,0.02,-0.047,filter_46
-0.404,-0.405,-0.365,-0.086,-0.021,-0.1,filter_47
0.022,-0.017,-0.03,-0.031,-0.08,-0.003,filter_48
-0.024,0.255,-0.031,0.017,-0.018,0.062,filter_49
-0.237,-0.159,-0.269,-0.058,-0.061,-0.042,filter_50
-0.381,-0.062,-0.344,-0.067,-0.091,-0.007,filter_51
0.014,-0.067,0.007,-0.025,0.075,-0.093,filter_52
-0.182,-0.19,-0.222,-0.054,-0.066,-0.063,filter_53
-0.155,-0.366,-0.153,-0.053,-0.016,-0.096,filter_54
-0.04,0.059,-0.041,-0.016,-0.112,-0.019,filter_55
0.071,0.216,0.057,-0.002,-0.041,0.075,filter_56
-0.005,0.011,-0.035,0.006,0.043,0.022,filter_57
-0.07,-0.098,-0.103,-0.051,-0.03,-0.011,filter_58
-0.494,-0.477,-0.471,-0.117,-0.118,-0.124,filter_59
-0.168,-0.324,-0.164,-0.078,-0.069,-0.13,filter_60
-0.001,-0.071,-0.027,-0.029,0.035,0.021,filter_61
-0.028,-0.025,-0.046,-0.068,-0.077,-0.104,filter_62
-0.058,-0.325,-0.076,-0.048,-0.121,-0.08,filter_63
0.049,0.267,0.039,0.036,-0.178,0.091,filter_64
0.062,0.134,0.08,0.005,-0.011,0.037,filter_65
-0.025,-0.198,-0.014,-0.018,-0.134,-0.051,filter_66
-0.086,-0.047,-0.092,-0.014,0.088,0.015,filter_67
-0.475,-0.356,-0.461,-0.101,-0.039,-0.113,filter_68
-0.373,-0.292,-0.377,-0.049,-0.079,-0.037,filter_69
-0.077,-0.031,-0.09,0.013,-0.1,0.031,filter_70
-0.217,-0.21,-0.224,-0.073,-0.011,-0.109,filter_71
-0.086,-0.134,-0.081,-0.046,-0.079,-0.098,filter_72
-0.301,-0.448,-0.308,-0.094,-0.101,-0.127,filter_73
-0.218,-0.287,-0.231,-0.105,-0.04,-0.114,filter_74
0.05,0.167,0.053,0.037,-0.027,0.048,filter_75
0.079,0.066,0.066,0.018,0.092,0.064,filter_76
-0.037,-0.099,-0.044,0.011,-0.099,0.003,filter_77
-0.104,0.195,-0.101,-0.013,-0.018,0.043,filter_78
-0.007,-0.316,-0.003,0.007,-0.059,-0.064,filter_79
-0.276,-0.06,-0.259,-0.051,-0.139,-0.048,filter_80
-0.051,0.06,-0.049,-0.019,0.041,-0.001,filter_81
-0.11,-0.44,-0.125,-0.048,-0.026,-0.126,filter_82
-0.039,-0.329,-0.034,-0.031,0.022,-0.096,filter_83
-0.296,-0.269,-0.299,-0.084,-0.143,-0.09,filter_84
-0.004,-0.005,-0.031,0.015,-0.006,0.034,filter_85
-0.486,-0.297,-0.484,-0.091,-0.057,-0.048,filter_86
-0.329,-0.412,-0.325,-0.122,-0.115,-0.154,filter_87
-0.097,-0.049,-0.099,-0.041,-0.037,0.01,filter_88
-0.167,-0.125,-0.156,-0.041,0.006,-0.097,filter_89
-0.285,-0.42,-0.292,-0.122,-0.096,-0.163,filter_90
-0.068,-0.137,-0.083,-0.04,-0.075,-0.013,filter_91
0.02,-0.028,-0.039,-0.02,0.006,0.021,filter_92
