human,Andrev2015,pc3,muscle,channel_name
0.195,-0.017,0.038,-0.108,filter_0
0.037,0.014,0.035,-0.08,filter_1
-0.197,-0.064,-0.062,-0.068,filter_2
0.102,0.046,0.051,-0.124,filter_3
0.058,0.033,0.032,-0.061,filter_4
0.21,0.048,0.12,-0.072,filter_5
0.045,-0.027,0.006,0.113,filter_6
-0.05,-0.012,0.009,-0.007,filter_7
-0.072,0.041,0.01,-0.034,filter_8
0.116,0.005,0.041,-0.133,filter_9
0.267,0.034,0.096,0.056,filter_10
0.004,0.031,0.028,-0.067,filter_11
-0.384,-0.14,-0.145,-0.146,filter_12
0.318,0.011,0.109,0.0,filter_13
0.073,0.018,0.06,-0.033,filter_14
-0.035,0.004,0.019,0.069,filter_15
0.135,-0.001,0.025,-0.088,filter_16
0.027,-0.031,0.003,0.061,filter_17
-0.007,-0.008,-0.015,-0.106,filter_18
0.087,0.023,0.057,0.022,filter_19
0.017,-0.002,0.025,-0.015,filter_20
-0.263,-0.038,-0.089,-0.105,filter_21
-0.187,-0.028,-0.07,0.005,filter_22
-0.036,-0.032,0.014,-0.118,filter_23
0.242,0.028,0.101,0.017,filter_24
0.138,0.034,0.094,-0.032,filter_25
0.167,0.03,0.069,-0.094,filter_26
0.041,0.025,0.056,-0.057,filter_27
-0.05,-0.079,-0.028,0.001,filter_28
0.001,-0.007,0.029,-0.055,filter_29
0.042,-0.036,0.004,-0.002,filter_30
0.258,0.036,0.1,-0.092,filter_31
-0.04,-0.013,-0.007,-0.051,filter_32
-0.05,-0.007,0.004,0.006,filter_33
-0.048,-0.02,0.013,0.109,filter_34
-0.521,-0.123,-0.159,-0.121,filter_35
0.094,0.017,0.089,-0.06,filter_36
-0.021,0.043,0.055,-0.066,filter_37
0.111,-0.004,0.021,0.092,filter_38
0.295,0.024,0.111,-0.1,filter_39
0.229,0.029,0.086,-0.064,filter_40
0.135,-0.007,0.044,-0.033,filter_41
0.193,0.018,0.041,-0.065,filter_42
0.03,0.007,0.016,-0.108,filter_43
0.022,-0.027,0.024,-0.146,filter_44
0.248,0.013,0.058,0.088,filter_45
-0.251,-0.037,-0.054,-0.133,filter_46
-0.151,-0.066,-0.031,-0.107,filter_47
0.002,-0.016,0.005,-0.104,filter_48
0.021,-0.005,0.032,-0.014,filter_49
0.071,0.039,0.06,0.007,filter_50
-0.249,-0.012,-0.074,-0.07,filter_51
-0.02,-0.005,0.022,-0.05,filter_52
-0.102,-0.021,-0.056,0.022,filter_53
-0.189,0.026,-0.043,-0.026,filter_54
0.056,-0.016,-0.008,-0.075,filter_55
0.046,0.017,0.042,-0.038,filter_56
-0.09,0.005,0.031,-0.025,filter_57
0.119,-0.025,0.014,-0.098,filter_58
0.163,0.043,0.058,-0.104,filter_59
0.081,0.001,0.014,0.022,filter_60
0.102,0.03,0.054,-0.022,filter_61
-0.047,-0.022,-0.011,0.163,filter_62
0.123,-0.004,0.043,-0.056,filter_63
-0.244,-0.032,-0.102,-0.031,filter_64
-0.126,-0.051,-0.023,-0.085,filter_65
0.164,0.033,0.047,-0.086,filter_66
0.147,-0.0,0.021,-0.086,filter_67
-0.015,0.035,0.038,-0.16,filter_68
-0.005,-0.01,-0.036,-0.176,filter_69
0.215,0.02,0.123,-0.079,filter_70
0.132,-0.013,0.004,-0.051,filter_71
-0.159,0.009,-0.009,-0.02,filter_72
0.034,-0.004,0.01,0.055,filter_73
0.094,0.033,0.06,0.039,filter_74
-0.029,0.023,0.024,0.092,filter_75
0.059,0.022,0.07,0.102,filter_76
0.118,0.002,0.029,-0.059,filter_77
-0.179,-0.042,-0.059,0.093,filter_78
0.126,0.009,0.072,-0.087,filter_79
0.095,0.033,0.026,0.053,filter_80
-0.091,0.008,0.003,-0.094,filter_81
-0.213,-0.079,-0.062,-0.052,filter_82
0.136,0.012,0.061,-0.019,filter_83
0.079,-0.017,0.049,-0.133,filter_84
-0.273,-0.117,-0.069,-0.102,filter_85
0.237,-0.001,0.054,0.008,filter_86
-0.309,-0.036,-0.111,0.091,filter_87
0.111,-0.012,0.051,-0.049,filter_88
-0.435,-0.123,-0.183,-0.079,filter_89
0.083,0.002,0.023,-0.035,filter_90
0.246,0.012,0.061,0.07,filter_91
0.08,-0.019,0.021,-0.017,filter_92
0.062,0.022,0.034,-0.008,filter_93
-0.157,0.001,-0.058,0.016,filter_94
-0.043,0.015,0.041,-0.138,filter_95
0.069,-0.031,0.024,-0.086,filter_96
-0.053,-0.031,0.001,-0.08,filter_97
0.122,0.021,0.099,0.015,filter_98
0.094,0.025,0.035,-0.06,filter_99
0.026,0.015,0.049,-0.121,filter_100
-0.051,0.023,0.041,-0.127,filter_101
-0.004,-0.018,0.01,0.053,filter_102
0.256,0.053,0.097,-0.043,filter_103
-0.053,-0.017,0.038,0.02,filter_104
-0.037,0.0,-0.005,0.098,filter_105
0.019,0.036,0.056,-0.072,filter_106
0.184,0.044,0.092,-0.061,filter_107
0.155,0.012,0.045,-0.088,filter_108
0.07,0.014,0.037,-0.024,filter_109
0.029,0.003,0.015,-0.064,filter_110
0.026,0.01,0.041,0.03,filter_111
0.118,-0.047,0.029,-0.103,filter_112
0.032,0.021,0.024,-0.066,filter_113
0.155,0.029,0.053,-0.077,filter_114
-0.072,0.034,0.045,-0.109,filter_115
0.022,0.009,0.01,0.033,filter_116
0.141,0.034,0.093,-0.009,filter_117
-0.021,-0.03,0.007,-0.021,filter_118
0.049,0.011,0.016,0.065,filter_119
0.002,-0.004,0.012,-0.041,filter_120
-0.034,-0.001,0.036,-0.123,filter_121
0.026,0.016,0.034,-0.06,filter_122
0.086,0.026,0.028,-0.12,filter_123
-0.149,-0.018,-0.036,-0.151,filter_124
0.129,-0.026,0.047,-0.087,filter_125
-0.41,-0.027,-0.091,-0.011,filter_126
0.119,-0.008,0.058,0.115,filter_127
-0.011,0.0,-0.002,-0.073,filter_128
0.078,0.003,0.031,-0.188,filter_129
-0.08,-0.011,-0.016,-0.037,filter_130
0.089,-0.005,0.055,-0.098,filter_131
-0.081,0.024,0.008,0.083,filter_132
-0.001,0.002,-0.008,-0.004,filter_133
-0.231,0.003,-0.042,-0.117,filter_134
-0.118,0.004,-0.035,0.081,filter_135
0.039,0.009,0.027,0.06,filter_136
0.281,0.049,0.102,-0.046,filter_137
-0.04,-0.071,-0.015,0.026,filter_138
0.206,-0.022,0.049,-0.066,filter_139
0.214,0.019,0.083,-0.043,filter_140
-0.188,-0.003,-0.051,-0.104,filter_141
0.035,0.029,0.045,-0.041,filter_142
-0.242,-0.036,-0.049,0.085,filter_143
-0.033,-0.022,-0.0,-0.052,filter_144
-0.173,-0.066,-0.053,0.021,filter_145
-0.012,0.024,0.036,-0.037,filter_146
-0.151,-0.066,-0.063,-0.007,filter_147
0.096,-0.005,0.025,-0.032,filter_148
0.025,0.0,0.03,-0.148,filter_149
0.336,0.046,0.126,-0.019,filter_150
-0.282,-0.071,-0.111,-0.074,filter_151
0.044,0.003,0.013,-0.002,filter_152
0.166,0.008,0.078,-0.139,filter_153
0.205,-0.017,0.06,-0.053,filter_154
0.131,-0.001,0.048,-0.004,filter_155
-0.378,-0.065,-0.131,-0.088,filter_156
0.141,0.008,0.06,-0.041,filter_157
0.11,-0.001,0.015,-0.12,filter_158
-0.07,-0.007,-0.001,-0.132,filter_159
0.094,0.014,0.012,-0.16,filter_160
-0.046,-0.038,-0.028,-0.008,filter_161
0.081,0.003,0.056,-0.074,filter_162
0.033,0.008,0.024,-0.125,filter_163
0.099,0.025,0.031,-0.002,filter_164
-0.194,-0.01,-0.044,-0.091,filter_165
-0.051,0.02,-0.02,0.033,filter_166
0.036,0.004,-0.002,-0.064,filter_167
0.234,0.046,0.102,-0.108,filter_168
-0.229,-0.051,-0.08,0.076,filter_169
0.165,0.037,0.08,0.023,filter_170
0.057,-0.031,0.016,0.044,filter_171
0.227,0.007,0.021,-0.117,filter_172
-0.225,-0.027,-0.028,0.009,filter_173
-0.232,-0.033,-0.079,-0.038,filter_174
0.04,0.008,-0.008,-0.006,filter_175
0.204,0.047,0.064,0.008,filter_176
-0.277,-0.061,-0.109,-0.031,filter_177
0.279,0.032,0.101,-0.143,filter_178
-0.075,-0.021,-0.001,-0.095,filter_179
0.26,0.043,0.066,-0.097,filter_180
-0.162,-0.059,-0.057,0.001,filter_181
0.108,-0.007,0.041,-0.041,filter_182
-0.017,-0.015,-0.004,-0.114,filter_183
-0.207,-0.023,-0.052,-0.052,filter_184
0.173,0.034,0.038,-0.141,filter_185
-0.056,-0.002,0.01,-0.126,filter_186
-0.022,-0.002,-0.008,0.037,filter_187
-0.005,-0.021,-0.016,-0.133,filter_188
-0.428,-0.153,-0.126,-0.111,filter_189
0.178,0.01,0.045,0.058,filter_190
-0.036,-0.064,-0.01,-0.067,filter_191
-0.214,-0.066,-0.084,0.032,filter_192
-0.059,-0.031,-0.013,-0.02,filter_193
