human,Andrev2015,pc3,muscle,channel_name
0.23,-0.024,0.026,-0.126,filter_0
0.031,0.015,0.028,-0.094,filter_1
-0.156,-0.059,-0.054,-0.096,filter_2
0.093,0.046,0.053,-0.116,filter_3
0.051,0.04,0.031,-0.044,filter_4
0.213,0.046,0.105,-0.06,filter_5
0.036,-0.026,0.011,0.108,filter_6
-0.065,-0.006,0.026,-0.019,filter_7
-0.118,0.044,0.019,-0.034,filter_8
0.129,0.009,0.04,-0.127,filter_9
0.285,0.037,0.104,0.071,filter_10
-0.027,0.028,0.025,-0.087,filter_11
-0.377,-0.135,-0.139,-0.175,filter_12
0.357,0.018,0.115,0.011,filter_13
0.07,0.029,0.073,-0.05,filter_14
-0.058,0.007,0.026,0.075,filter_15
0.148,0.003,0.024,-0.106,filter_16
0.014,-0.023,0.017,0.038,filter_17
-0.01,-0.002,-0.011,-0.074,filter_18
0.091,0.025,0.051,0.016,filter_19
0.022,0.001,0.024,-0.019,filter_20
-0.262,-0.035,-0.08,-0.097,filter_21
-0.207,-0.017,-0.064,0.008,filter_22
0.008,-0.027,0.012,-0.137,filter_23
0.274,0.04,0.108,0.021,filter_24
0.133,0.038,0.098,-0.034,filter_25
0.174,0.039,0.071,-0.079,filter_26
0.031,0.038,0.069,-0.053,filter_27
-0.028,-0.076,-0.023,0.006,filter_28
0.043,-0.008,0.031,-0.042,filter_29
0.068,-0.028,0.013,-0.03,filter_30
0.297,0.049,0.112,-0.089,filter_31
-0.057,-0.011,0.002,-0.032,filter_32
-0.052,-0.001,0.012,-0.008,filter_33
-0.038,-0.015,0.019,0.097,filter_34
-0.497,-0.111,-0.151,-0.126,filter_35
0.104,0.025,0.084,-0.065,filter_36
-0.052,0.056,0.06,-0.101,filter_37
0.118,-0.005,0.018,0.083,filter_38
0.328,0.031,0.109,-0.102,filter_39
0.252,0.033,0.086,-0.062,filter_40
0.141,-0.001,0.042,-0.023,filter_41
0.192,0.017,0.04,-0.078,filter_42
0.023,0.011,0.025,-0.111,filter_43
0.078,-0.018,0.026,-0.158,filter_44
0.265,0.017,0.051,0.095,filter_45
-0.249,-0.035,-0.051,-0.126,filter_46
-0.153,-0.054,-0.023,-0.11,filter_47
0.031,-0.02,0.007,-0.075,filter_48
0.011,0.0,0.032,0.002,filter_49
0.053,0.046,0.059,0.018,filter_50
-0.261,-0.01,-0.08,-0.055,filter_51
-0.043,0.005,0.027,-0.047,filter_52
-0.124,-0.011,-0.047,0.022,filter_53
-0.229,0.033,-0.035,-0.042,filter_54
0.078,-0.013,-0.002,-0.056,filter_55
0.033,0.01,0.045,-0.038,filter_56
-0.139,0.011,0.027,-0.032,filter_57
0.125,-0.016,0.02,-0.098,filter_58
0.162,0.049,0.066,-0.111,filter_59
0.066,-0.0,0.016,0.02,filter_60
0.09,0.04,0.057,-0.021,filter_61
-0.04,-0.011,0.003,0.144,filter_62
0.127,0.005,0.043,-0.068,filter_63
-0.273,-0.032,-0.095,-0.046,filter_64
-0.115,-0.045,-0.025,-0.081,filter_65
0.169,0.045,0.052,-0.11,filter_66
0.158,-0.001,0.029,-0.082,filter_67
-0.027,0.036,0.03,-0.125,filter_68
-0.0,-0.009,-0.03,-0.2,filter_69
0.206,0.022,0.123,-0.05,filter_70
0.119,-0.008,0.007,-0.056,filter_71
-0.194,0.01,-0.007,-0.028,filter_72
0.055,0.003,0.007,0.077,filter_73
0.087,0.031,0.06,0.023,filter_74
-0.02,0.034,0.029,0.099,filter_75
0.049,0.034,0.074,0.106,filter_76
0.136,0.007,0.038,-0.054,filter_77
-0.197,-0.038,-0.045,0.079,filter_78
0.133,0.014,0.063,-0.074,filter_79
0.09,0.035,0.026,0.07,filter_80
-0.103,0.014,-0.001,-0.094,filter_81
-0.184,-0.075,-0.068,-0.04,filter_82
0.142,0.02,0.069,-0.038,filter_83
0.097,-0.007,0.048,-0.13,filter_84
-0.18,-0.097,-0.036,-0.086,filter_85
0.265,0.003,0.06,-0.005,filter_86
-0.335,-0.032,-0.113,0.108,filter_87
0.127,-0.006,0.053,-0.058,filter_88
-0.435,-0.118,-0.172,-0.085,filter_89
0.079,0.011,0.039,-0.037,filter_90
0.257,0.017,0.058,0.077,filter_91
0.111,-0.019,0.014,-0.024,filter_92
0.064,0.027,0.034,0.007,filter_93
-0.203,0.001,-0.05,0.018,filter_94
-0.066,0.011,0.034,-0.137,filter_95
0.135,-0.018,0.036,-0.091,filter_96
-0.002,-0.018,0.014,-0.09,filter_97
0.115,0.027,0.106,0.017,filter_98
0.099,0.027,0.035,-0.056,filter_99
0.015,0.01,0.036,-0.12,filter_100
-0.036,0.026,0.04,-0.131,filter_101
-0.038,-0.01,0.007,0.013,filter_102
0.265,0.058,0.096,-0.031,filter_103
-0.067,-0.018,0.05,0.015,filter_104
-0.046,0.005,0.002,0.121,filter_105
0.003,0.041,0.059,-0.072,filter_106
0.208,0.052,0.095,-0.062,filter_107
0.174,0.025,0.05,-0.093,filter_108
0.071,0.022,0.035,-0.019,filter_109
0.032,0.014,0.022,-0.065,filter_110
0.039,0.016,0.043,0.065,filter_111
0.169,-0.039,0.038,-0.086,filter_112
0.027,0.023,0.023,-0.051,filter_113
0.161,0.029,0.043,-0.08,filter_114
-0.101,0.037,0.055,-0.083,filter_115
0.017,0.018,0.024,0.033,filter_116
0.154,0.046,0.091,0.002,filter_117
-0.027,-0.024,0.01,-0.028,filter_118
0.046,0.019,0.025,0.07,filter_119
-0.006,-0.0,0.02,-0.059,filter_120
-0.022,0.007,0.042,-0.113,filter_121
-0.001,0.016,0.037,-0.069,filter_122
0.087,0.038,0.036,-0.108,filter_123
-0.121,-0.016,-0.028,-0.165,filter_124
0.16,-0.013,0.06,-0.103,filter_125
-0.416,-0.018,-0.082,-0.015,filter_126
0.121,0.005,0.066,0.12,filter_127
-0.02,0.005,-0.001,-0.089,filter_128
0.1,0.005,0.034,-0.188,filter_129
-0.113,-0.004,-0.004,-0.036,filter_130
0.127,-0.003,0.059,-0.105,filter_131
-0.108,0.03,0.015,0.082,filter_132
-0.036,0.008,0.004,-0.007,filter_133
-0.256,0.009,-0.041,-0.133,filter_134
-0.148,0.01,-0.019,0.061,filter_135
0.044,0.011,0.039,0.064,filter_136
0.291,0.058,0.111,-0.02,filter_137
0.002,-0.062,-0.002,0.032,filter_138
0.221,-0.016,0.054,-0.06,filter_139
0.255,0.022,0.091,-0.04,filter_140
-0.218,-0.003,-0.05,-0.088,filter_141
0.02,0.033,0.043,-0.059,filter_142
-0.221,-0.026,-0.036,0.09,filter_143
-0.061,-0.017,0.011,-0.053,filter_144
-0.137,-0.052,-0.051,0.011,filter_145
-0.001,0.024,0.027,-0.042,filter_146
-0.099,-0.053,-0.044,-0.0,filter_147
0.104,-0.001,0.023,-0.05,filter_148
0.064,0.006,0.026,-0.154,filter_149
0.358,0.052,0.125,-0.015,filter_150
-0.291,-0.068,-0.105,-0.069,filter_151
0.05,0.003,0.023,-0.022,filter_152
0.186,0.015,0.079,-0.13,filter_153
0.25,-0.013,0.065,-0.068,filter_154
0.15,-0.003,0.047,-0.007,filter_155
-0.401,-0.06,-0.123,-0.068,filter_156
0.144,0.022,0.063,-0.038,filter_157
0.108,-0.005,0.011,-0.123,filter_158
-0.061,-0.009,-0.003,-0.133,filter_159
0.117,0.015,0.015,-0.16,filter_160
-0.042,-0.033,-0.022,-0.017,filter_161
0.099,0.011,0.066,-0.062,filter_162
0.047,0.019,0.031,-0.126,filter_163
0.11,0.037,0.037,0.003,filter_164
-0.197,-0.006,-0.036,-0.105,filter_165
-0.076,0.025,-0.019,0.035,filter_166
0.036,0.005,-0.005,-0.057,filter_167
0.249,0.049,0.093,-0.105,filter_168
-0.226,-0.044,-0.068,0.068,filter_169
0.171,0.045,0.09,0.009,filter_170
0.061,-0.019,0.028,0.047,filter_171
0.235,0.006,0.014,-0.113,filter_172
-0.238,-0.017,-0.021,-0.015,filter_173
-0.256,-0.036,-0.074,-0.035,filter_174
0.025,0.018,0.001,-0.008,filter_175
0.199,0.055,0.075,-0.008,filter_176
-0.299,-0.068,-0.101,-0.03,filter_177
0.306,0.038,0.095,-0.134,filter_178
-0.082,-0.014,0.001,-0.111,filter_179
0.284,0.051,0.063,-0.078,filter_180
-0.138,-0.051,-0.057,0.013,filter_181
0.114,0.0,0.039,-0.024,filter_182
0.03,-0.017,0.004,-0.135,filter_183
-0.234,-0.023,-0.05,-0.062,filter_184
0.157,0.031,0.033,-0.127,filter_185
-0.065,0.002,0.016,-0.109,filter_186
-0.041,-0.003,-0.012,0.036,filter_187
0.001,-0.018,-0.016,-0.135,filter_188
-0.318,-0.142,-0.11,-0.063,filter_189
0.189,0.016,0.044,0.063,filter_190
-0.027,-0.06,-0.001,-0.057,filter_191
-0.239,-0.054,-0.074,0.026,filter_192
-0.072,-0.028,-0.009,-0.026,filter_193
0.131,0.022,0.055,-0.165,filter_194
0.255,0.005,0.063,-0.014,filter_195
0.191,0.018,0.083,-0.081,filter_196
-0.306,-0.107,-0.117,-0.028,filter_197
-0.182,-0.045,-0.034,-0.128,filter_198
-0.218,-0.03,-0.026,0.029,filter_199
-0.093,-0.047,-0.04,-0.085,filter_200
0.215,0.033,0.07,-0.128,filter_201
-0.253,-0.033,-0.061,-0.108,filter_202
0.198,0.024,0.033,-0.076,filter_203
-0.373,-0.128,-0.135,-0.127,filter_204
0.18,0.048,0.104,-0.03,filter_205
-0.002,0.002,0.026,-0.117,filter_206
-0.077,-0.054,-0.027,-0.184,filter_207
0.05,0.016,0.078,-0.025,filter_208
0.236,0.06,0.102,-0.089,filter_209
-0.118,-0.031,-0.039,-0.117,filter_210
-0.488,-0.136,-0.171,-0.163,filter_211
0.041,-0.008,-0.011,-0.049,filter_212
-0.34,-0.096,-0.11,-0.013,filter_213
0.046,-0.002,0.004,0.015,filter_214
-0.056,-0.033,-0.027,-0.107,filter_215
-0.057,-0.003,-0.015,-0.04,filter_216
0.083,-0.004,0.051,-0.006,filter_217
-0.253,-0.045,-0.054,-0.033,filter_218
-0.404,-0.081,-0.13,-0.1,filter_219
0.324,0.02,0.082,-0.075,filter_220
0.277,0.048,0.094,-0.055,filter_221
0.038,-0.052,-0.024,-0.102,filter_222
-0.081,0.01,0.005,-0.095,filter_223
-0.054,0.01,0.001,0.042,filter_224
0.041,0.018,0.014,-0.048,filter_225
-0.31,-0.09,-0.14,-0.05,filter_226
0.21,0.021,0.064,-0.093,filter_227
0.215,-0.004,0.044,-0.089,filter_228
-0.103,-0.023,-0.009,0.075,filter_229
0.22,0.03,0.053,-0.113,filter_230
-0.238,-0.029,-0.063,-0.046,filter_231
-0.085,0.05,0.009,-0.063,filter_232
-0.013,-0.053,-0.024,-0.1,filter_233
-0.138,-0.013,-0.022,0.005,filter_234
-0.041,-0.017,0.026,0.099,filter_235
0.232,0.023,0.079,-0.111,filter_236
-0.219,-0.057,-0.052,-0.14,filter_237
-0.132,-0.031,-0.046,-0.052,filter_238
-0.316,-0.083,-0.091,-0.038,filter_239
-0.011,-0.082,-0.035,-0.075,filter_240
0.118,0.046,0.077,-0.087,filter_241
