human,Andrev2015,pc3,muscle,channel_name
0.03520101,-0.02714474,-0.0126514835,-0.12563774,filter_0
0.06579073,-0.12925014,0.07325484,-0.24912126,filter_1
-0.16569944,-0.026937582,-0.052489296,0.26696533,filter_2
0.13491312,-0.0011708706,-0.0073530544,0.04965175,filter_3
0.1763086,-0.05425676,-0.11374093,0.14828588,filter_4
0.04669944,-0.010169128,-0.15487964,-0.41341585,filter_5
0.031933848,0.12166381,0.06736836,0.24602501,filter_6
0.11945105,-0.2067616,-0.23250704,-0.3935698,filter_7
-0.07105612,0.14073771,0.03549103,-0.016446829,filter_8
0.12497035,0.21336025,0.24239913,-0.33556923,filter_9
0.100661464,-0.085973516,0.046294887,0.38740256,filter_10
0.024045043,-0.2850445,-0.2514129,0.0075305454,filter_11
-0.58907145,-0.030256538,-0.0098467665,0.09787216,filter_12
0.07502425,-0.0958689,-0.019123398,0.040654194,filter_13
0.087704234,-0.22596459,-0.14633085,-0.045367908,filter_14
0.05097586,-0.010864076,0.09605695,0.29133654,filter_15
0.07031403,0.24990092,0.017956352,-0.23884471,filter_16
0.06854813,-0.23609772,0.067733645,-0.120043986,filter_17
0.03575514,0.07337283,0.12496074,-0.09467972,filter_18
0.19042954,-0.20660432,-0.08199845,-0.11884681,filter_19
0.15550019,-0.0946284,-0.03966621,-0.19273895,filter_20
-0.24121466,0.016392095,-0.029631514,-0.027670067,filter_21
-0.10753988,0.2651744,-0.026923018,0.39128214,filter_22
-0.08919923,-0.05375116,-0.09713607,-0.07953576,filter_23
0.0245107,-0.028055826,-0.14032334,0.5094861,filter_24
0.08021422,-0.04513594,-0.06385141,0.07480528,filter_25
0.023156304,-0.09227345,-0.13404292,-0.07375863,filter_26
0.07740471,0.14038292,0.12862273,-0.13471024,filter_27
0.08069348,-0.19059093,-0.12734038,-0.20811051,filter_28
-7.849098e-05,-0.25469303,-0.11840313,-0.081783,filter_29
0.067947604,0.057620563,0.079423666,0.15415475,filter_30
-0.0062223715,-0.2647207,-0.40363947,0.05112081,filter_31
0.0566747,-0.19422935,-0.10528318,-0.041984554,filter_32
0.04661525,0.16013706,-0.10879358,0.10480158,filter_33
