,channel,Pearson_correlation
0,0,0.218
1,1,-0.074
2,2,-0.186
3,3,-0.145
4,4,0.29
5,5,-0.048
6,6,0.192
7,7,0.09
8,8,0.036
9,9,0.175
10,10,0.044
11,11,0.132
12,12,-0.237
13,13,0.2
14,14,0.197
15,15,-0.243
16,16,-0.023
17,17,0.062
18,18,0.094
19,19,0.129
20,20,0.121
21,21,0.108
22,22,0.199
23,23,0.166
24,24,-0.119
25,25,-0.007
26,26,0.178
27,27,0.244
28,28,-0.121
29,29,-0.319
30,30,0.161
31,31,-0.224
32,32,-0.271
33,33,-0.01
34,34,0.104
35,35,0.231
36,36,-0.045
37,37,0.175
38,38,0.093
39,39,-0.001
40,40,-0.146
41,41,0.117
42,42,0.282
43,43,0.035
44,44,-0.138
45,45,0.078
46,46,-0.281
47,47,-0.002
48,48,-0.054
49,49,-0.06
50,50,0.032
51,51,0.099
52,52,-0.15
53,53,0.079
54,54,-0.22
55,55,-0.092
56,56,0.152
57,57,-0.358
58,58,-0.121
59,59,0.288
60,60,0.275
61,61,-0.195
62,62,0.182
63,63,-0.347
64,64,0.057
65,65,0.07
66,66,0.005
67,67,-0.116
68,68,-0.14
69,69,-0.043
70,70,0.045
71,71,0.29
72,72,0.0
73,73,-0.035
74,74,0.128
75,75,0.06
76,76,0.234
77,77,0.055
78,78,0.005
79,79,0.006
80,80,-0.187
81,81,0.142
82,82,-0.314
83,83,-0.174
84,84,-0.062
85,85,0.031
86,86,-0.462
87,87,0.216
88,88,-0.193
89,89,-0.013
90,90,-0.015
91,91,0.022
92,92,-0.027
93,93,0.178
94,94,-0.04
95,95,0.206
96,96,0.222
97,97,0.132
98,98,-0.059
99,99,-0.238
100,100,0.086
101,101,-0.013
102,102,-0.28
103,103,-0.015
104,104,-0.414
105,105,-0.243
106,106,0.242
107,107,0.1
108,108,0.19
109,109,0.035
110,110,-0.076
111,111,0.205
112,112,-0.209
113,113,0.189
114,114,-0.206
115,115,0.143
116,116,-0.292
117,117,0.184
118,118,-0.132
119,119,0.068
120,120,-0.047
121,121,0.213
122,122,-0.094
123,123,0.043
124,124,0.114
125,125,-0.416
126,126,0.004
127,127,0.024
128,128,-0.387
129,129,-0.225
130,130,-0.422
131,131,-0.041
132,132,-0.125
133,133,-0.17
134,134,0.144
135,135,0.031
136,136,-0.008
137,137,-0.013
138,138,0.239
139,139,-0.131
140,140,-0.028
141,141,-0.015
142,142,-0.367
143,143,0.11
144,144,-0.419
145,145,0.145
146,146,-0.14
147,147,0.017
148,148,-0.137
149,149,-0.02
150,150,-0.057
151,151,0.096
152,152,-0.045
153,153,0.125
154,154,-0.131
155,155,-0.032
156,156,-0.076
157,157,0.075
158,158,0.185
159,159,0.182
160,160,0.095
161,161,0.106
162,162,-0.049
163,163,0.236
164,164,0.071
165,165,0.165
166,166,0.031
167,167,0.235
168,168,-0.336
169,169,0.22
170,170,0.094
171,171,0.263
172,172,0.148
173,173,0.0
174,174,-0.229
175,175,0.149
176,176,-0.172
177,177,0.138
178,178,-0.102
179,179,0.209
180,180,0.083
181,181,-0.029
182,182,-0.03
183,183,0.03
184,184,0.042
185,185,0.175
186,186,-0.016
187,187,-0.137
188,188,-0.382
189,189,0.104
190,190,0.066
191,191,0.096
192,192,0.291
193,193,0.039
194,194,0.102
195,195,-0.31
196,196,-0.192
197,197,-0.453
198,198,-0.293
199,199,0.291
200,200,0.17
201,201,0.075
202,202,0.116
203,203,0.306
204,204,0.032
205,205,-0.38
206,206,0.025
207,207,0.229
208,208,0.114
209,209,-0.057
210,210,0.131
211,211,0.018
212,212,0.192
213,213,0.206
214,214,0.15
215,215,0.107
216,216,-0.051
217,217,0.064
218,218,-0.225
219,219,-0.017
220,220,0.156
221,221,0.281
222,222,-0.108
223,223,0.053
224,224,-0.478
225,225,-0.168
226,226,-0.17
227,227,0.067
228,228,-0.31
229,229,-0.23
230,230,0.055
231,231,0.147
232,232,-0.448
233,233,-0.11
234,234,0.132
235,235,0.173
236,236,0.172
237,237,-0.368
238,238,0.249
239,239,0.064
240,240,-0.153
241,241,-0.348
242,242,-0.311
243,243,0.016
244,244,-0.011
245,245,-0.133
246,246,0.154
247,247,0.124
248,248,0.116
249,249,0.287
250,250,0.223
251,251,0.13
252,252,-0.174
253,253,0.042
254,254,0.208
255,255,0.108
