# Warning: p-values will be inaccurate if primary and control
#          sequences have different length distributions.
RANK	DB	ID	ALT_ID	CONSENSUS	TP	TP%	FP	FP%	ENR_RATIO	SCORE_THR	PVALUE	LOG_PVALUE	EVALUE	LOG_EVALUE	QVALUE	LOG_QVALUE
1	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_76		WACRMCARR	234	32.28	1594	24.60	1.32	6.3	9.87e-5	-9.22	2.40e-2	-3.73	1.34e-2	-4.31
2	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_173		AAMCAARRA	576	79.45	4424	68.27	1.16	2	4.25e-4	-7.76	1.03e-1	-2.27	2.00e-2	-3.91
3	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_172		AAAWAKMMT	642	88.55	4990	77.01	1.15	0.42	5.72e-4	-7.47	1.39e-1	-1.97	2.00e-2	-3.91
4	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_29		AABMWMAAR	618	85.24	4792	73.95	1.15	2.3	5.89e-4	-7.44	1.43e-1	-1.94	2.00e-2	-3.91
5	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_4		RATRATARA	590	81.38	4584	70.74	1.15	2.4	8.88e-4	-7.03	2.16e-1	-1.53	2.16e-2	-3.84
6	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_206		WAAAYCMAD	552	76.14	4273	65.94	1.16	3.7	9.68e-4	-6.94	2.35e-1	-1.45	2.16e-2	-3.84
7	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_100		NMTWKTTTW	593	81.79	4623	71.34	1.15	1.7	1.11e-3	-6.80	2.70e-1	-1.31	2.16e-2	-3.84
8	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_247		AAMATTAHA	643	88.69	5055	78.01	1.14	0.47	1.38e-3	-6.59	3.34e-1	-1.10	2.34e-2	-3.76
9	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_249		HAYCGGTGG	174	24.00	1217	18.78	1.28	6.7	1.86e-3	-6.29	4.51e-1	-0.80	2.81e-2	-3.57
10	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_141		AMCABCDTA	614	84.69	4858	74.97	1.13	2.7	2.70e-3	-5.91	6.57e-1	-0.42	3.68e-2	-3.30
11	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_114		AATTTTWTA	515	71.03	4042	62.38	1.14	2.1	3.36e-3	-5.70	8.16e-1	-0.20	3.71e-2	-3.29
12	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_99		AAVATGGHH	576	79.45	4555	70.29	1.13	1.4	3.42e-3	-5.68	8.31e-1	-0.18	3.71e-2	-3.29
13	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_251		TKATAAATG	666	91.86	5316	82.04	1.12	0.44	3.55e-3	-5.64	8.63e-1	-0.15	3.71e-2	-3.29
