Query_ID,q-value_ribo,q-value_yeast
vleng_l3_f_0,1.0,1.0
vleng_l3_f_1,0.167163,0.026698
vleng_l3_f_2,0.132457,0.0221103
vleng_l3_f_3,1.0,0.113701
vleng_l3_f_4,1.0,0.819093
vleng_l3_f_5,0.233916,0.56851
vleng_l3_f_6,1.0,1.0
vleng_l3_f_7,0.445765,1.0
vleng_l3_f_8,0.00209379,0.272825
vleng_l3_f_9,0.812656,0.756522
vleng_l3_f_10,1.0,0.0596234
vleng_l3_f_11,1.0,0.290372
vleng_l3_f_12,1.0,0.150072
vleng_l3_f_13,1.0,1.0
vleng_l3_f_14,0.0135636,0.286861
vleng_l3_f_15,0.164392,1.0
vleng_l3_f_16,0.664279,1.0
vleng_l3_f_17,1.0,0.210923
vleng_l3_f_18,1.0,1.0
vleng_l3_f_19,0.015941,0.0137
vleng_l3_f_20,0.0724787,0.290009
vleng_l3_f_21,0.822745,1.0
vleng_l3_f_22,0.211172,0.0291972
vleng_l3_f_23,0.99999,0.62843
vleng_l3_f_24,0.365265,0.000117085
vleng_l3_f_25,1.0,0.19747
vleng_l3_f_26,1.0,0.928074
vleng_l3_f_27,0.955115,0.0077326
vleng_l3_f_28,0.0098183,0.0333946
vleng_l3_f_29,0.0260251,0.0437741
vleng_l3_f_30,1.0,0.812042
vleng_l3_f_31,1.0,0.163284
vleng_l3_f_32,1.0,0.482694
vleng_l3_f_33,1.0,0.039889
vleng_l3_f_34,1.0,0.169159
vleng_l3_f_35,0.566818,0.0687079
vleng_l3_f_36,0.491809,1.0
vleng_l3_f_37,0.556649,1.0
vleng_l3_f_38,1.0,1.0
vleng_l3_f_39,0.401309,1.0
vleng_l3_f_40,0.738282,0.0410733
vleng_l3_f_41,1.0,0.775988
vleng_l3_f_42,0.218462,1.0
vleng_l3_f_43,1.0,1.0
vleng_l3_f_44,1.0,1.0
vleng_l3_f_45,1.0,0.612033
vleng_l3_f_46,0.844766,0.00335143
vleng_l3_f_47,0.618064,0.479417
vleng_l3_f_48,1.0,0.0974924
vleng_l3_f_49,0.0806647,1.0
vleng_l3_f_50,0.0297677,1.0
vleng_l3_f_51,1.0,0.00019432
vleng_l3_f_52,1.0,1.0
vleng_l3_f_53,1.0,0.745875
vleng_l3_f_54,1.0,0.170012
vleng_l3_f_55,0.719918,1.0
vleng_l3_f_56,0.50052,1.0
vleng_l3_f_57,0.201433,0.0352315
vleng_l3_f_58,0.0260183,0.0209165
vleng_l3_f_59,1.0,0.22802
vleng_l3_f_60,0.999999,1.0
vleng_l3_f_61,1.0,0.958997
vleng_l3_f_62,1.0,0.298598
vleng_l3_f_63,1.0,1.0
vleng_l3_f_64,0.0931989,1.0
vleng_l3_f_65,0.0876389,1.0
vleng_l3_f_66,1.0,0.0855916
vleng_l3_f_67,1.0,0.000250371
vleng_l3_f_68,1.0,0.254889
vleng_l3_f_69,0.676674,0.0337187
vleng_l3_f_70,1.0,0.152175
vleng_l3_f_71,0.533672,0.146913
vleng_l3_f_72,0.49047,0.141405
vleng_l3_f_73,0.00147274,0.0265939
vleng_l3_f_74,1.0,0.733934
vleng_l3_f_75,0.182425,0.00795069
vleng_l3_f_76,0.936388,1.0
vleng_l3_f_77,1.0,0.204238
vleng_l3_f_78,1.0,0.368588
vleng_l3_f_79,0.45044,1.0
vleng_l3_f_80,0.0839741,0.208577
vleng_l3_f_81,0.8203,1.0
vleng_l3_f_82,1.0,1.0
vleng_l3_f_83,0.614479,0.121772
vleng_l3_f_84,0.727803,0.00356666
vleng_l3_f_85,0.0561259,0.0358694
vleng_l3_f_86,1.0,0.701484
vleng_l3_f_87,0.735965,0.166219
vleng_l3_f_88,0.389648,0.913209
vleng_l3_f_89,0.0921976,1.0
vleng_l3_f_91,0.424258,0.637118
vleng_l3_f_92,0.561705,1.0
vleng_l3_f_93,1.0,0.445393
vleng_l3_f_94,0.155053,1.0
vleng_l3_f_95,1.0,0.000361948
vleng_l3_f_96,0.656701,0.246114
vleng_l3_f_97,0.494929,1.0
vleng_l3_f_98,0.103508,0.822064
vleng_l3_f_99,0.413685,1.0
vleng_l3_f_100,0.999999,0.0566884
vleng_l3_f_101,1.0,0.563801
vleng_l3_f_102,0.0809851,1.0
vleng_l3_f_103,0.482814,1.0
vleng_l3_f_104,0.538306,0.509269
vleng_l3_f_105,1.0,0.00542622
vleng_l3_f_106,0.210792,0.444737
vleng_l3_f_107,0.743716,0.0083151
vleng_l3_f_108,1.0,1.0
vleng_l3_f_109,1.0,0.152939
vleng_l3_f_110,0.0129053,0.0464032
vleng_l3_f_111,1.0,1.0
vleng_l3_f_112,1.0,0.877984
vleng_l3_f_113,1.0,0.00679306
vleng_l3_f_114,0.595137,0.79958
vleng_l3_f_115,0.350045,0.108073
vleng_l3_f_116,0.999999,1.0
vleng_l3_f_117,0.004075,0.0433377
vleng_l3_f_118,0.0214981,0.148198
vleng_l3_f_119,1.0,0.0169328
vleng_l3_f_120,0.235145,1.0
vleng_l3_f_121,1.0,1.0
vleng_l3_f_122,1.0,0.0401393
vleng_l3_f_123,1.0,0.00222978
vleng_l3_f_124,1.0,1.0
vleng_l3_f_125,0.0988494,0.532565
vleng_l3_f_126,0.0471169,1.0
vleng_l3_f_127,0.112038,0.0244075
vleng_l3_f_128,0.00351416,1.0
vleng_l3_f_129,0.752916,1.0
vleng_l3_f_130,0.22494,0.298517
vleng_l3_f_131,0.155097,0.0771926
vleng_l3_f_132,1.0,0.994767
vleng_l3_f_133,1.0,0.43688
vleng_l3_f_134,0.531633,0.866768
vleng_l3_f_135,0.279561,1.0
vleng_l3_f_136,1.0,0.0246621
vleng_l3_f_137,0.999999,0.904179
vleng_l3_f_138,1.0,0.0466454
vleng_l3_f_139,0.999997,1.0
vleng_l3_f_140,1.0,0.000158367
vleng_l3_f_141,0.232719,0.362748
vleng_l3_f_142,1.0,0.00411438
vleng_l3_f_143,1.0,0.871991
vleng_l3_f_144,1.0,1.0
vleng_l3_f_145,1.0,0.41404
vleng_l3_f_146,0.579757,0.280789
vleng_l3_f_147,0.577098,0.88859
vleng_l3_f_148,1.0,0.439931
vleng_l3_f_149,0.263643,1.0
vleng_l3_f_150,1.0,0.235552
vleng_l3_f_151,0.00191319,0.487285
vleng_l3_f_152,0.046715,0.10788
vleng_l3_f_153,1.0,1.0
vleng_l3_f_154,0.327073,1.0
vleng_l3_f_155,1.0,1.0
vleng_l3_f_156,1.0,0.00103236
vleng_l3_f_157,0.438061,0.289531
vleng_l3_f_158,1.0,0.594927
vleng_l3_f_159,0.458585,0.677435
vleng_l3_f_160,0.0223499,0.0808181
vleng_l3_f_161,1.0,0.00525841
