Query_ID,q-value_ribo,q-value_yeast
unmod1_l3_f_0,0.503068,0.39422
unmod1_l3_f_1,1.0,0.996773
unmod1_l3_f_2,0.900052,0.872849
unmod1_l3_f_3,0.639888,0.0392114
unmod1_l3_f_4,0.62511,0.338409
unmod1_l3_f_5,0.0424496,0.435667
unmod1_l3_f_6,0.0642687,0.131289
unmod1_l3_f_7,1.0,2.39925e-05
unmod1_l3_f_8,0.144336,0.0380285
unmod1_l3_f_9,0.74453,1.0
unmod1_l3_f_10,1.0,1.0
unmod1_l3_f_11,1.0,0.399145
unmod1_l3_f_12,1.0,0.337094
unmod1_l3_f_13,1.0,1.0
unmod1_l3_f_14,0.121982,0.364113
unmod1_l3_f_15,0.333683,0.0197627
unmod1_l3_f_16,0.166774,0.996432
unmod1_l3_f_17,0.852032,0.0067395
unmod1_l3_f_18,1.0,0.9558
unmod1_l3_f_19,1.0,0.956818
unmod1_l3_f_20,0.174388,0.738053
unmod1_l3_f_21,1.0,0.0321739
unmod1_l3_f_22,0.922824,1.0
unmod1_l3_f_23,1.0,0.43533
unmod1_l3_f_24,0.188389,0.164514
unmod1_l3_f_25,0.843265,0.078633
unmod1_l3_f_26,0.927948,0.0511213
unmod1_l3_f_27,0.999989,1.0
unmod1_l3_f_28,1.0,0.13665
unmod1_l3_f_29,1.0,1.0
unmod1_l3_f_30,0.202143,0.0242833
unmod1_l3_f_31,1.0,0.685207
unmod1_l3_f_32,0.591273,1.0
unmod1_l3_f_33,1.0,0.177377
unmod1_l3_f_34,1.0,1.0
unmod1_l3_f_35,1.0,0.358381
unmod1_l3_f_36,0.00728626,0.0427434
unmod1_l3_f_37,1.0,0.556711
unmod1_l3_f_38,0.815349,0.483856
unmod1_l3_f_39,0.999999,0.311157
unmod1_l3_f_40,0.490135,0.0382455
unmod1_l3_f_41,0.214252,0.900813
unmod1_l3_f_42,0.802706,1.0
unmod1_l3_f_44,0.575438,0.064186
unmod1_l3_f_45,1.0,0.0916941
unmod1_l3_f_46,1.0,1.0
unmod1_l3_f_47,1.0,0.579496
unmod1_l3_f_48,0.140028,1.0
unmod1_l3_f_49,1.0,1.0
unmod1_l3_f_50,1.0,0.009082
unmod1_l3_f_51,0.161216,1.0
unmod1_l3_f_52,0.672361,0.187887
unmod1_l3_f_53,1.0,1.0
unmod1_l3_f_54,1.0,1.0
unmod1_l3_f_55,0.442226,0.740017
unmod1_l3_f_56,1.0,0.0597551
unmod1_l3_f_57,0.498748,0.391987
unmod1_l3_f_58,1.0,0.386539
unmod1_l3_f_59,0.430491,1.0
unmod1_l3_f_60,1.0,1.0
unmod1_l3_f_61,1.0,1.0
unmod1_l3_f_62,1.0,0.564362
unmod1_l3_f_63,0.19192,0.304076
unmod1_l3_f_64,1.0,0.186919
unmod1_l3_f_65,0.954648,0.290556
unmod1_l3_f_66,0.754668,1.0
unmod1_l3_f_67,1.0,1.0
unmod1_l3_f_68,0.169795,0.720349
unmod1_l3_f_69,0.999999,1.0
unmod1_l3_f_70,1.0,0.00489708
unmod1_l3_f_71,0.294723,0.198786
unmod1_l3_f_72,0.997471,0.41394
unmod1_l3_f_73,1.0,1.0
unmod1_l3_f_74,1.0,1.0
unmod1_l3_f_75,0.244736,0.933637
unmod1_l3_f_76,1.0,0.0489216
unmod1_l3_f_77,0.900316,0.101072
unmod1_l3_f_78,1.0,0.982014
unmod1_l3_f_79,1.0,1.0
unmod1_l3_f_80,0.244126,0.0294963
unmod1_l3_f_81,0.382694,0.053416
unmod1_l3_f_82,1.0,1.0
unmod1_l3_f_83,0.64359,1.0
unmod1_l3_f_84,0.519581,0.294777
unmod1_l3_f_85,0.0657167,1.0
unmod1_l3_f_86,0.59182,1.0
unmod1_l3_f_87,0.632764,0.0704436
unmod1_l3_f_88,0.862347,0.143201
unmod1_l3_f_89,0.999999,0.547605
unmod1_l3_f_90,1.0,0.0897945
unmod1_l3_f_91,0.94701,0.0621557
unmod1_l3_f_92,1.0,0.718502
unmod1_l3_f_93,0.447901,0.221904
unmod1_l3_f_94,1.0,0.144632
unmod1_l3_f_95,0.551511,0.328744
unmod1_l3_f_96,1.0,0.00341406
unmod1_l3_f_97,0.116337,1.0
unmod1_l3_f_98,0.987005,0.262995
unmod1_l3_f_99,1.0,1.0
unmod1_l3_f_100,0.389222,1.0
unmod1_l3_f_101,1.0,0.474078
unmod1_l3_f_102,0.121685,0.00292971
unmod1_l3_f_103,1.0,0.109847
unmod1_l3_f_104,0.667654,1.0
unmod1_l3_f_105,1.0,0.0833386
unmod1_l3_f_106,0.61998,0.306239
unmod1_l3_f_107,0.999975,0.937113
unmod1_l3_f_108,0.999992,0.291452
unmod1_l3_f_109,0.999999,0.999999
unmod1_l3_f_110,0.0537816,0.00085081
unmod1_l3_f_111,0.0267856,1.0
unmod1_l3_f_112,1.0,1.0
unmod1_l3_f_113,0.999999,0.253754
unmod1_l3_f_114,0.999985,1.0
unmod1_l3_f_115,1.0,0.777899
unmod1_l3_f_116,0.969347,0.0874662
unmod1_l3_f_117,0.173299,0.0750065
unmod1_l3_f_118,1.0,0.00324118
unmod1_l3_f_119,0.0338859,0.000521274
unmod1_l3_f_120,0.441611,1.0
unmod1_l3_f_121,0.191323,0.0771892
unmod1_l3_f_122,0.289133,0.146861
unmod1_l3_f_123,1.0,0.0734246
unmod1_l3_f_124,1.0,1.0
unmod1_l3_f_125,0.462862,0.0162017
unmod1_l3_f_126,0.457157,0.184612
unmod1_l3_f_127,0.999996,0.433884
unmod1_l3_f_128,1.0,0.0571587
unmod1_l3_f_129,0.999993,0.192091
unmod1_l3_f_130,0.999997,0.384006
unmod1_l3_f_131,1.0,1.0
unmod1_l3_f_132,1.0,0.0455916
unmod1_l3_f_133,0.264563,0.524605
unmod1_l3_f_134,0.317036,0.0542085
unmod1_l3_f_135,0.542046,1.0
unmod1_l3_f_136,1.0,0.0311043
unmod1_l3_f_137,0.285143,1.0
unmod1_l3_f_138,0.174413,0.0297844
unmod1_l3_f_139,0.291165,0.137327
unmod1_l3_f_140,0.0486578,0.238049
unmod1_l3_f_141,1.0,0.712707
unmod1_l3_f_142,1.0,0.124336
unmod1_l3_f_143,0.379133,0.246965
unmod1_l3_f_144,0.200036,0.678787
unmod1_l3_f_145,0.999988,0.201837
unmod1_l3_f_146,0.183235,0.416806
unmod1_l3_f_147,0.800841,0.11036
unmod1_l3_f_148,1.0,1.0
unmod1_l3_f_149,0.490672,1.0
unmod1_l3_f_150,0.8685,0.64204
unmod1_l3_f_151,0.00698403,1.0
unmod1_l3_f_152,0.842971,0.554395
unmod1_l3_f_153,0.69006,0.812028
unmod1_l3_f_154,0.142511,0.115495
unmod1_l3_f_155,0.736594,0.0033366
unmod1_l3_f_156,0.400021,0.433766
unmod1_l3_f_157,0.0734531,0.28302
unmod1_l3_f_158,0.758711,1.0
unmod1_l3_f_159,1.0,1.0
unmod1_l3_f_160,1.0,1.0
unmod1_l3_f_161,1.0,0.33302
unmod1_l3_f_162,0.0366693,0.127638
unmod1_l3_f_163,0.136873,0.133068
unmod1_l3_f_164,1.0,0.133326
unmod1_l3_f_165,1.0,0.895946
unmod1_l3_f_166,1.0,0.595826
unmod1_l3_f_167,1.0,0.0760742
unmod1_l3_f_168,0.150098,0.212552
unmod1_l3_f_169,0.965354,1.0
unmod1_l3_f_170,0.644288,0.135909
unmod1_l3_f_171,1.0,0.180357
unmod1_l3_f_172,0.787928,1.0
unmod1_l3_f_173,1.0,1.0
unmod1_l3_f_174,1.0,0.00628784
unmod1_l3_f_175,1.0,0.0272312
unmod1_l3_f_176,0.0234669,0.867902
unmod1_l3_f_177,1.0,0.0207999
unmod1_l3_f_178,0.999992,0.420861
unmod1_l3_f_179,0.727796,0.162455
unmod1_l3_f_180,0.11188,0.678681
unmod1_l3_f_181,0.522584,0.709248
unmod1_l3_f_182,0.999999,1.0
unmod1_l3_f_183,0.529431,0.831019
unmod1_l3_f_184,0.128422,0.0330516
unmod1_l3_f_185,0.210226,0.0025461
unmod1_l3_f_186,0.270043,1.0
unmod1_l3_f_187,0.55772,0.0078174
unmod1_l3_f_188,0.366594,0.915956
unmod1_l3_f_189,0.619781,0.188634
unmod1_l3_f_190,1.0,0.206038
unmod1_l3_f_191,1.0,0.000295823
unmod1_l3_f_192,0.0353345,1.0
unmod1_l3_f_193,0.54575,0.00499245
unmod1_l3_f_194,0.792923,0.340309
unmod1_l3_f_195,1.0,0.453476
unmod1_l3_f_196,1.0,0.412515
unmod1_l3_f_197,0.79816,0.045495
unmod1_l3_f_198,0.161617,0.000124199
unmod1_l3_f_199,0.999995,1.0
unmod1_l3_f_200,0.931734,0.000150783
unmod1_l3_f_201,1.0,0.351997
unmod1_l3_f_202,0.16966,0.0659202
unmod1_l3_f_203,1.0,1.0
unmod1_l3_f_204,0.999999,0.381032
unmod1_l3_f_205,0.138493,0.024517
unmod1_l3_f_206,0.0774351,0.0905861
unmod1_l3_f_207,1.0,0.110457
unmod1_l3_f_208,0.869123,1.0
unmod1_l3_f_209,0.589923,0.542074
unmod1_l3_f_210,0.780466,0.0130059
unmod1_l3_f_211,0.533289,1.0
unmod1_l3_f_212,0.324272,0.00357449
unmod1_l3_f_213,0.19044,0.0120765
unmod1_l3_f_214,0.594284,0.87736
unmod1_l3_f_215,1.0,0.000852836
unmod1_l3_f_216,1.0,0.405606
unmod1_l3_f_217,1.0,0.121923
unmod1_l3_f_218,1.0,1.0
unmod1_l3_f_219,0.393697,0.0496056
unmod1_l3_f_220,1.0,1.0
unmod1_l3_f_221,0.378985,0.557773
unmod1_l3_f_222,0.117997,0.000758023
unmod1_l3_f_223,1.0,1.0
unmod1_l3_f_224,0.999999,1.0
unmod1_l3_f_225,0.155318,0.386148
unmod1_l3_f_226,0.0268196,1.0
unmod1_l3_f_227,1.0,0.114245
unmod1_l3_f_228,0.232918,0.0661012
unmod1_l3_f_229,0.394197,0.158388
unmod1_l3_f_230,0.605446,1.0
unmod1_l3_f_231,1.0,0.00921333
unmod1_l3_f_232,0.741422,0.430887
unmod1_l3_f_233,1.0,0.302732
unmod1_l3_f_234,0.358113,0.0412439
unmod1_l3_f_235,0.614236,0.133558
unmod1_l3_f_236,1.0,1.0
unmod1_l3_f_237,0.724063,0.212005
unmod1_l3_f_238,1.0,1.0
unmod1_l3_f_239,1.0,0.527586
unmod1_l3_f_240,0.579956,0.00617554
unmod1_l3_f_241,0.458648,1.0
unmod1_l3_f_242,1.0,1.0
unmod1_l3_f_243,0.204675,0.160528
unmod1_l3_f_244,1.0,0.961088
unmod1_l3_f_245,0.0879687,1.0
unmod1_l3_f_246,0.0184356,0.0156763
unmod1_l3_f_247,1.0,0.795592
unmod1_l3_f_248,0.385324,0.269862
unmod1_l3_f_249,0.531036,0.141679
unmod1_l3_f_250,0.00618354,1.0
unmod1_l3_f_251,0.653308,0.670814
unmod1_l3_f_252,0.187945,1.0
unmod1_l3_f_253,1.0,1.0
unmod1_l3_f_254,0.0437255,1.0
unmod1_l3_f_255,1.0,1.0
