Query_ID,q-value_ribo,q-value_yeast
vleng_l3_f_0,0.0174707,0.452532
vleng_l3_f_1,1.0,0.0173172
vleng_l3_f_2,0.577979,0.872042
vleng_l3_f_3,0.403823,0.0197031
vleng_l3_f_4,1.0,0.688118
vleng_l3_f_5,0.743084,1.0
vleng_l3_f_6,0.481808,0.10656
vleng_l3_f_7,1.0,0.0626621
vleng_l3_f_8,1.0,1.0
vleng_l3_f_9,1.0,0.0198061
vleng_l3_f_10,0.917531,0.785339
vleng_l3_f_12,0.00948683,1.0
vleng_l3_f_13,0.0444923,0.955976
vleng_l3_f_14,0.319111,0.00306512
vleng_l3_f_15,1.0,1.0
vleng_l3_f_16,1.0,0.000119096
vleng_l3_f_17,0.946379,0.947039
vleng_l3_f_18,1.0,0.258674
vleng_l3_f_19,0.683629,0.0423694
vleng_l3_f_20,1.0,0.0457427
vleng_l3_f_21,0.223464,0.733925
vleng_l3_f_22,0.0963782,0.00299587
vleng_l3_f_23,0.0488559,1.0
vleng_l3_f_24,1.0,1.0
vleng_l3_f_25,0.908086,0.00943998
vleng_l3_f_26,0.466576,0.217132
vleng_l3_f_27,0.511006,0.00912938
vleng_l3_f_28,0.492732,0.785247
vleng_l3_f_29,1.0,0.00688843
vleng_l3_f_30,0.128012,0.0599458
vleng_l3_f_31,1.0,0.00119203
vleng_l3_f_32,0.771182,0.269106
vleng_l3_f_33,1.0,0.165486
vleng_l3_f_34,1.0,1.0
vleng_l3_f_35,0.684617,0.442731
vleng_l3_f_36,1.0,0.37506
vleng_l3_f_37,1.0,1.1749e-05
vleng_l3_f_38,0.418287,0.520749
vleng_l3_f_39,1.0,1.0
vleng_l3_f_40,1.0,1.0
vleng_l3_f_41,1.0,0.0409723
vleng_l3_f_42,1.0,1.0
vleng_l3_f_43,1.0,0.826982
vleng_l3_f_44,0.0259302,0.4301
vleng_l3_f_45,0.551217,0.761392
vleng_l3_f_46,0.933387,0.00796392
vleng_l3_f_47,1.0,0.830555
vleng_l3_f_48,0.821629,0.343313
vleng_l3_f_49,0.743459,0.0136308
vleng_l3_f_50,1.0,0.427818
vleng_l3_f_51,0.163322,0.862401
vleng_l3_f_52,1.0,1.0
vleng_l3_f_53,0.999996,0.752697
vleng_l3_f_54,1.0,1.0
vleng_l3_f_55,1.0,0.392865
vleng_l3_f_56,0.0992548,0.0269193
vleng_l3_f_57,1.0,0.632784
vleng_l3_f_58,1.0,0.442367
vleng_l3_f_59,0.850121,0.200706
vleng_l3_f_60,1.0,0.093894
vleng_l3_f_61,1.0,0.362463
vleng_l3_f_62,0.537221,0.124521
vleng_l3_f_63,0.121361,0.0374601
vleng_l3_f_64,0.104858,0.0791379
vleng_l3_f_65,1.0,1.0
vleng_l3_f_66,0.0211277,0.112729
vleng_l3_f_67,1.0,1.0
vleng_l3_f_68,0.629352,0.0361928
vleng_l3_f_69,0.62407,0.0310118
vleng_l3_f_70,0.157347,1.0
vleng_l3_f_71,0.364912,0.172631
vleng_l3_f_72,0.22176,0.147439
vleng_l3_f_73,0.507632,0.301662
vleng_l3_f_74,1.0,0.00311678
vleng_l3_f_75,0.0922374,0.484151
vleng_l3_f_76,0.268456,0.0993445
vleng_l3_f_77,0.577089,0.739882
vleng_l3_f_78,0.753088,1.0
vleng_l3_f_79,0.827237,0.00569406
vleng_l3_f_80,1.0,0.00418702
vleng_l3_f_81,0.201292,0.922615
vleng_l3_f_82,0.341214,0.104065
vleng_l3_f_83,0.473321,0.365038
vleng_l3_f_84,1.0,1.0
vleng_l3_f_85,0.434524,0.0131516
vleng_l3_f_86,1.0,1.0
vleng_l3_f_87,1.0,1.0
vleng_l3_f_88,0.849894,0.654737
vleng_l3_f_89,1.0,0.115868
vleng_l3_f_90,1.0,0.00269068
vleng_l3_f_91,0.00667909,0.0889047
vleng_l3_f_92,1.0,0.434
vleng_l3_f_93,1.0,0.266142
vleng_l3_f_94,0.594981,0.011774
vleng_l3_f_95,0.0805935,1.0
vleng_l3_f_96,0.0868547,0.220986
vleng_l3_f_97,0.10131,0.0965486
vleng_l3_f_98,0.235143,0.000932315
vleng_l3_f_99,1.0,0.277401
vleng_l3_f_100,0.809159,1.0
vleng_l3_f_101,1.0,0.0221805
vleng_l3_f_102,0.00774766,1.0
vleng_l3_f_103,0.116435,0.0250215
vleng_l3_f_104,0.937286,0.10442
vleng_l3_f_105,0.396883,0.00147538
vleng_l3_f_106,0.316128,1.0
vleng_l3_f_107,0.197876,0.0267291
vleng_l3_f_108,0.88772,0.230158
vleng_l3_f_109,0.985022,0.471635
vleng_l3_f_110,0.0557151,1.0
vleng_l3_f_111,1.0,0.00932935
vleng_l3_f_112,1.0,0.00590977
vleng_l3_f_113,0.613529,0.583977
vleng_l3_f_114,0.014035,0.216327
vleng_l3_f_115,0.494021,0.144004
vleng_l3_f_116,1.0,1.0
vleng_l3_f_117,0.148447,0.016485
vleng_l3_f_118,0.0244003,0.00755571
vleng_l3_f_119,0.193244,0.011616
vleng_l3_f_120,1.0,2.84332e-06
vleng_l3_f_121,1.0,0.0602479
vleng_l3_f_122,0.0840997,0.743071
vleng_l3_f_123,0.0407666,0.0479789
vleng_l3_f_124,0.202179,0.042119
vleng_l3_f_125,1.0,0.325737
vleng_l3_f_126,0.417937,0.776871
vleng_l3_f_127,1.0,0.00254849
vleng_l3_f_128,0.967261,1.0
vleng_l3_f_129,1.0,1.0
vleng_l3_f_130,0.396094,0.214772
vleng_l3_f_131,1.0,1.0
vleng_l3_f_132,0.464244,0.0136457
vleng_l3_f_133,0.511451,1.0
vleng_l3_f_134,0.372816,0.0152296
vleng_l3_f_135,0.41311,0.522858
vleng_l3_f_136,1.0,0.465249
vleng_l3_f_137,1.0,1.0
vleng_l3_f_138,1.0,0.5492
vleng_l3_f_139,0.768782,1.0
vleng_l3_f_140,0.225071,0.445441
vleng_l3_f_141,0.374128,0.143583
vleng_l3_f_142,0.196585,1.0
vleng_l3_f_143,0.300186,1.0
vleng_l3_f_144,0.732712,0.718121
vleng_l3_f_145,1.0,9.79565e-06
vleng_l3_f_146,1.0,0.274229
vleng_l3_f_147,1.0,0.0546939
vleng_l3_f_148,0.942638,0.10183
vleng_l3_f_149,1.0,0.00097845
vleng_l3_f_150,1.0,1.0
vleng_l3_f_151,0.889965,0.0222728
vleng_l3_f_152,1.0,0.318484
vleng_l3_f_153,0.0410209,0.797037
vleng_l3_f_154,0.153386,0.864232
vleng_l3_f_155,0.0996752,0.154914
vleng_l3_f_156,0.484874,0.90529
vleng_l3_f_157,0.616513,0.0120225
vleng_l3_f_158,0.00633859,0.00038272
vleng_l3_f_159,1.0,0.207766
vleng_l3_f_160,0.838354,0.0296242
vleng_l3_f_161,0.492835,0.284123
vleng_l3_f_162,1.0,0.00583181
vleng_l3_f_163,1.0,1.0
vleng_l3_f_164,0.999955,0.10585
vleng_l3_f_165,1.0,0.38851
vleng_l3_f_166,0.827546,0.0614415
vleng_l3_f_167,1.0,0.5968
vleng_l3_f_168,0.565912,0.93237
vleng_l3_f_169,0.381036,0.0895705
vleng_l3_f_170,0.0451033,0.909465
vleng_l3_f_171,0.122555,0.124673
vleng_l3_f_172,0.354537,1.0
vleng_l3_f_173,1.0,0.016376
vleng_l3_f_174,1.0,0.00282044
vleng_l3_f_175,0.190189,0.0331318
vleng_l3_f_176,0.00723436,0.301028
vleng_l3_f_177,0.369331,0.75887
vleng_l3_f_178,0.551207,0.613135
vleng_l3_f_179,1.0,1.0
vleng_l3_f_180,0.30391,0.00138542
vleng_l3_f_181,0.347204,1.0
vleng_l3_f_182,0.00675978,0.54491
