Query_ID,q-value_ribo,q-value_yeast
human_l3_f_0,1.0,1.0
human_l3_f_1,0.166008,0.013396600000000002
human_l3_f_2,0.388979,0.00519937
human_l3_f_3,1.0,0.312077
human_l3_f_4,1.0,0.762009
human_l3_f_5,0.0841484,0.307435
human_l3_f_6,1.0,1.0
human_l3_f_7,0.803557,0.767574
human_l3_f_8,0.667491,0.0203637
human_l3_f_9,1.0,0.867082
human_l3_f_10,1.0,0.000885513
human_l3_f_11,0.0364246,1.0
human_l3_f_12,0.12903599999999998,0.35940700000000003
human_l3_f_13,0.0906291,0.0317511
human_l3_f_14,0.0171268,0.290463
human_l3_f_15,0.037401,0.0592332
human_l3_f_16,0.91496,0.573817
human_l3_f_17,0.530263,1.0
human_l3_f_18,0.22119899999999998,1.0
human_l3_f_19,0.0107461,0.0100134
human_l3_f_20,0.17516800000000002,0.45962200000000003
human_l3_f_21,0.284351,1.0
human_l3_f_22,0.8403950000000001,0.0196806
human_l3_f_23,1.0,1.0
human_l3_f_24,0.10136,0.000584337
human_l3_f_25,0.0387156,0.00022292200000000002
human_l3_f_26,0.39600599999999997,0.140672
human_l3_f_27,0.791569,0.07058389999999999
human_l3_f_28,0.0150979,0.00803775
human_l3_f_29,0.0320421,0.043616699999999994
human_l3_f_30,1.0,0.784927
human_l3_f_31,0.422731,0.08782899999999999
human_l3_f_32,1.0,0.239076
human_l3_f_33,0.918358,0.41798100000000005
human_l3_f_34,1.0,0.0264323
human_l3_f_35,0.9771280000000001,0.07602130000000001
human_l3_f_36,0.5687399999999999,1.0
human_l3_f_37,0.353977,1.0
human_l3_f_38,0.175921,0.383748
human_l3_f_39,0.30879,1.0
human_l3_f_40,1.0,0.200744
human_l3_f_41,1.0,0.779732
human_l3_f_42,1.0,1.0
human_l3_f_43,1.0,0.678968
human_l3_f_44,0.45920500000000003,1.0
human_l3_f_45,0.884042,0.7762789999999999
human_l3_f_46,0.0091725,0.00434391
human_l3_f_47,0.9142889999999999,0.031346399999999996
human_l3_f_48,0.304755,0.0115315
human_l3_f_49,0.00533642,1.0
human_l3_f_50,0.00889378,0.24601399999999998
human_l3_f_51,1.0,4.65526e-06
