Query_ID,q-value_ribo,q-value_yeast
SThuman_l3_f_0,0.42971800000000004,0.029354599999999998
SThuman_l3_f_1,0.9452790000000001,1.0
SThuman_l3_f_2,1.0,0.392162
SThuman_l3_f_3,0.343573,0.999985
SThuman_l3_f_4,0.731161,0.0120385
SThuman_l3_f_5,0.147054,0.561551
SThuman_l3_f_6,0.0126966,0.144323
SThuman_l3_f_7,0.22067199999999998,1.0
SThuman_l3_f_8,0.0718086,0.0636047
SThuman_l3_f_9,0.273715,0.167459
SThuman_l3_f_10,0.00605767,0.014250899999999999
SThuman_l3_f_11,0.24401799999999998,0.123777
SThuman_l3_f_12,0.13381099999999999,0.147825
SThuman_l3_f_13,1.0,1.0
SThuman_l3_f_14,0.790485,0.090783
SThuman_l3_f_15,0.114245,0.249231
SThuman_l3_f_16,1.0,1.0
SThuman_l3_f_17,0.282983,0.9209639999999999
SThuman_l3_f_18,1.0,0.9876020000000001
SThuman_l3_f_19,0.700675,0.157912
SThuman_l3_f_20,0.646223,0.506976
SThuman_l3_f_21,0.128593,1.0
SThuman_l3_f_22,1.0,0.185873
SThuman_l3_f_23,0.0408214,0.0478201
SThuman_l3_f_24,0.44214799999999993,0.12898800000000002
SThuman_l3_f_25,1.0,1.0
SThuman_l3_f_26,0.29578499999999996,0.179033
SThuman_l3_f_27,0.0735973,1.0
SThuman_l3_f_28,0.736341,0.44915
SThuman_l3_f_29,1.0,0.142381
SThuman_l3_f_30,1.0,0.274528
SThuman_l3_f_31,1.0,0.06510840000000001
SThuman_l3_f_32,0.07123020000000001,0.0409966
SThuman_l3_f_33,0.170734,1.0
SThuman_l3_f_34,1.0,0.019815299999999997
SThuman_l3_f_35,0.535316,1.0
SThuman_l3_f_36,0.157411,1.0
SThuman_l3_f_37,0.046793699999999994,0.7945270000000001
SThuman_l3_f_38,0.5827680000000001,0.219875
SThuman_l3_f_39,0.8681190000000001,0.46661199999999997
SThuman_l3_f_40,1.0,7.71404e-07
SThuman_l3_f_41,1.0,0.208644
SThuman_l3_f_42,0.240346,0.0247547
SThuman_l3_f_43,0.248194,0.387425
SThuman_l3_f_44,1.0,0.000224849
SThuman_l3_f_45,0.23299499999999998,0.148318
SThuman_l3_f_46,1.0,0.5132800000000001
SThuman_l3_f_47,0.932441,0.0959698
SThuman_l3_f_48,0.150423,0.09666110000000001
SThuman_l3_f_49,0.031416200000000005,0.19203800000000001
SThuman_l3_f_50,0.5417649999999999,0.00473899
SThuman_l3_f_51,0.011892,0.367815
SThuman_l3_f_52,0.0066465000000000005,0.929501
SThuman_l3_f_53,1.0,0.36334299999999997
SThuman_l3_f_54,0.603384,0.334823
SThuman_l3_f_55,0.90694,1.0
SThuman_l3_f_56,0.828125,0.21025100000000002
SThuman_l3_f_57,1.0,0.482782
SThuman_l3_f_58,1.0,1.0
SThuman_l3_f_59,1.0,0.626495
SThuman_l3_f_60,0.5909800000000001,1.0
SThuman_l3_f_61,1.0,1.0
SThuman_l3_f_62,0.30992,0.0593514
SThuman_l3_f_63,0.028703100000000002,0.9944069999999999
SThuman_l3_f_64,0.492492,0.122107
SThuman_l3_f_65,1.0,1.0
SThuman_l3_f_66,0.085539,0.0400664
SThuman_l3_f_67,1.0,0.303667
SThuman_l3_f_68,0.214423,0.27980900000000003
SThuman_l3_f_69,0.5245,0.424583
SThuman_l3_f_70,0.6682939999999999,0.145651
SThuman_l3_f_71,1.0,0.010023200000000001
SThuman_l3_f_72,0.480605,0.00527069
SThuman_l3_f_73,0.204549,1.0
SThuman_l3_f_74,1.0,0.286193
SThuman_l3_f_75,1.0,1.0
SThuman_l3_f_76,0.362169,0.0258805
SThuman_l3_f_77,0.495629,0.1152
SThuman_l3_f_78,0.06834069999999999,0.0224024
SThuman_l3_f_79,0.010567100000000001,0.000999085
SThuman_l3_f_80,0.0254347,1.0
SThuman_l3_f_81,1.0,0.1188
SThuman_l3_f_82,0.8574309999999999,1.0
SThuman_l3_f_83,0.019994799999999997,0.052685800000000005
SThuman_l3_f_84,0.0043052,0.00294223
SThuman_l3_f_85,0.723147,0.12975599999999998
SThuman_l3_f_86,1.0,0.202908
SThuman_l3_f_87,0.385411,0.235087
SThuman_l3_f_88,0.93601,0.0153077
SThuman_l3_f_89,0.134545,0.5009979999999999
SThuman_l3_f_90,0.851361,1.0
SThuman_l3_f_91,0.797949,0.5464899999999999
SThuman_l3_f_92,1.0,0.0628546
SThuman_l3_f_93,0.219361,0.13536199999999998
SThuman_l3_f_94,1.0,0.0499509
SThuman_l3_f_95,1.0,0.9633459999999999
SThuman_l3_f_96,0.311259,0.127602
SThuman_l3_f_97,1.0,0.040355
SThuman_l3_f_98,1.0,0.00569149
SThuman_l3_f_99,0.154684,0.0228854
SThuman_l3_f_100,0.20956,0.544434
SThuman_l3_f_101,0.24301599999999998,0.9811139999999999
SThuman_l3_f_102,1.0,1.0
SThuman_l3_f_103,0.124043,0.147627
SThuman_l3_f_104,0.4844,1.0
SThuman_l3_f_105,0.7246819999999999,0.305259
SThuman_l3_f_106,0.5266489999999999,0.024806400000000003
SThuman_l3_f_107,1.0,0.740631
SThuman_l3_f_108,0.39607,0.199259
SThuman_l3_f_109,0.370336,0.37746399999999997
SThuman_l3_f_110,1.0,0.033569
SThuman_l3_f_111,0.026410700000000002,1.0
SThuman_l3_f_112,1.0,0.0481519
SThuman_l3_f_113,0.0452751,0.738028
SThuman_l3_f_114,0.30881,0.216743
SThuman_l3_f_115,0.520692,0.0102069
SThuman_l3_f_116,0.376958,1.0
SThuman_l3_f_117,1.0,0.00291926
SThuman_l3_f_118,0.844982,0.020224799999999998
SThuman_l3_f_119,0.711801,0.025708699999999998
SThuman_l3_f_120,0.22019899999999998,0.21510100000000001
SThuman_l3_f_121,0.9999979999999999,1.0
SThuman_l3_f_122,0.157904,0.203658
SThuman_l3_f_123,0.6885,0.112727
SThuman_l3_f_124,0.273378,0.0356773
SThuman_l3_f_125,0.09715030000000001,0.0341365
SThuman_l3_f_126,1.0,1.0
SThuman_l3_f_127,0.624889,0.0391834
SThuman_l3_f_128,0.6407069999999999,0.884065
SThuman_l3_f_129,0.00132207,0.0537414
SThuman_l3_f_130,0.527586,1.0
SThuman_l3_f_131,1.0,0.239385
SThuman_l3_f_132,0.697608,0.9999979999999999
SThuman_l3_f_133,0.471732,0.471778
SThuman_l3_f_134,0.44239700000000004,1.0
SThuman_l3_f_135,1.0,0.050432599999999994
SThuman_l3_f_136,0.041816900000000004,0.00028507099999999997
SThuman_l3_f_137,1.0,1.0
SThuman_l3_f_138,0.310315,0.0172297
SThuman_l3_f_139,1.0,0.0872571
SThuman_l3_f_140,1.0,1.0
SThuman_l3_f_141,0.519911,0.726847
SThuman_l3_f_142,1.0,0.201811
SThuman_l3_f_143,0.08970739999999999,0.0572558
SThuman_l3_f_144,1.0,0.145378
SThuman_l3_f_145,0.489511,0.194635
SThuman_l3_f_146,1.0,0.152101
SThuman_l3_f_147,0.00516811,0.0180753
SThuman_l3_f_148,0.12226400000000001,0.382853
SThuman_l3_f_149,1.0,1.0
SThuman_l3_f_150,0.20851,0.00901317
SThuman_l3_f_151,0.00300629,0.00947046
SThuman_l3_f_152,0.207775,1.0
SThuman_l3_f_153,1.0,1.0
