Query_ID,q-value_ribo,q-value_yeast
STunmod1_l3_f_0,0.186126,1.0
STunmod1_l3_f_1,0.0562343,0.118301
STunmod1_l3_f_2,0.999998,0.656805
STunmod1_l3_f_3,1.0,0.168146
STunmod1_l3_f_4,0.692245,0.364412
STunmod1_l3_f_5,1.0,0.178686
STunmod1_l3_f_6,0.845378,0.126627
STunmod1_l3_f_7,0.473811,0.0350252
STunmod1_l3_f_8,0.449471,0.197516
STunmod1_l3_f_9,0.0740166,0.455441
STunmod1_l3_f_10,0.740511,1.0
STunmod1_l3_f_11,0.00969237,0.991669
STunmod1_l3_f_12,1.0,0.666638
STunmod1_l3_f_13,0.598934,0.0760772
STunmod1_l3_f_14,0.337707,0.00186733
STunmod1_l3_f_15,0.029643,1.0
STunmod1_l3_f_16,0.257047,0.0790412
STunmod1_l3_f_17,0.18247,1.0
STunmod1_l3_f_18,0.0477983,0.0739453
STunmod1_l3_f_19,1.0,1.0
STunmod1_l3_f_20,0.134169,0.272966
STunmod1_l3_f_21,1.0,0.37548
STunmod1_l3_f_22,0.0965479,0.159883
STunmod1_l3_f_23,0.745566,0.108234
STunmod1_l3_f_24,1.0,7.18514e-06
STunmod1_l3_f_25,1.0,0.248594
STunmod1_l3_f_26,0.352742,0.0807713
STunmod1_l3_f_27,1.0,0.0978165
STunmod1_l3_f_28,1.0,7.49605e-05
STunmod1_l3_f_29,0.310749,1.0
STunmod1_l3_f_30,1.0,0.0254149
STunmod1_l3_f_31,0.266118,0.232253
STunmod1_l3_f_32,0.604441,0.448209
STunmod1_l3_f_33,1.0,0.199948
STunmod1_l3_f_34,0.819067,0.37589
STunmod1_l3_f_35,1.0,0.911516
STunmod1_l3_f_37,0.361544,0.0174916
STunmod1_l3_f_38,0.158327,0.203867
STunmod1_l3_f_39,0.150314,0.119667
STunmod1_l3_f_40,0.846899,0.287558
STunmod1_l3_f_41,0.186291,0.00185273
STunmod1_l3_f_42,0.665511,0.306525
STunmod1_l3_f_43,1.0,1.0
STunmod1_l3_f_44,1.0,0.0328125
STunmod1_l3_f_45,1.0,1.0
STunmod1_l3_f_46,0.739075,0.00753621
STunmod1_l3_f_47,0.145761,0.0084048
STunmod1_l3_f_48,1.0,0.305582
STunmod1_l3_f_49,0.818722,0.00727828
STunmod1_l3_f_50,0.311208,0.682194
STunmod1_l3_f_51,1.0,1.0
STunmod1_l3_f_52,1.0,0.00820851
STunmod1_l3_f_53,0.115134,1.0
