Query_ID,q-value_ribo,q-value_yeast
STvleng_l3_f_0,0.00202397,0.00180217
STvleng_l3_f_1,1.0,0.0335546
STvleng_l3_f_2,0.828648,1.0
STvleng_l3_f_3,1.0,0.0787663
STvleng_l3_f_4,0.841976,1.0
STvleng_l3_f_5,1.0,0.00480381
STvleng_l3_f_6,1.0,0.00852845
STvleng_l3_f_7,0.599739,0.062679
STvleng_l3_f_8,0.0416879,0.0608533
STvleng_l3_f_9,1.0,0.700651
STvleng_l3_f_10,0.052287,0.0043107
STvleng_l3_f_11,1.0,0.0146433
STvleng_l3_f_12,0.408022,0.213304
STvleng_l3_f_13,0.0754538,0.0632369
STvleng_l3_f_14,0.334261,0.275383
STvleng_l3_f_15,1.0,0.0251954
STvleng_l3_f_16,1.0,1.0
STvleng_l3_f_17,0.71938,0.501768
STvleng_l3_f_18,0.651755,0.795251
STvleng_l3_f_19,1.0,0.954675
STvleng_l3_f_20,0.400989,0.78044
STvleng_l3_f_21,0.813265,1.0
STvleng_l3_f_22,0.446558,0.193729
STvleng_l3_f_23,0.127015,0.404637
STvleng_l3_f_24,0.0754439,0.40431
STvleng_l3_f_25,1.0,1.0
STvleng_l3_f_26,0.999993,0.999999
STvleng_l3_f_27,0.432316,0.442828
STvleng_l3_f_28,0.0940165,1.0
STvleng_l3_f_29,1.0,0.649724
STvleng_l3_f_30,1.0,0.000882308
STvleng_l3_f_31,1.0,0.811227
STvleng_l3_f_32,0.259922,0.000255946
STvleng_l3_f_33,0.9079,1.0
STvleng_l3_f_34,0.431596,0.0341649
STvleng_l3_f_35,1.0,0.103306
STvleng_l3_f_36,1.0,1.0
STvleng_l3_f_37,0.269681,0.281283
STvleng_l3_f_38,1.0,1.0
STvleng_l3_f_39,0.999999,0.999999
STvleng_l3_f_40,0.167305,0.749562
STvleng_l3_f_41,0.210975,0.729642
STvleng_l3_f_42,0.0559931,1.0
STvleng_l3_f_43,1.0,0.109791
STvleng_l3_f_45,0.901106,1.0
STvleng_l3_f_46,0.21482,1.0
STvleng_l3_f_47,0.573173,0.113158
STvleng_l3_f_48,0.708408,0.0147946
STvleng_l3_f_49,1.0,0.379884
STvleng_l3_f_50,0.53796,0.0328705
STvleng_l3_f_51,0.205715,1.0
STvleng_l3_f_52,0.0818842,0.623194
STvleng_l3_f_53,0.0152588,0.235207
STvleng_l3_f_54,0.653173,1.0
STvleng_l3_f_55,0.9256,0.749566
STvleng_l3_f_56,0.333173,0.713948
STvleng_l3_f_57,0.399496,0.231096
STvleng_l3_f_58,0.733411,0.00207061
STvleng_l3_f_59,0.0833458,0.151474
STvleng_l3_f_60,0.0850945,0.163483
STvleng_l3_f_61,0.999999,1.0
STvleng_l3_f_62,1.0,0.00213701
STvleng_l3_f_63,1.0,0.176543
STvleng_l3_f_64,0.339021,0.0328799
STvleng_l3_f_65,1.0,1.0
STvleng_l3_f_66,0.384648,0.000164659
STvleng_l3_f_67,0.265628,0.087516
STvleng_l3_f_68,0.938965,0.105082
STvleng_l3_f_69,0.0247738,1.0
STvleng_l3_f_70,0.404576,1.0
STvleng_l3_f_71,0.177215,0.412166
STvleng_l3_f_72,0.82423,0.407211
STvleng_l3_f_73,0.270334,0.800352
STvleng_l3_f_74,0.678584,1.0
STvleng_l3_f_75,0.78095,0.197027
STvleng_l3_f_76,0.442076,0.0163848
STvleng_l3_f_77,1.0,0.0283624
STvleng_l3_f_78,0.47272,0.0886059
STvleng_l3_f_79,0.999941,0.999998
STvleng_l3_f_80,0.822799,0.55653
STvleng_l3_f_81,0.0722832,0.000146058
STvleng_l3_f_82,0.31593,0.698511
STvleng_l3_f_83,0.0582014,1.0
STvleng_l3_f_84,0.527394,0.269085
STvleng_l3_f_85,1.0,0.202368
STvleng_l3_f_86,0.354909,0.00922707
STvleng_l3_f_87,0.0302532,0.465787
STvleng_l3_f_88,0.999999,0.225771
STvleng_l3_f_89,0.126194,0.813122
STvleng_l3_f_90,0.904363,1.0
STvleng_l3_f_91,1.0,0.102388
STvleng_l3_f_92,0.715914,0.876203
STvleng_l3_f_93,0.883027,0.00608041
STvleng_l3_f_94,1.0,1.0
STvleng_l3_f_95,1.0,0.00174417
STvleng_l3_f_96,0.150894,0.491332
STvleng_l3_f_97,0.0676507,0.884729
STvleng_l3_f_98,0.358196,0.837052
STvleng_l3_f_99,1.0,1.0
STvleng_l3_f_100,0.737117,0.0857363
STvleng_l3_f_101,1.0,0.930646
STvleng_l3_f_102,0.439593,1.0
STvleng_l3_f_103,1.0,0.280243
STvleng_l3_f_104,1.0,0.0401912
STvleng_l3_f_105,1.0,1.0
STvleng_l3_f_106,0.216222,0.0637659
STvleng_l3_f_107,1.0,1.0
STvleng_l3_f_108,1.0,0.0331539
STvleng_l3_f_109,0.206853,0.0338963
STvleng_l3_f_110,0.268348,0.0961847
STvleng_l3_f_111,0.627439,0.00375025
