Query_ID,q-value_ribo,q-value_yeast
SiglTask_human_l3_f_0,0.42971800000000004,0.0242204
SiglTask_human_l3_f_1,0.9452790000000001,1.0
SiglTask_human_l3_f_2,1.0,0.0916821
SiglTask_human_l3_f_3,0.343573,0.9999889999999999
SiglTask_human_l3_f_4,0.731161,0.00523241
SiglTask_human_l3_f_5,0.147054,0.590703
SiglTask_human_l3_f_6,0.0126966,0.11877599999999999
SiglTask_human_l3_f_7,0.22067199999999998,1.0
SiglTask_human_l3_f_8,0.0718086,0.0796598
SiglTask_human_l3_f_9,0.273715,0.09591480000000001
SiglTask_human_l3_f_10,0.00605767,0.037101199999999994
SiglTask_human_l3_f_11,0.24401799999999998,0.159492
SiglTask_human_l3_f_12,0.13381099999999999,0.15365399999999999
SiglTask_human_l3_f_13,1.0,1.0
SiglTask_human_l3_f_14,0.790485,0.190719
SiglTask_human_l3_f_15,0.114245,0.276094
SiglTask_human_l3_f_16,1.0,1.0
SiglTask_human_l3_f_17,0.282983,0.942524
SiglTask_human_l3_f_18,1.0,1.0
SiglTask_human_l3_f_19,0.700675,0.127221
SiglTask_human_l3_f_20,0.646223,0.34741500000000003
SiglTask_human_l3_f_21,0.128593,1.0
SiglTask_human_l3_f_22,1.0,0.146681
SiglTask_human_l3_f_23,0.0408214,0.052655499999999994
SiglTask_human_l3_f_24,0.44214799999999993,0.162653
SiglTask_human_l3_f_25,1.0,1.0
SiglTask_human_l3_f_26,0.29578499999999996,0.227325
SiglTask_human_l3_f_27,0.0735973,0.43233699999999997
SiglTask_human_l3_f_28,0.736341,0.256975
SiglTask_human_l3_f_29,1.0,0.10042899999999999
SiglTask_human_l3_f_30,1.0,0.319652
SiglTask_human_l3_f_31,1.0,0.151672
SiglTask_human_l3_f_32,0.07123020000000001,0.0674018
SiglTask_human_l3_f_33,0.170734,1.0
SiglTask_human_l3_f_34,1.0,0.0882767
SiglTask_human_l3_f_35,0.535316,0.389289
SiglTask_human_l3_f_36,0.157411,0.913365
SiglTask_human_l3_f_37,0.046793699999999994,0.697263
SiglTask_human_l3_f_38,0.5827680000000001,0.155539
SiglTask_human_l3_f_39,0.8681190000000001,0.740396
SiglTask_human_l3_f_40,1.0,1.83321e-06
SiglTask_human_l3_f_41,1.0,0.322232
SiglTask_human_l3_f_42,0.240346,0.00751517
SiglTask_human_l3_f_43,0.248194,0.0868396
SiglTask_human_l3_f_44,1.0,0.000313963
SiglTask_human_l3_f_45,0.23299499999999998,0.200188
SiglTask_human_l3_f_46,1.0,1.0
SiglTask_human_l3_f_47,0.932441,0.06999889999999999
SiglTask_human_l3_f_48,0.150423,0.0806572
SiglTask_human_l3_f_49,0.031416200000000005,0.285089
SiglTask_human_l3_f_50,0.5417649999999999,0.00258978
SiglTask_human_l3_f_51,0.011892,0.488646
SiglTask_human_l3_f_52,0.0066465000000000005,0.9007879999999999
SiglTask_human_l3_f_53,1.0,0.365257
SiglTask_human_l3_f_54,0.603384,0.37164400000000003
SiglTask_human_l3_f_55,0.90694,1.0
SiglTask_human_l3_f_56,0.828125,0.22285300000000002
SiglTask_human_l3_f_57,1.0,0.269529
SiglTask_human_l3_f_58,1.0,1.0
SiglTask_human_l3_f_59,1.0,0.6222449999999999
SiglTask_human_l3_f_60,0.5909800000000001,1.0
SiglTask_human_l3_f_61,1.0,1.0
SiglTask_human_l3_f_62,0.30992,0.00686062
SiglTask_human_l3_f_63,0.028703100000000002,1.0
SiglTask_human_l3_f_64,0.492492,0.10520999999999998
SiglTask_human_l3_f_65,1.0,1.0
SiglTask_human_l3_f_66,0.085539,0.06292819999999999
SiglTask_human_l3_f_67,1.0,0.358957
SiglTask_human_l3_f_68,0.214423,0.325235
SiglTask_human_l3_f_69,0.5245,0.39729200000000003
SiglTask_human_l3_f_70,0.6682939999999999,0.165451
SiglTask_human_l3_f_71,1.0,0.0246576
SiglTask_human_l3_f_72,0.480605,0.00697535
SiglTask_human_l3_f_73,0.204549,0.851455
SiglTask_human_l3_f_74,1.0,0.378798
SiglTask_human_l3_f_75,1.0,1.0
SiglTask_human_l3_f_76,0.362169,0.022931
SiglTask_human_l3_f_77,0.495629,0.16901
SiglTask_human_l3_f_78,0.06834069999999999,0.020146999999999998
SiglTask_human_l3_f_79,0.010567100000000001,0.000668372
SiglTask_human_l3_f_80,0.0254347,1.0
SiglTask_human_l3_f_81,1.0,0.140701
SiglTask_human_l3_f_82,0.8574309999999999,0.8020930000000001
SiglTask_human_l3_f_83,0.019994799999999997,0.0935719
SiglTask_human_l3_f_84,0.0043052,0.00133253
SiglTask_human_l3_f_85,0.723147,0.205617
SiglTask_human_l3_f_86,1.0,0.182596
SiglTask_human_l3_f_87,0.385411,0.248072
SiglTask_human_l3_f_88,0.93601,0.015728
SiglTask_human_l3_f_89,0.134545,0.404929
SiglTask_human_l3_f_90,0.851361,1.0
SiglTask_human_l3_f_91,0.797949,0.6447470000000001
SiglTask_human_l3_f_92,1.0,0.0641151
SiglTask_human_l3_f_93,0.219361,0.08164880000000001
SiglTask_human_l3_f_94,1.0,0.0439962
SiglTask_human_l3_f_95,1.0,0.898243
SiglTask_human_l3_f_96,0.311259,0.161856
SiglTask_human_l3_f_97,1.0,0.00957304
SiglTask_human_l3_f_98,1.0,0.0800044
SiglTask_human_l3_f_99,0.154684,0.105593
SiglTask_human_l3_f_100,0.20956,0.782303
SiglTask_human_l3_f_101,0.24301599999999998,0.931636
SiglTask_human_l3_f_102,1.0,1.0
SiglTask_human_l3_f_103,0.124043,0.210643
SiglTask_human_l3_f_104,0.4844,1.0
SiglTask_human_l3_f_105,0.7246819999999999,0.261408
SiglTask_human_l3_f_106,0.5266489999999999,0.014282399999999999
SiglTask_human_l3_f_107,1.0,1.0
SiglTask_human_l3_f_108,0.39607,0.199259
SiglTask_human_l3_f_109,0.370336,0.600538
SiglTask_human_l3_f_110,1.0,0.0820539
SiglTask_human_l3_f_111,0.026410700000000002,1.0
SiglTask_human_l3_f_112,1.0,0.0485265
SiglTask_human_l3_f_113,0.0452751,1.0
SiglTask_human_l3_f_114,0.30881,0.187862
SiglTask_human_l3_f_115,0.520692,0.028052099999999996
SiglTask_human_l3_f_116,0.376958,1.0
SiglTask_human_l3_f_117,1.0,0.132659
SiglTask_human_l3_f_118,0.844982,0.0124163
SiglTask_human_l3_f_119,0.711801,0.0675949
SiglTask_human_l3_f_120,0.22019899999999998,0.254364
SiglTask_human_l3_f_121,0.9999979999999999,1.0
SiglTask_human_l3_f_122,0.157904,0.19598
SiglTask_human_l3_f_123,0.6885,0.0770597
SiglTask_human_l3_f_124,0.273378,0.049948400000000004
SiglTask_human_l3_f_125,0.09715030000000001,0.530146
SiglTask_human_l3_f_126,1.0,1.0
SiglTask_human_l3_f_127,0.624889,0.0222241
SiglTask_human_l3_f_128,0.6407069999999999,0.7361979999999999
SiglTask_human_l3_f_129,0.00132207,0.0639536
SiglTask_human_l3_f_130,0.527586,0.892475
SiglTask_human_l3_f_131,1.0,0.44736899999999996
SiglTask_human_l3_f_132,0.697608,0.999999
SiglTask_human_l3_f_133,0.471732,0.543301
SiglTask_human_l3_f_134,0.44239700000000004,0.8772120000000001
SiglTask_human_l3_f_135,1.0,0.038903
SiglTask_human_l3_f_136,0.041816900000000004,0.00046509300000000003
SiglTask_human_l3_f_137,1.0,1.0
SiglTask_human_l3_f_138,0.310315,0.0176727
SiglTask_human_l3_f_139,1.0,0.050655599999999995
SiglTask_human_l3_f_140,1.0,1.0
SiglTask_human_l3_f_141,0.519911,0.9574010000000001
SiglTask_human_l3_f_142,1.0,0.157608
SiglTask_human_l3_f_143,0.08970739999999999,0.0656845
SiglTask_human_l3_f_144,1.0,0.141353
SiglTask_human_l3_f_145,0.489511,0.151132
SiglTask_human_l3_f_146,1.0,0.21064699999999997
SiglTask_human_l3_f_147,0.00516811,0.0130975
SiglTask_human_l3_f_148,0.12226400000000001,0.371456
SiglTask_human_l3_f_149,1.0,1.0
SiglTask_human_l3_f_150,0.20851,0.00484043
SiglTask_human_l3_f_151,0.00300629,0.00290144
SiglTask_human_l3_f_152,0.207775,1.0
SiglTask_human_l3_f_153,1.0,1.0
SiglTask_human_l3_f_154,0.308784,1.0
SiglTask_human_l3_f_155,0.553045,0.09209810000000002
SiglTask_human_l3_f_156,1.0,0.000624215
SiglTask_human_l3_f_157,0.346174,0.10454000000000001
SiglTask_human_l3_f_158,0.7557560000000001,0.744901
SiglTask_human_l3_f_159,0.00890739,0.0536957
SiglTask_human_l3_f_160,0.47358599999999995,1.0
SiglTask_human_l3_f_161,0.056044000000000004,0.00458432
SiglTask_human_l3_f_162,0.09803110000000001,0.024669099999999996
SiglTask_human_l3_f_163,0.6027020000000001,1.0
SiglTask_human_l3_f_164,0.117123,0.683055
SiglTask_human_l3_f_165,0.0219982,0.12166700000000001
SiglTask_human_l3_f_166,0.00040409,0.30646799999999996
SiglTask_human_l3_f_167,0.09118960000000001,0.482633
SiglTask_human_l3_f_168,1.0,0.00546836
SiglTask_human_l3_f_169,0.9096219999999999,0.611104
SiglTask_human_l3_f_170,0.28191900000000003,0.43129399999999996
SiglTask_human_l3_f_171,0.529037,1.0
SiglTask_human_l3_f_172,0.883217,1.0
SiglTask_human_l3_f_173,1.0,0.0364328
SiglTask_human_l3_f_174,0.363792,0.249452
SiglTask_human_l3_f_175,0.457768,0.6093109999999999
SiglTask_human_l3_f_176,0.0502098,0.35413
SiglTask_human_l3_f_177,1.0,1.0
SiglTask_human_l3_f_178,1.0,0.548838
SiglTask_human_l3_f_179,0.781177,1.0
SiglTask_human_l3_f_180,1.0,1.0
SiglTask_human_l3_f_181,0.049284800000000004,0.036449
SiglTask_human_l3_f_182,0.039619800000000004,1.0
SiglTask_human_l3_f_183,0.186444,0.0174871
SiglTask_human_l3_f_184,0.577324,0.07971349999999999
SiglTask_human_l3_f_185,0.244831,0.031241900000000003
SiglTask_human_l3_f_186,0.0682783,1.0
SiglTask_human_l3_f_187,0.01884,0.00161705
SiglTask_human_l3_f_188,0.120118,0.09549819999999999
SiglTask_human_l3_f_189,1.0,0.08710010000000001
SiglTask_human_l3_f_190,0.213344,1.0
SiglTask_human_l3_f_191,1.0,0.0689862
SiglTask_human_l3_f_192,0.295377,0.101365
SiglTask_human_l3_f_193,0.612488,1.0
SiglTask_human_l3_f_194,0.0474276,0.1823
SiglTask_human_l3_f_195,0.520407,0.00030753400000000004
SiglTask_human_l3_f_196,0.271156,0.231816
SiglTask_human_l3_f_197,0.0217709,0.0709334
SiglTask_human_l3_f_198,0.00421683,0.43350299999999997
