Ensembl Transcript ID,Ensembl Gene ID,Ensembl Gene Info
ENST00000374217,ENSG00000158062,ENSG00000158062 [Biotype: protein_coding] [Chr_Location: 1:26281328-26318363] [Chr_Band: p36.11] [Chr_Strand: -1] [Description: UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]]
ENST00000538530,ENSG00000120438,ENSG00000120438 [Biotype: protein_coding] [Chr_Location: 6:159778498-159789703] [Chr_Band: q25.3] [Chr_Strand: -1] [Description: t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]]
ENST00000451003,ENSG00000084693,ENSG00000084693 [Biotype: protein_coding] [Chr_Location: 2:27042364-27070622] [Chr_Band: p23.3] [Chr_Strand: 1] [Description: AGBL carboxypeptidase 5 [Source:HGNC Symbol;Acc:HGNC:26147]]
ENST00000533310,ENSG00000171067,ENSG00000171067 [Biotype: protein_coding] [Chr_Location: 11:68261338-68272001] [Chr_Band: q13.2] [Chr_Strand: -1] [Description: chromosome 11 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:1174]]
ENST00000430355,ENSG00000163904,ENSG00000163904 [Biotype: protein_coding] [Chr_Location: 3:185582496-185633551] [Chr_Band: q27.2] [Chr_Strand: 1] [Description: SUMO specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:23116]]
ENST00000446699,ENSG00000086232,ENSG00000086232 [Biotype: protein_coding] [Chr_Location: 7:6022247-6059175] [Chr_Band: p22.1] [Chr_Strand: -1] [Description: eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]]
ENST00000507580,ENSG00000178950,ENSG00000178950 [Biotype: protein_coding] [Chr_Location: 4:849276-932373] [Chr_Band: p16.3] [Chr_Strand: -1] [Description: cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]]
ENST00000464705,ENSG00000016864,ENSG00000016864 [Biotype: protein_coding] [Chr_Location: 3:52694486-52706032] [Chr_Band: p21.1] [Chr_Strand: -1] [Description: glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]]
ENST00000468953,ENSG00000163507,ENSG00000163507 [Biotype: protein_coding] [Chr_Location: 3:108549864-108589644] [Chr_Band: q13.13] [Chr_Strand: -1] [Description: cellular inhibitor of PP2A [Source:HGNC Symbol;Acc:HGNC:29302]]
ENST00000334100,ENSG00000163512,ENSG00000163512 [Biotype: protein_coding] [Chr_Location: 3:28315003-28349050] [Chr_Band: p24.1] [Chr_Strand: -1] [Description: 5-azacytidine induced 2 [Source:HGNC Symbol;Acc:HGNC:24002]]
