motif_DB	motif_ID	motif_ALT_ID	seq_ID	seq_Score	seq_Class	is_holdout?
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_8406	12.00	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_8221	11.96	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_9570	11.96	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_2405	11.04	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_7926	10.99	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_1725	10.97	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_841	10.89	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_9002	10.70	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_202	10.70	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_398	10.61	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_7582	10.38	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_8583	10.28	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_7678	10.26	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_8187	9.92	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_1127	9.79	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_9080	9.77	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_6926	9.77	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_8346	9.73	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_8944	9.64	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_6857	9.64	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_7589	9.60	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_11918	9.59	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_2904	9.55	tp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_7508	9.50	fp	0
/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/human_+pr_n4000_Nov24_cv2.txt	human_l3_f_71		non_viral_4669	9.50	tp	0
